"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:41.570","1:41.769","1:41.864","1:41.936","1:42.125","1:42.458","1:43.818","1:44.473","1:45.274","1:45.816","01:43.110"
"GR Cup","Am","5","1:37.558","1:38.438","1:40.155","1:57.210","","","","","","","01:43.340"
"GR Cup","Am","09","1:38.657","1:38.670","1:38.767","1:38.861","1:38.931","1:39.030","1:39.078","1:39.093","1:39.266","1:39.430","01:38.978"
"GR Cup","Am","11","1:37.600","1:37.734","1:37.740","1:37.823","1:38.034","1:38.215","1:38.647","1:38.813","1:39.128","1:44.923","01:38.866"
"GR Cup","Am","13","1:37.759","1:38.084","1:38.090","1:38.184","1:38.311","1:38.325","1:38.435","1:38.440","1:38.475","1:38.522","01:38.263"
"GR Cup","Am","14","1:38.396","1:38.533","1:38.535","1:38.578","1:38.656","1:38.891","1:39.004","1:39.308","1:39.735","1:41.058","01:39.069"
"GR Cup","Am","17","1:38.203","1:38.702","1:38.705","1:38.774","1:38.857","1:38.889","1:38.972","1:39.106","1:39.321","1:39.455","01:38.898"
"GR Cup","Am","18","1:37.580","1:37.801","1:37.905","1:37.978","1:38.462","1:38.559","1:38.770","1:38.931","1:38.984","1:39.061","01:38.403"
"GR Cup","Am","21","1:37.789","1:37.930","1:37.972","1:38.058","1:38.441","1:38.625","1:38.697","1:38.767","1:38.877","1:39.023","01:38.418"
"GR Cup","Am","22","1:38.458","1:38.492","1:38.546","1:38.657","1:39.228","1:39.299","1:39.647","1:39.654","1:39.807","1:40.521","01:39.231"
"GR Cup","Am","24","1:38.414","1:38.501","1:38.866","1:38.899","1:39.160","1:39.185","1:39.277","1:39.355","1:39.482","1:39.544","01:39.068"
"GR Cup","Am","25","1:40.138","1:40.271","1:40.359","1:40.401","1:40.439","1:40.546","1:40.702","1:40.888","1:40.898","1:41.220","01:40.586"
"GR Cup","Am","30","1:38.622","1:38.646","1:38.675","1:38.706","1:38.785","1:39.082","1:39.446","1:39.465","1:39.495","1:39.604","01:39.053"
"GR Cup","Am","31","1:37.957","1:38.036","1:38.065","1:38.170","1:38.448","1:38.531","1:38.586","1:38.604","1:39.898","1:39.925","01:38.622"
"GR Cup","Am","39","1:37.547","1:37.783","1:37.870","1:37.894","1:37.916","1:37.931","1:37.951","1:38.012","1:38.035","1:38.307","01:37.925"
"GR Cup","Am","46","1:38.036","1:38.257","1:38.317","1:38.435","1:38.485","1:38.500","1:38.760","1:39.268","1:40.980","1:47.511","01:39.655"
"GR Cup","Am","47","1:39.893","1:40.065","1:40.137","1:40.293","1:40.786","1:40.894","1:40.914","1:40.918","1:40.974","1:40.993","01:40.587"
"GR Cup","Am","50","1:38.816","1:39.042","1:39.178","1:39.237","1:39.353","1:39.360","1:39.398","1:39.565","1:39.903","1:39.969","01:39.382"
"GR Cup","Am","55","1:37.526","1:37.686","1:37.798","1:37.858","1:37.867","1:37.883","1:37.933","1:37.988","1:38.043","1:38.102","01:37.868"
"GR Cup","Am","57","1:38.151","1:38.317","1:38.489","1:38.617","1:38.650","1:38.711","1:38.722","1:38.800","1:38.826","1:39.026","01:38.631"
"GR Cup","Am","61","1:41.622","1:42.168","1:42.227","1:42.337","1:42.454","1:42.671","1:42.780","1:42.926","1:43.096","1:43.389","01:42.567"
"GR Cup","Am","75","1:40.181","1:40.536","1:40.587","1:40.820","1:41.116","1:41.260","1:41.402","1:41.452","1:41.569","1:41.591","01:41.051"
"GR Cup","Am","76","1:38.020","1:38.170","1:38.182","1:38.230","1:38.380","1:38.597","1:38.628","1:38.770","1:38.899","1:39.014","01:38.489"
"GR Cup","Am","88","1:38.471","1:38.819","1:39.132","1:39.154","1:39.208","1:39.236","1:39.504","1:39.526","1:39.605","1:39.881","01:39.254"
"GR Cup","Am","99","1:38.009","1:38.075","1:38.215","1:38.263","1:38.306","1:38.452","1:38.622","1:38.711","1:38.745","1:39.713","01:38.511"
