Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;14;28:32.739;;;123.08;1:47.322;10
2;11;Am;2;Will Robusto;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;16;30:37.395;0.384;0.384;122.64;1:47.706;16
3;55;Am;3;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;14;30:45.635;0.091;0.475;122.54;1:47.797;14
4;13;Am;4;Westin Workman;USA;Toyota GR86;Copeland Motorsports;15;29:41.541;0.457;0.932;122.02;1:48.254;7
5;99;Am;5;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;14;27:55.038;0.008;0.940;122.01;1:48.262;10
6;18;Am;6;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;17;31:31.127;0.043;0.983;121.97;1:48.305;14
7;31;Am;7;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;15;30:00.316;0.440;1.423;121.47;1:48.745;14
8;76;Am;8;Steven Clemons;USA;Toyota GR86;BSI Racing;17;31:30.632;0.183;1.606;121.27;1:48.928;11
9;57;Am;9;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;16;31:21.675;0.083;1.689;121.18;1:49.011;13
10;21;Am;10;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;16;30:43.065;0.472;2.161;120.65;1:49.483;15
11;14;Am;11;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;14;31:14.213;0.072;2.233;120.57;1:49.555;6
12;50;Am;12;Casey Mashore;USA;Toyota GR86;Mashore Autobody;16;30:40.766;0.547;2.780;119.97;1:50.102;11
13;88;Am;13;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;15;33:04.884;0.141;2.921;119.82;1:50.243;10
14;22;Am;14;Devin Anderson;USA;Toyota GR86;TechSport Racing;10;23:38.879;0.902;3.823;118.85;1:51.145;7
15;25;Am;15;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;14;30:42.824;0.352;4.175;118.47;1:51.497;14
16;09;Am;16;Maddie Aust;USA;Toyota GR86;BSI Racing;16;30:40.612;0.282;4.457;118.18;1:51.779;14
17;24;Am;17;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;12;31:08.550;0.184;4.641;117.98;1:51.963;3
18;75;Am;18;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;14;31:04.657;1.672;6.313;116.24;1:53.635;11
19;3;Am;19;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;11:31.473;2.711;9.024;113.54;1:56.346;2
20;61;Am;20;James Klimas;USA;Toyota GR86;Skip Barber Racing;15;31:23.514;3.122;12.146;110.57;1:59.468;10
21;17;Am;21;Miles Hewitt;USA;Toyota GR86;BSI Racing;2;5:12.577;;;;;0
22;39;Am;22;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;1;3:03.366;;;;;0
23;30;Am;23;Jackson Tovo;USA;Toyota GR86;Nitro Motorsports;;;;;;;0
24;46;Am;24;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;;;;;;;0
25;47;Am;25;Ayden Kirk;USA;Toyota GR86;TechSport Racing;;;;;;;0
