"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","1:56.801",116801,"2:30.023",150023,"9:57:30.400","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:00.686",60686,"25.915",25915,"30.200",30200,"00:28.131",28131,"00:32.555",32555,"00:12.178",12178,"00:13.737",13737,"00:11.918",11918,"00:18.282",18282
"3","Jason Kos","2","2","1:40.860",100860,"4:10.883",250883,"9:59:11.260","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.390",46390,"24.952",24952,"29.518",29518,"00:17.546",17546,"00:28.844",28844,"00:11.962",11962,"00:12.990",12990,"00:11.553",11553,"00:17.965",17965
"3","Jason Kos","3","3","1:41.051",101051,"5:51.934",351934,"10:00:52.311","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.443",46443,"24.953",24953,"29.655",29655,"00:17.491",17491,"00:28.952",28952,"00:11.959",11959,"00:12.994",12994,"00:11.606",11606,"00:18.049",18049
"3","Jason Kos","4","4","1:41.011",101011,"7:32.945",452945,"10:02:33.322","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.381",46381,"24.908",24908,"29.722",29722,"00:17.504",17504,"00:28.877",28877,"00:11.935",11935,"00:12.973",12973,"00:11.573",11573,"00:18.149",18149
"3","Jason Kos","5","5","1:40.682",100682,"9:13.627",553627,"10:04:14.004","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.286",46286,"24.792",24792,"29.604",29604,"00:17.464",17464,"00:28.822",28822,"00:11.915",11915,"00:12.877",12877,"00:11.622",11622,"00:17.982",17982
"3","Jason Kos","6","6","1:44.611",104611,"10:58.238",658238,"10:05:58.615","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.354",46354,"27.945",27945,"30.312",30312,"00:17.439",17439,"00:28.915",28915,"00:12.070",12070,"00:15.875",15875,"00:11.959",11959,"00:18.353",18353
"3","Jason Kos","7","7","1:40.759",100759,"12:38.997",758997,"10:07:39.374","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.015",46015,"24.781",24781,"29.963",29963,"00:17.298",17298,"00:28.717",28717,"00:11.897",11897,"00:12.884",12884,"00:11.741",11741,"00:18.222",18222
"3","Jason Kos","8","8","1:40.845",100845,"14:19.842",859842,"10:09:20.219","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.209",46209,"24.865",24865,"29.771",29771,"00:17.366",17366,"00:28.843",28843,"00:11.960",11960,"00:12.905",12905,"00:11.478",11478,"00:18.293",18293
"3","Jason Kos","9","9","1:41.505",101505,"16:01.347",961347,"10:11:01.724","Am","Finish Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:57.802Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.510",46510,"25.080",25080,"29.915",29915,"00:17.397",17397,"00:29.113",29113,"00:11.999",11999,"00:13.081",13081,"00:11.704",11704,"00:18.211",18211
"5","Gresham Wagner","1","1","1:37.966",97966,"3:23.052",203052,"9:58:23.429","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:FyR0tzgVgS_uJV5HSkUAA","entries:events-2024-sro-barber:FyR0tzgVgS_uJV5HSkUAA","15257379","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-05T19:32:58.212Z"",""id"":""entries:events-2024-sro-barber:FyR0tzgVgS_uJV5HSkUAA"",""createdAt"":""2024-09-05T19:32:58.212Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.505",45505,"24.133",24133,"28.328",28328,"00:17.038",17038,"00:28.467",28467,"00:11.287",11287,"00:12.846",12846,"00:10.777",10777,"00:17.551",17551
