"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:40.682","1:40.759","1:40.845","1:40.860","1:41.011","1:41.051","1:41.505","1:44.611","1:56.801","","01:43.125"
"GR Cup","Am","5","1:37.298","1:37.452","1:37.499","1:37.721","1:37.815","1:37.966","1:39.024","1:40.650","","","01:38.178"
"GR Cup","Am","09","1:39.186","1:39.528","1:39.615","1:39.634","1:40.232","1:40.251","1:40.735","1:41.315","1:52.258","","01:41.417"
"GR Cup","Am","11","1:38.047","1:38.266","1:38.336","1:38.644","1:38.701","1:38.731","1:38.893","1:55.365","","","01:40.623"
"GR Cup","Am","13","1:37.704","1:37.733","1:37.847","1:37.966","1:37.970","1:38.007","1:38.071","1:40.275","","","01:38.197"
"GR Cup","Am","14","1:38.608","1:38.807","1:39.284","1:39.664","1:39.924","1:39.937","1:40.186","1:41.195","1:51.960","","01:41.063"
"GR Cup","Am","17","1:38.207","1:38.244","1:38.399","1:38.626","1:38.871","1:39.150","1:39.292","2:13.419","2:21.939","","01:47.350"
"GR Cup","Am","18","1:38.305","1:38.833","1:39.175","1:39.416","1:41.497","1:43.502","1:43.923","1:44.897","1:52.139","","01:42.410"
"GR Cup","Am","21","1:38.962","1:38.973","1:39.102","1:39.168","1:39.235","1:39.239","1:39.749","1:40.998","2:01.620","","01:41.894"
"GR Cup","Am","22","1:38.138","1:38.219","1:38.301","1:38.645","1:38.678","1:39.171","1:39.562","1:40.764","","","01:38.935"
"GR Cup","Am","24","1:39.002","1:39.540","1:40.378","1:51.014","1:52.391","6:26.677","","","","","02:31.500"
"GR Cup","Am","25","1:40.282","1:40.676","1:41.057","1:41.504","1:41.696","1:41.801","1:42.083","1:43.141","","","01:41.530"
"GR Cup","Am","30","1:38.484","1:38.520","1:38.801","1:39.157","1:39.266","1:39.277","1:40.037","1:40.905","1:56.998","","01:41.272"
"GR Cup","Am","31","1:38.781","1:38.782","1:38.884","1:39.192","1:39.271","1:39.283","1:40.517","1:40.995","2:09.310","","01:42.779"
"GR Cup","Am","39","1:38.188","1:38.249","1:38.327","1:38.549","1:38.552","1:38.580","1:39.149","2:14.132","2:22.419","","01:47.349"
"GR Cup","Am","46","1:37.812","1:38.026","1:38.076","1:39.058","1:40.572","1:51.216","6:22.554","","","","02:21.045"
"GR Cup","Am","47","1:39.119","1:39.351","1:39.412","1:39.646","1:39.651","1:39.663","1:41.362","2:50.256","","","01:48.558"
"GR Cup","Am","50","1:38.757","1:39.069","1:39.236","1:39.699","1:40.280","2:08.695","","","","","01:44.289"
"GR Cup","Am","55","1:37.613","1:37.626","1:37.750","1:37.804","1:37.846","1:37.864","1:37.940","1:38.009","1:42.780","","01:38.359"
"GR Cup","Am","57","1:38.271","1:38.350","1:38.495","1:38.496","1:38.564","1:38.644","1:38.814","1:39.795","","","01:38.679"
"GR Cup","Am","75","1:38.920","1:39.164","1:39.220","1:39.246","1:39.565","1:39.618","1:39.656","1:41.144","2:07.080","","01:42.624"
"GR Cup","Am","76","1:38.615","1:38.864","1:39.368","1:39.399","1:39.519","1:41.524","1:44.515","1:51.512","1:54.614","","01:43.103"
"GR Cup","Am","88","1:38.553","1:38.579","1:38.725","1:38.806","1:39.116","1:40.945","1:47.000","2:00.650","","","01:42.797"
"GR Cup","Am","99","1:38.058","1:38.084","1:38.093","1:38.096","1:38.147","1:38.523","1:38.708","1:44.425","","","01:39.017"
