Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;55;Am;1;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;9;16:58.082;;;136.86;1:36.520;7
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;7;13:46.005;0.047;0.047;136.79;1:36.567;2
3;5;Am;3;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;9;16:59.837;0.131;0.178;136.61;1:36.698;3
4;46;Am;4;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;6;17:25.050;0.152;0.330;136.39;1:36.850;3
5;18;Am;5;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;9;16:22.207;0.259;0.589;136.03;1:37.109;3
6;76;Am;6;Steven Clemons;USA;Toyota GR86;BSI Racing;9;16:16.474;0.158;0.747;135.81;1:37.267;5
7;57;Am;7;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;8;15:03.555;0.010;0.757;135.79;1:37.277;6
8;11;Am;8;Will Robusto;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;9;16:01.978;0.008;0.765;135.78;1:37.285;6
9;99;Am;9;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;9;17:02.867;0.010;0.775;135.77;1:37.295;7
10;39;Am;10;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;9;16:13.827;0.054;0.829;135.69;1:37.349;7
11;21;Am;11;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;9;15:46.447;0.012;0.841;135.68;1:37.361;5
12;24;Am;12;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;9;15:57.967;0.110;0.951;135.52;1:37.471;5
13;47;Am;13;Ayden Kirk;USA;Toyota GR86;TechSport Racing;9;17:10.408;0.021;0.972;135.49;1:37.492;8
14;22;Am;14;Devin Anderson;USA;Toyota GR86;TechSport Racing;7;14:35.078;0.045;1.017;135.43;1:37.537;6
15;88;Am;15;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;8;13:56.738;0.120;1.137;135.26;1:37.657;5
16;50;Am;16;Casey Mashore;USA;Toyota GR86;Mashore Autobody;8;16:02.839;0.129;1.266;135.08;1:37.786;4
17;30;Am;17;Jackson Tovo;USA;Toyota GR86;Nitro Motorsports;9;15:53.342;0.103;1.369;134.94;1:37.889;5
18;17;Am;18;Miles Hewitt;USA;Toyota GR86;BSI Racing;9;16:18.969;0.015;1.384;134.92;1:37.904;6
19;14;Am;19;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;9;15:41.428;0.067;1.451;134.83;1:37.971;4
20;31;Am;20;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;9;15:32.273;0.268;1.719;134.46;1:38.239;9
21;75;Am;21;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;9;15:34.020;0.054;1.773;134.39;1:38.293;6
22;09;Am;22;Maddie Aust;USA;Toyota GR86;BSI Racing;8;14:45.071;0.133;1.906;134.21;1:38.426;8
23;25;Am;23;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;8;16:45.919;0.186;2.092;133.95;1:38.612;6
24;3;Am;24;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;7;13:18.625;0.067;2.159;133.86;1:38.679;5
25;61;Am;25;James Klimas;USA;Toyota GR86;Skip Barber Racing;9;16:40.281;1.584;3.743;131.75;1:40.263;8
