"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:40.058","1:40.209","1:40.275","1:40.363","1:40.408","1:40.476","1:40.485","1:40.681","1:40.688","1:40.697","01:40.434"
"GR Cup","Am","5","1:38.014","1:38.016","1:38.080","1:38.136","1:38.137","1:38.170","1:38.175","1:38.212","1:38.224","1:38.248","01:38.141"
"GR Cup","Am","11","1:38.730","1:38.759","1:38.794","1:38.796","1:38.819","1:38.901","1:38.905","1:38.911","1:38.934","1:39.154","01:38.870"
"GR Cup","Am","13","1:38.055","1:38.180","1:38.188","1:38.206","1:38.208","1:38.246","1:38.283","1:38.285","1:38.289","1:38.302","01:38.224"
"GR Cup","Am","14","1:39.233","1:39.239","1:39.255","1:39.310","1:39.367","1:39.368","1:39.379","1:39.398","1:39.404","1:39.443","01:39.340"
"GR Cup","Am","17","1:38.979","1:39.017","1:39.020","1:39.053","1:39.095","1:39.176","1:39.232","1:39.258","1:39.284","1:39.340","01:39.145"
"GR Cup","Am","18","1:38.310","1:38.459","1:38.470","1:38.568","1:38.580","1:38.587","1:38.632","1:38.728","1:38.738","1:38.748","01:38.582"
"GR Cup","Am","21","1:38.598","1:38.918","1:39.184","1:39.232","1:39.241","1:39.317","1:39.320","1:39.341","1:39.356","1:39.411","01:39.192"
"GR Cup","Am","22","1:38.390","1:38.606","1:38.807","1:39.110","1:39.419","1:40.134","1:40.253","1:43.685","2:29.549","","01:45.328"
"GR Cup","Am","24","1:38.834","1:39.081","1:39.196","1:39.214","1:39.278","1:39.281","1:39.306","1:39.346","1:39.346","1:39.361","01:39.224"
"GR Cup","Am","25","1:39.421","1:39.543","1:39.590","1:39.604","1:39.649","1:39.691","1:39.777","1:39.853","1:39.902","1:40.012","01:39.704"
"GR Cup","Am","30","1:38.942","1:39.089","1:39.205","1:39.392","1:39.422","1:39.518","1:39.523","1:39.555","1:39.582","1:39.620","01:39.385"
"GR Cup","Am","31","1:38.853","1:39.150","1:39.189","1:40.646","1:40.990","1:45.189","1:49.191","3:36.941","","","01:56.269"
"GR Cup","Am","39","1:38.628","1:38.685","1:38.718","1:38.741","1:38.778","1:38.798","1:38.799","1:38.801","1:38.820","1:38.885","01:38.765"
"GR Cup","Am","46","1:38.122","1:38.131","1:38.206","1:38.308","1:38.335","1:38.337","1:38.340","1:38.359","1:38.362","1:38.363","01:38.286"
"GR Cup","Am","47","1:38.947","1:39.362","1:39.413","1:39.467","1:39.517","1:39.523","1:39.548","1:39.659","1:39.666","1:39.681","01:39.478"
"GR Cup","Am","50","1:39.219","1:39.232","1:39.304","1:39.336","1:39.354","1:39.372","1:39.449","1:39.474","1:39.490","1:39.510","01:39.374"
"GR Cup","Am","55","1:37.957","1:38.020","1:38.032","1:38.043","1:38.068","1:38.153","1:38.158","1:38.169","1:38.177","1:38.207","01:38.098"
"GR Cup","Am","57","1:38.489","1:38.616","1:38.676","1:38.680","1:38.702","1:38.737","1:38.813","1:38.925","1:39.018","1:39.050","01:38.771"
"GR Cup","Am","61","1:40.757","1:41.062","1:41.386","1:41.459","1:41.477","1:41.658","1:41.740","1:41.791","1:41.904","1:41.923","01:41.516"
"GR Cup","Am","75","1:39.177","1:39.184","1:39.285","1:39.328","1:39.509","1:39.555","1:39.621","1:39.748","1:39.768","1:39.789","01:39.496"
"GR Cup","Am","76","1:38.388","1:38.404","1:38.475","1:38.570","1:38.579","1:38.589","1:38.599","1:38.679","1:38.691","1:38.704","01:38.568"
"GR Cup","Am","88","1:39.044","1:39.129","1:39.181","1:39.189","1:39.323","1:39.519","1:39.581","1:39.666","1:39.746","1:39.813","01:39.419"
"GR Cup","Am","99","1:38.400","1:38.416","1:38.433","1:38.443","1:38.465","1:38.468","1:38.468","1:38.480","1:38.493","1:38.558","01:38.462"
