NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;16;1:38.188;10;1:38.217;16;1:38.224;6;1:38.378;3;1:38.826;4;1:39.117;15;1:39.823;2;1:42.412;7;1:43.191;11;1:43.651;5;1:40.002;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;18;1:40.006;11;1:40.015;13;1:40.070;17;1:40.187;6;1:40.250;15;1:40.295;5;1:40.302;16;1:40.326;7;1:40.401;8;1:40.557;12;1:40.240;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;18;1:38.948;3;1:39.093;4;1:39.241;6;1:39.613;18;1:39.643;10;1:39.839;5;1:39.853;15;1:39.928;9;1:40.051;11;1:40.180;7;1:39.638;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;15;1:38.821;7;1:38.897;3;1:39.034;10;1:39.035;14;1:39.055;5;1:39.125;4;1:39.200;11;1:39.649;2;1:40.040;13;1:41.360;6;1:39.421;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;14;1:37.878;6;1:37.997;3;1:38.139;4;1:38.173;8;1:38.242;12;1:38.510;11;1:42.940;7;1:43.091;5;1:44.666;13;;0;1:39.959;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;18;1:41.970;18;1:42.299;15;1:42.363;3;1:42.409;12;1:42.498;7;1:42.508;17;1:42.628;13;1:42.632;5;1:42.647;4;1:42.687;11;1:42.464;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;17;1:38.815;6;1:38.993;8;1:39.106;5;1:39.176;7;1:39.365;12;1:39.413;15;1:39.478;11;1:39.485;3;1:39.696;4;1:39.757;2;1:39.328;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;15;1:39.070;10;1:39.300;6;1:39.378;7;1:39.399;11;1:39.657;14;1:39.823;3;1:39.929;5;1:41.091;4;1:41.142;2;;0;1:39.865;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;17;1:39.261;2;1:39.458;3;1:39.566;6;1:39.631;16;1:39.632;9;1:39.671;8;1:39.898;15;1:39.980;4;1:40.281;7;1:40.372;12;1:39.775;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;17;1:38.523;4;1:38.583;16;1:38.639;2;1:38.691;7;1:38.693;3;1:38.698;6;1:38.951;8;1:39.016;15;1:39.124;9;1:39.693;10;1:38.861;
47;TechSport;Toyota GR86;Am;Parker;DeLong;17;1:38.416;7;1:38.683;6;1:38.753;4;1:38.908;10;1:38.947;5;1:38.951;16;1:39.224;2;1:39.332;3;1:39.854;13;1:40.529;15;1:39.159;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;18;1:39.331;3;1:39.606;6;1:39.664;5;1:39.745;7;1:39.803;8;1:39.998;17;1:40.052;16;1:40.171;10;1:40.309;12;1:40.327;2;1:39.900;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;17;1:38.520;10;1:38.594;16;1:38.717;3;1:38.921;7;1:38.937;5;1:39.820;4;1:39.964;13;1:40.065;2;1:40.247;15;1:41.177;11;1:39.496;
58;Copeland Motorsports;Toyota GR86;Am;Liam;Harrison;17;1:40.868;5;1:40.909;4;1:41.079;14;1:41.090;6;1:41.469;13;1:41.548;8;1:41.668;3;1:41.774;9;1:41.892;10;1:42.135;12;1:41.443;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;15;1:38.666;14;1:38.915;9;1:38.918;5;1:38.959;3;1:38.978;15;1:39.002;11;1:39.062;8;1:39.089;10;1:39.420;2;1:42.414;4;1:39.342;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;18;1:39.756;6;1:40.061;11;1:40.115;12;1:40.163;7;1:40.335;10;1:40.374;9;1:40.430;13;1:40.488;5;1:40.757;16;1:40.970;17;1:40.344;
