CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;9;4;1:36.926;;;137.5;
Am;2;2;72;TechSport;Toyota GR86;Ethan Goulart;9;4;1:37.112;+0.186;+0.186;137.2;
Am;3;3;47;TechSport;Toyota GR86;Parker DeLong;8;4;1:37.113;+0.187;+0.001;137.2;
Am;4;4;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;9;3;1:37.201;+0.275;+0.088;137.1;
Am;5;5;98;TechSport;Toyota GR86;Max Schweid;9;5;1:37.235;+0.309;+0.034;137.0;
Am;6;6;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;9;4;1:37.358;+0.432;+0.123;136.9;
Am;7;7;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;9;8;1:37.408;+0.482;+0.050;136.8;
Am;8;8;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;9;4;1:37.455;+0.529;+0.047;136.7;
Am;9;9;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;9;5;1:37.559;+0.633;+0.104;136.6;
Am;10;10;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;9;3;1:37.674;+0.748;+0.115;136.4;
Am;11;11;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;9;4;1:37.908;+0.982;+0.234;136.1;
Am;12;12;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;9;4;1:37.922;+0.996;+0.014;136.1;
Am;13;13;21;Copeland Motorsports;Toyota GR86;Ford Koch;9;6;1:37.946;+1.020;+0.024;136.0;
Am;14;14;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;9;4;1:38.123;+1.197;+0.177;135.8;
Am;15;15;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;9;7;1:38.222;+1.296;+0.099;135.7;
Am;16;16;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;9;5;1:38.336;+1.410;+0.114;135.5;
Am;17;17;03;Precision Racing LA;Toyota GR86;Karl Forman;9;5;1:38.681;+1.755;+0.345;135.0;
Am;18;18;51;BSI Racing;Toyota GR86;Massimo Sunseri;9;3;1:38.692;+1.766;+0.011;135.0;
Am;19;19;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;9;4;1:39.420;+2.494;+0.728;134.0;
Am;20;20;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;9;6;1:39.527;+2.601;+0.107;133.9;
Am;21;21;58;Copeland Motorsports;Toyota GR86;Liam Harrison;9;3;1:39.863;+2.937;+0.336;133.4;
Am;22;22;18;Precision Racing LA;Toyota GR86;Rutledge Wood;9;9;1:41.780;+4.854;+1.917;130.9;
