NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;9;1:37.358;4;1:37.426;7;1:37.485;5;1:38.264;2;1:38.563;8;1:39.439;3;1:39.572;6;;0;;0;;0;1:38.301;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;9;1:38.681;5;1:38.793;4;1:39.036;3;1:39.166;6;1:39.187;7;1:39.204;2;1:39.330;8;;0;;0;;0;1:39.056;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;9;1:38.336;5;1:38.407;3;1:38.613;2;1:38.671;9;1:39.407;7;1:39.458;4;1:40.484;8;1:42.325;6;;0;;0;1:39.462;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;9;1:37.674;3;1:38.209;2;1:38.319;6;1:38.404;9;1:39.332;8;1:40.454;7;1:41.175;4;1:45.453;5;;0;;0;1:39.877;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;9;1:36.926;4;1:36.970;3;1:37.082;8;1:37.100;7;1:37.336;5;1:37.667;2;1:45.328;6;;0;;0;;0;1:38.344;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;9;1:41.780;9;1:42.128;8;1:42.332;6;1:42.466;7;1:42.522;4;1:43.473;3;1:43.934;2;1:46.938;5;;0;;0;1:43.196;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;9;1:37.946;6;1:38.171;5;1:38.310;9;1:38.538;4;1:39.230;8;1:39.335;2;1:43.441;3;1:44.098;7;;0;;0;1:39.883;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;9;1:37.559;5;1:37.642;6;1:37.723;4;1:37.912;3;1:38.675;8;1:38.848;2;1:42.735;7;;0;;0;;0;1:38.727;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;9;1:38.123;4;1:38.239;6;1:38.250;9;1:38.384;7;1:38.610;2;1:39.054;3;1:42.058;8;1:46.623;5;;0;;0;1:39.917;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;9;1:37.408;8;1:37.421;4;1:37.540;6;1:37.652;5;1:37.947;2;1:38.660;3;1:46.431;7;;0;;0;;0;1:39.008;
47;TechSport;Toyota GR86;Am;Parker;DeLong;8;1:37.113;4;1:37.265;3;1:37.486;2;1:38.351;5;1:38.658;7;1:39.493;6;;0;;0;;0;;0;1:38.061;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;9;1:38.692;3;1:38.732;7;1:38.934;9;1:38.961;4;1:39.003;8;1:39.079;5;1:39.113;2;1:39.261;6;;0;;0;1:38.971;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;9;1:37.455;4;1:37.608;5;1:37.701;9;1:37.720;2;1:37.731;6;1:38.663;8;1:39.038;7;1:40.163;3;;0;;0;1:38.259;
58;Copeland Motorsports;Toyota GR86;Am;Liam;Harrison;9;1:39.863;3;1:39.923;6;1:39.959;5;1:39.984;7;1:40.105;9;1:40.173;8;1:40.224;4;1:42.241;2;;0;;0;1:40.309;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;9;1:37.112;5;1:37.112;4;1:37.249;3;1:37.479;7;1:37.713;8;1:37.916;2;1:38.549;6;1:41.197;9;;0;;0;1:38.040;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;9;1:39.527;6;1:39.590;9;1:39.598;5;1:39.756;4;1:39.856;8;1:39.961;3;1:40.034;7;1:41.115;2;;0;;0;1:39.929;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;9;1:38.222;7;1:38.287;6;1:38.290;4;1:38.317;3;1:38.406;8;1:38.630;9;1:38.664;2;1:39.335;5;;0;;0;1:38.518;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;9;1:39.420;4;1:39.481;5;1:39.773;6;1:39.851;8;1:40.546;7;1:42.307;3;1:44.075;2;;0;;0;;0;1:40.779;
98;TechSport;Toyota GR86;Am;Max;Schweid;9;1:37.235;5;1:37.337;4;1:37.413;3;1:37.569;8;1:37.676;2;1:38.151;6;1:39.260;7;;0;;0;;0;1:37.805;
111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Isabella;Robusto;9;1:37.908;4;1:37.982;5;1:38.316;6;1:38.340;2;1:38.368;8;1:38.454;9;1:38.460;7;1:38.676;3;;0;;0;1:38.313;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;9;1:37.922;4;1:38.128;3;1:38.291;5;1:38.370;9;1:38.393;7;1:38.511;8;1:38.764;6;1:38.794;2;;0;;0;1:38.396;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;9;1:37.201;3;1:37.279;4;1:37.426;2;1:37.450;7;1:39.369;9;1:39.503;6;1:41.857;8;1:45.845;5;;0;;0;1:39.491;
