CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;5;4;1:36.493;;;138.1;
Am;2;2;72;TechSport;Toyota GR86;Ethan Goulart;9;6;1:36.846;+0.353;+0.353;137.6;
Am;3;3;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;9;9;1:36.875;+0.382;+0.029;137.6;
Am;4;4;98;TechSport;Toyota GR86;Max Schweid;7;6;1:36.928;+0.435;+0.053;137.5;
Am;5;5;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;9;6;1:37.026;+0.533;+0.098;137.3;
Am;6;6;47;TechSport;Toyota GR86;Parker DeLong;9;6;1:37.040;+0.547;+0.014;137.3;
Am;7;7;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;9;8;1:37.243;+0.750;+0.203;137.0;
Am;8;8;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;9;3;1:37.298;+0.805;+0.055;137.0;
Am;9;9;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;9;6;1:37.365;+0.872;+0.067;136.9;
Am;10;10;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;9;6;1:37.381;+0.888;+0.016;136.8;
Am;11;11;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;9;3;1:37.456;+0.963;+0.075;136.7;
Am;12;12;21;Copeland Motorsports;Toyota GR86;Ford Koch;9;9;1:37.465;+0.972;+0.009;136.7;
Am;13;13;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;9;4;1:37.484;+0.991;+0.019;136.7;
Am;14;14;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;9;3;1:37.581;+1.088;+0.097;136.6;
Am;15;15;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;9;3;1:37.597;+1.104;+0.016;136.5;
Am;16;16;51;BSI Racing;Toyota GR86;Massimo Sunseri;9;4;1:37.850;+1.357;+0.253;136.2;
Am;17;17;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;9;8;1:37.936;+1.443;+0.086;136.1;
Am;18;18;03;Precision Racing LA;Toyota GR86;Karl Forman;9;7;1:38.109;+1.616;+0.173;135.8;
Am;19;19;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;9;6;1:38.313;+1.820;+0.204;135.5;
Am;20;20;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;9;7;1:38.339;+1.846;+0.026;135.5;
Am;21;21;58;Copeland Motorsports;Toyota GR86;Liam Harrison;9;7;1:38.884;+2.391;+0.545;134.8;
Am;22;22;18;Precision Racing LA;Toyota GR86;Rutledge Wood;9;8;1:40.894;+4.401;+2.010;132.1;
