"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","55","Spike Kohlbecker","Am","10","30:39.274",1839274,"2:28.471",148471,"82.683","9","","","0","22","34.100","0","","Spike","Kohlbecker","2:28.998",148998,"1","32.338",32338,"56.489",56489,"59.559",59559,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","11385466","",22,"21 (22 → 1)","21"
"2","2","13","Westin Workman","Am","10","28:11.410",1691410,"2:28.566",148566,"82.630","9","0.095","0.095","0","5","34.100","2","","Westin","Workman","2:28.772",148772,"1","32.232",32232,"56.894",56894,"59.296",59296,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","15241424","",5,"3 (5 → 2)","3"
"3","3","99","Jaxon Bell","Am","11","31:45.152",1905152,"2:28.880",148880,"82.456","9","0.409","0.314","0","31","37.510","0","","Jaxon","Bell","2:29.107",149107,"1","32.391",32391,"56.965",56965,"59.202",59202,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","13153784","",31,"28 (31 → 3)","28"
"4","4","34","Braydon Arthur","Am","11","31:30.027",1890027,"2:28.892",148892,"82.449","5","0.421","0.012","0","15","37.510","0","","Braydon","Arthur","2:29.068",149068,"1","32.355",32355,"57.076",57076,"59.259",59259,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-cota:V0g-Nov2BW63AnLcPGWGS","entries:events-2024-sro-cota:V0g-Nov2BW63AnLcPGWGS","15222059","",15,"11 (15 → 4)","11"
"5","5","5","Gresham Wagner","Am","6","18:56.875",1136875,"2:29.150",149150,"82.306","4","0.679","0.258","0","2","20.460","0","","Gresham","Wagner","2:29.358",149358,"1","32.234",32234,"57.208",57208,"59.513",59513,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","",2,"-3 (2 → 5)","-3"
"6","6","76","Steven Clemons","Am","11","32:10.847",1930847,"2:29.150",149150,"82.306","10","0.679","","0","26","37.510","0","","Steven","Clemons","2:30.065",150065,"1","32.364",32364,"57.167",57167,"59.469",59469,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:lPSTpP2K_7zJF2PzyS77A","entries:events-2024-sro-cota:lPSTpP2K_7zJF2PzyS77A","13032211","",26,"20 (26 → 6)","20"
"7","7","22","Devin Anderson","Am","11","31:00.086",1860086,"2:29.270",149270,"82.240","10","0.799","0.120","0","11","37.510","0","","Devin","Anderson","2:29.501",149501,"","32.375",32375,"56.757",56757,"59.737",59737,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","11308725","",11,"4 (11 → 7)","4"
"8","8","11","Austin Dodge","Am","10","28:34.390",1714390,"2:29.452",149452,"82.140","9","0.981","0.182","0","4","34.100","0","","Austin","Dodge","2:30.755",150755,"1","32.695",32695,"57.129",57129,"59.628",59628,"Austin","Dodge","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:fsArOOiWGipF2rq_GY8sy","entries:events-2024-sro-cota:fsArOOiWGipF2rq_GY8sy","10741809","",4,"-4 (4 → 8)","-4"
"9","9","51","Adam Brickley","Am","11","30:28.580",1828580,"2:29.467",149467,"82.132","11","0.996","0.015","0","21","37.510","0","","Adam","Brickley","2:29.643",149643,"","32.450",32450,"56.973",56973,"59.838",59838,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:1A_jPewS7Su4N_DXwDXLU","entries:events-2024-sro-cota:1A_jPewS7Su4N_DXwDXLU","12714404","",21,"12 (21 → 9)","12"
"10","10","39","Maximilian Hewitt","Am","11","31:53.301",1913301,"2:29.645",149645,"82.034","10","1.174","0.178","0","16","37.510","0","","Maximilian","Hewitt","2:30.083",150083,"1","32.539",32539,"57.137",57137,"59.611",59611,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:WR7-4L5Im-cZhjwzDow_2","entries:events-2024-sro-cota:WR7-4L5Im-cZhjwzDow_2","13778007","",16,"6 (16 → 10)","6"
"11","11","57","Mia Lovell","Am","10","30:33.230",1833230,"2:29.678",149678,"82.016","6","1.207","0.033","0","23","34.100","0","","Mia","Lovell","2:29.683",149683,"1","32.526",32526,"57.275",57275,"59.764",59764,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:yenahMlkJwKEOId8Hhb2L","entries:events-2024-sro-cota:yenahMlkJwKEOId8Hhb2L","10314665","",23,"12 (23 → 11)","12"
"12","12","14","Alex Garcia","Am","11","30:23.851",1823851,"2:29.845",149845,"81.925","9","1.374","0.167","0","6","37.510","9","","Alex","Garcia","2:30.220",150220,"2","32.424",32424,"56.932",56932,"59.880",59880,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PZXURr7q2oXLTJiA_zMYb","entries:events-2024-sro-cota:PZXURr7q2oXLTJiA_zMYb","15057570","",6,"-6 (6 → 12)","-6"
