Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;55;Am;1;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;10;30:39.274;;;133.07;2:28.471;9
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;10;28:11.410;0.095;0.095;132.98;2:28.566;9
3;99;Am;3;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;11;31:45.152;0.314;0.409;132.7;2:28.880;9
4;34;Am;4;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;11;31:30.027;0.012;0.421;132.69;2:28.892;5
5;5;Am;5;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;6;18:56.875;0.258;0.679;132.46;2:29.150;4
6;76;Am;6;Steven Clemons;USA;Toyota GR86;BSI Racing;11;32:10.847;;0.679;132.46;2:29.150;10
7;22;Am;7;Devin Anderson;USA;Toyota GR86;TechSport Racing;11;31:00.086;0.120;0.799;132.35;2:29.270;10
8;11;Am;8;Austin Dodge;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;10;28:34.390;0.182;0.981;132.19;2:29.452;9
9;51;Am;9;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;11;30:28.580;0.015;0.996;132.18;2:29.467;11
10;39;Am;10;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;11;31:53.301;0.178;1.174;132.02;2:29.645;10
11;57;Am;11;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;10;30:33.230;0.033;1.207;131.99;2:29.678;6
12;14;Am;12;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;11;30:23.851;0.167;1.374;131.85;2:29.845;9
13;46;Am;13;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;9;30:00.713;0.105;1.479;131.75;2:29.950;9
14;18;Am;14;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;11;32:27.999;0.006;1.485;131.75;2:29.956;10
15;21;Am;15;Livio Galanti;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;11;30:47.526;0.112;1.597;131.65;2:30.068;11
16;44;Am;16;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;10;30:39.681;0.133;1.730;131.53;2:30.201;9
17;50;Am;17;Casey Mashore;USA;Toyota GR86;Mashore Autobody;11;31:50.972;0.306;2.036;131.26;2:30.507;7
18;09;Am;18;Maddie Aust;USA;Toyota GR86;BSI Racing;11;30:48.314;0.219;2.255;131.07;2:30.726;9
19;88;Am;19;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;11;31:50.522;0.335;2.590;130.78;2:31.061;5
20;77;Am;20;William Lambros;USA;Toyota GR86;Skip Barber Racing;10;30:42.461;0.347;2.937;130.48;2:31.408;10
21;80;Am;21;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;10;29:14.003;0.008;2.945;130.48;2:31.416;3
22;24;Am;22;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;11;31:04.268;0.066;3.011;130.42;2:31.482;8
23;25;Am;23;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;11;31:23.011;1.117;4.128;129.46;2:32.599;7
24;47;Am;24;Ayden Kirk;USA;Toyota GR86;TechSport Racing;11;31:27.734;0.424;4.552;129.11;2:33.023;7
25;3;Am;25;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;11;31:25.670;0.263;4.815;128.89;2:33.286;5
26;61;Am;26;James Klimas;USA;Toyota GR86;Skip Barber Racing;10;31:50.725;2.891;7.706;126.5;2:36.177;9
27;20;Am;27;Ramon Llanos;MEX;Toyota GR86;Eagles Canyon Racing powered by Fast Track;10;30:38.293;3.812;11.518;123.48;2:39.989;8
28;15;Am;28;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;;;;;;;0
29;31;Am;29;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;;;;;;;0
30;75;Am;30;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;;;;;;;0
31;86;Am;31;Andrew Gilleland;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;;;;;;;0
