"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:32.329","2:32.397","2:32.570","2:32.760","2:33.008","2:33.239","2:33.622","2:33.802","2:34.032","2:34.368","02:33.213"
"GR Cup","Am","5","2:28.732","2:28.992","2:29.116","2:29.202","2:29.471","2:29.546","2:29.914","2:30.837","2:32.656","2:37.291","02:30.576"
"GR Cup","Am","09","2:30.392","2:30.824","2:30.848","2:30.914","2:31.202","2:31.376","2:31.945","2:31.947","2:32.441","2:37.017","02:31.891"
"GR Cup","Am","11","2:29.729","2:30.049","2:30.243","2:30.439","2:30.516","2:30.974","2:31.730","2:32.054","2:32.420","2:34.382","02:31.254"
"GR Cup","Am","13","2:28.572","2:28.714","2:28.882","2:29.218","2:29.227","2:29.532","2:30.274","2:30.320","2:35.374","2:43.515","02:31.363"
"GR Cup","Am","14","2:29.702","2:30.358","2:30.617","2:30.617","2:31.091","2:31.103","2:32.192","2:34.524","2:49.957","3:03.896","02:36.406"
"GR Cup","Am","18","2:29.784","2:29.848","2:29.998","2:30.023","2:30.158","2:30.854","2:31.603","2:32.969","2:33.181","2:40.903","02:31.932"
"GR Cup","Am","20","2:39.426","2:39.815","2:41.101","2:41.582","2:42.277","2:42.509","2:42.668","2:43.297","2:43.441","2:45.183","02:42.130"
"GR Cup","Am","21","2:30.051","2:30.193","2:30.332","2:30.338","2:30.352","2:30.552","2:30.843","2:30.933","2:31.007","2:32.098","02:30.670"
"GR Cup","Am","22","2:30.165","2:30.205","2:30.229","2:30.264","2:30.836","2:31.309","2:31.567","2:31.859","2:34.004","2:42.861","02:32.330"
"GR Cup","Am","24","2:30.397","2:30.566","2:30.647","2:31.340","2:31.605","2:31.873","2:32.148","2:32.306","2:33.056","4:57.161","02:46.110"
"GR Cup","Am","25","2:32.670","2:32.991","2:32.999","2:33.077","2:33.182","2:33.187","2:33.265","2:34.293","2:34.966","2:35.276","02:33.591"
"GR Cup","Am","31","2:31.009","2:31.226","2:31.262","2:31.288","2:31.324","2:31.550","2:32.308","2:37.948","2:45.935","3:39.538","02:40.339"
"GR Cup","Am","34","2:29.218","2:29.221","2:29.221","2:29.332","2:29.378","2:29.811","2:29.836","2:30.022","2:30.137","2:36.400","02:30.258"
"GR Cup","Am","39","2:29.022","2:29.551","2:29.680","2:29.752","2:30.076","2:30.280","2:30.661","2:32.110","2:32.884","2:34.508","02:30.852"
"GR Cup","Am","44","2:29.585","2:29.608","2:29.744","2:29.936","2:31.888","2:32.614","2:33.401","2:36.297","2:37.047","2:38.840","02:32.896"
"GR Cup","Am","46","2:29.377","2:29.586","2:29.929","2:29.933","2:30.080","2:32.357","2:34.757","2:36.181","3:07.878","4:09.791","02:44.987"
"GR Cup","Am","47","2:31.760","2:32.582","2:32.629","2:32.873","2:32.985","2:33.140","2:33.249","2:33.613","2:33.738","2:34.049","02:33.062"
"GR Cup","Am","50","2:30.977","2:31.026","2:31.433","2:31.728","2:31.992","2:32.027","2:32.775","2:32.803","2:36.529","4:34.477","02:44.577"
"GR Cup","Am","51","2:29.679","2:29.842","2:30.028","2:30.406","2:30.443","2:31.887","2:32.110","2:32.309","2:32.311","2:32.756","02:31.177"
"GR Cup","Am","55","2:29.336","2:29.821","2:29.895","2:29.898","2:30.201","2:30.665","2:30.781","2:32.295","2:35.480","6:13.137","02:53.151"
"GR Cup","Am","57","2:29.794","2:29.952","2:30.016","2:30.034","2:30.112","2:30.191","2:30.254","2:30.290","2:30.413","2:30.874","02:30.193"
"GR Cup","Am","61","2:33.708","2:33.911","2:33.924","2:34.054","2:34.744","2:36.073","2:38.451","3:10.637","4:23.789","4:52.419","03:03.171"
"GR Cup","Am","75","2:31.261","2:31.888","2:32.077","2:32.491","2:32.788","2:32.846","2:33.584","2:35.020","2:35.170","2:35.588","02:33.271"
"GR Cup","Am","76","2:29.380","2:29.430","2:29.924","2:30.180","2:30.294","2:30.347","2:30.723","2:31.073","2:31.166","2:36.230","02:30.875"
"GR Cup","Am","77","2:30.402","2:30.472","2:30.507","2:31.359","2:31.451","2:31.651","2:32.212","2:34.619","2:38.792","4:53.261","02:46.473"
"GR Cup","Am","80","2:30.420","2:31.274","2:31.281","2:31.305","2:31.422","2:31.597","2:32.398","2:34.022","2:36.738","3:27.243","02:37.770"
"GR Cup","Am","86","2:33.431","2:34.144","2:34.259","2:34.291","2:34.592","2:34.795","2:34.810","2:34.936","2:34.970","2:36.042","02:34.627"
"GR Cup","Am","88","2:30.126","2:30.333","2:30.678","2:30.895","2:31.184","2:31.533","2:31.917","2:32.673","2:33.399","2:35.234","02:31.797"
"GR Cup","Am","99","2:28.717","2:28.869","2:28.917","2:29.270","2:29.306","2:29.507","2:29.667","2:29.715","2:42.421","3:08.273","02:34.466"
