"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","5","15:08.420",908420,"2:27.541",147541,"83.204","5","","","0","2","17.050","0","","Gresham","Wagner","2:28.361",148361,"","31.961",31961,"56.440",56440,"58.824",58824,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","",2,"1 (2 → 1)","1"
"2","2","99","Jaxon Bell","Am","5","15:03.029",903029,"2:27.896",147896,"83.004","4","0.355","0.355","0","31","17.050","0","","Jaxon","Bell","2:28.160",148160,"","32.209",32209,"56.628",56628,"58.937",58937,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","13153784","",31,"29 (31 → 2)","29"
"3","3","13","Westin Workman","Am","5","15:03.853",903853,"2:28.094",148094,"82.893","2","0.553","0.198","0","5","17.050","0","","Westin","Workman","2:28.130",148130,"","32.192",32192,"56.544",56544,"59.183",59183,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","15241424","",5,"2 (5 → 3)","2"
"4","4","46","Lucas Weisenberg","Am","5","15:17.962",917962,"2:28.404",148404,"82.720","3","0.863","0.310","0","18","17.050","0","","Lucas","Weisenberg","2:28.574",148574,"","32.190",32190,"56.910",56910,"59.115",59115,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","12208074","",18,"14 (18 → 4)","14"
"5","5","55","Spike Kohlbecker","Am","5","15:17.338",917338,"2:28.541",148541,"82.644","4","1.000","0.137","0","22","17.050","0","","Spike","Kohlbecker","2:28.750",148750,"","32.268",32268,"56.776",56776,"59.436",59436,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","11385466","",22,"17 (22 → 5)","17"
"6","6","51","Adam Brickley","Am","5","15:10.309",910309,"2:28.787",148787,"82.507","2","1.246","0.246","0","21","17.050","0","","Adam","Brickley","2:28.868",148868,"","32.286",32286,"56.931",56931,"59.524",59524,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:1A_jPewS7Su4N_DXwDXLU","entries:events-2024-sro-cota:1A_jPewS7Su4N_DXwDXLU","12714404","",21,"15 (21 → 6)","15"
"7","7","18","Jordan RickSegrini","Am","5","15:18.734",918734,"2:28.791",148791,"82.505","5","1.250","0.004","0","8","17.050","0","","Jordan","RickSegrini","2:29.002",149002,"","32.351",32351,"56.526",56526,"59.524",59524,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:NQaU9Oqhp5E8H63oir4LL","entries:events-2024-sro-cota:NQaU9Oqhp5E8H63oir4LL","12415550","",8,"1 (8 → 7)","1"
"8","8","22","Devin Anderson","Am","5","15:31.598",931598,"2:28.804",148804,"82.498","3","1.263","0.013","0","11","17.050","0","","Devin","Anderson","2:28.946",148946,"","32.322",32322,"56.659",56659,"59.775",59775,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","11308725","",11,"3 (11 → 8)","3"
"9","9","34","Braydon Arthur","Am","5","16:49.075",1009075,"2:28.814",148814,"82.492","3","1.273","0.010","0","15","17.050","0","","Braydon","Arthur","2:28.882",148882,"","32.346",32346,"56.952",56952,"59.377",59377,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-cota:V0g-Nov2BW63AnLcPGWGS","entries:events-2024-sro-cota:V0g-Nov2BW63AnLcPGWGS","15222059","",15,"6 (15 → 9)","6"
"10","10","57","Mia Lovell","Am","5","15:09.302",909302,"2:28.826",148826,"82.486","2","1.285","0.012","0","23","17.050","0","","Mia","Lovell","2:29.245",149245,"","32.319",32319,"56.714",56714,"59.566",59566,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:yenahMlkJwKEOId8Hhb2L","entries:events-2024-sro-cota:yenahMlkJwKEOId8Hhb2L","10314665","",23,"13 (23 → 10)","13"
