"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:32.322","2:32.376","2:32.517","2:33.022","2:33.431","","","","","","02:32.734"
"GR Cup","Am","5","2:27.541","2:27.753","2:28.361","2:30.586","2:30.998","","","","","","02:29.048"
"GR Cup","Am","09","2:29.947","2:30.226","2:30.357","2:30.515","2:32.194","","","","","","02:30.648"
"GR Cup","Am","11","2:29.648","2:29.986","2:30.153","2:33.343","2:39.981","","","","","","02:32.622"
"GR Cup","Am","13","2:28.094","2:28.130","2:28.153","2:29.078","2:29.123","","","","","","02:28.516"
"GR Cup","Am","14","2:29.940","2:30.365","2:32.102","2:34.147","2:39.926","","","","","","02:33.296"
"GR Cup","Am","18","2:28.791","2:29.002","2:29.527","2:31.159","2:31.478","","","","","","02:29.991"
"GR Cup","Am","20","2:36.923","2:39.207","2:41.128","2:41.467","2:54.159","","","","","","02:42.577"
"GR Cup","Am","21","2:29.317","2:29.717","2:29.933","2:30.634","2:31.520","","","","","","02:30.224"
"GR Cup","Am","22","2:28.804","2:28.946","2:29.126","2:30.261","2:40.232","","","","","","02:31.474"
"GR Cup","Am","24","2:30.114","2:30.147","2:30.462","2:30.505","2:30.666","","","","","","02:30.379"
"GR Cup","Am","25","2:32.120","2:32.446","2:33.008","2:33.088","2:33.919","","","","","","02:32.916"
"GR Cup","Am","31","2:30.187","2:30.376","2:30.807","2:32.020","2:32.123","","","","","","02:31.103"
"GR Cup","Am","34","2:28.814","2:28.882","2:29.065","2:29.267","2:33.706","","","","","","02:29.947"
"GR Cup","Am","39","2:29.901","2:29.998","2:30.475","2:30.488","2:30.715","","","","","","02:30.315"
"GR Cup","Am","44","2:28.950","2:28.954","2:29.426","2:45.005","2:56.306","","","","","","02:37.728"
"GR Cup","Am","46","2:28.404","2:28.574","2:28.787","2:29.384","2:39.207","","","","","","02:30.871"
"GR Cup","Am","47","2:31.392","2:31.535","2:32.489","2:32.496","2:33.125","","","","","","02:32.207"
"GR Cup","Am","50","2:30.037","2:30.221","2:30.596","2:32.146","2:32.285","","","","","","02:31.057"
"GR Cup","Am","51","2:28.787","2:28.868","2:29.313","2:30.337","2:31.462","","","","","","02:29.753"
"GR Cup","Am","55","2:28.541","2:28.750","2:28.894","2:28.911","2:29.330","","","","","","02:28.885"
"GR Cup","Am","57","2:28.826","2:29.245","2:29.600","2:29.657","2:29.899","","","","","","02:29.445"
"GR Cup","Am","61","2:33.965","2:34.142","2:34.212","2:34.324","2:40.950","3:18.343","","","","","02:42.656"
"GR Cup","Am","75","2:31.130","2:32.220","2:33.449","2:40.146","2:42.028","","","","","","02:35.795"
"GR Cup","Am","76","2:28.883","2:28.898","2:30.259","2:31.225","2:31.782","","","","","","02:30.209"
"GR Cup","Am","77","2:29.483","2:29.811","2:30.093","2:30.486","2:31.274","3:02.615","","","","","02:35.627"
"GR Cup","Am","80","2:30.204","2:30.777","2:31.154","2:31.313","2:35.224","","","","","","02:31.734"
"GR Cup","Am","86","2:33.089","2:33.509","2:33.921","2:34.662","2:35.194","","","","","","02:34.075"
"GR Cup","Am","88","2:29.299","2:29.791","2:30.305","2:31.740","2:42.312","","","","","","02:32.689"
"GR Cup","Am","99","2:27.896","2:27.914","2:28.160","2:29.184","2:29.557","","","","","","02:28.542"
