Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;55;Am;1;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;5;15:14.817;;;133.76;2:27.696;5
2;99;Am;2;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;5;15:30.687;0.336;0.336;133.46;2:28.032;3
3;13;Am;3;Westin Workman;USA;Toyota GR86;Copeland Motorsports;5;15:08.473;0.070;0.406;133.4;2:28.102;4
4;22;Am;4;Devin Anderson;USA;Toyota GR86;TechSport Racing;5;15:21.928;0.103;0.509;133.3;2:28.205;4
5;18;Am;5;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;5;15:10.058;0.084;0.593;133.23;2:28.289;4
6;46;Am;6;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;5;15:09.128;0.177;0.770;133.07;2:28.466;3
7;51;Am;7;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;5;15:06.979;0.138;0.908;132.95;2:28.604;5
8;24;Am;8;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;5;15:21.306;0.042;0.950;132.91;2:28.646;4
9;76;Am;9;Steven Clemons;USA;Toyota GR86;BSI Racing;5;15:10.947;0.037;0.987;132.88;2:28.683;3
10;11;Am;10;Austin Dodge;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;5;15:12.385;0.017;1.004;132.86;2:28.700;5
11;34;Am;11;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;5;17:06.358;0.062;1.066;132.8;2:28.762;3
12;44;Am;12;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;5;16:53.820;0.160;1.226;132.66;2:28.922;5
13;14;Am;13;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;5;16:03.974;0.241;1.467;132.45;2:29.163;4
14;57;Am;14;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;5;15:07.281;0.097;1.564;132.36;2:29.260;1
15;39;Am;15;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;5;15:14.639;0.013;1.577;132.35;2:29.273;5
16;21;Am;16;Livio Galanti;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;15:49.588;0.194;1.771;132.18;2:29.467;3
17;31;Am;17;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;5;15:23.504;0.124;1.895;132.07;2:29.591;5
18;09;Am;18;Maddie Aust;USA;Toyota GR86;BSI Racing;5;15:39.161;0.026;1.921;132.04;2:29.617;3
19;77;Am;19;William Lambros;USA;Toyota GR86;Skip Barber Racing;6;16:05.849;0.274;2.195;131.8;2:29.891;6
20;88;Am;20;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;5;16:53.110;0.610;2.805;131.27;2:30.501;5
21;50;Am;21;Casey Mashore;USA;Toyota GR86;Mashore Autobody;5;15:34.520;0.217;3.022;131.08;2:30.718;4
22;75;Am;22;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;5;15:40.187;0.016;3.038;131.07;2:30.734;4
23;47;Am;23;Ayden Kirk;USA;Toyota GR86;TechSport Racing;5;15:35.778;0.047;3.085;131.03;2:30.781;5
24;25;Am;24;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;5;15:37.990;0.070;3.155;130.96;2:30.851;5
25;3;Am;25;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;16:05.552;1.310;4.465;129.84;2:32.161;3
26;86;Am;26;Andrew Gilleland;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;16:17.053;0.707;5.172;129.24;2:32.868;4
27;61;Am;27;James Klimas;USA;Toyota GR86;Skip Barber Racing;5;16:42.266;0.112;5.284;129.14;2:32.980;5
28;20;Am;28;Ramon Llanos;MEX;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;16:48.879;6.403;11.687;123.95;2:39.383;5
29;5;Am;29;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;5;15:05.639;;;;;0
