"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","17","46:09.038",2769038,"2:29.346",149346,"82.198","14","","","25","1","57.970","17","2:27.541","Gresham","Wagner","2:29.430",149430,"","32.449",32449,"57.355",57355,"59.354",59354,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","",1,"0 (1 → 1)","0"
"2","2","13","Westin Workman","Am","17","46:10.039",2770039,"2:29.241",149241,"82.256","15","1.001","1.001","18","3","57.970","0","2:28.094","Westin","Workman","2:29.450",149450,"","32.357",32357,"57.027",57027,"59.772",59772,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","15241424","",3,"1 (3 → 2)","1"
"3","3","99","Jaxon Bell","Am","17","46:15.522",2775522,"2:29.576",149576,"82.072","13","6.484","5.483","15","2","57.970","0","2:27.896","Jaxon","Bell","2:29.646",149646,"","32.437",32437,"57.334",57334,"59.666",59666,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","13153784","",2,"-1 (2 → 3)","-1"
"4","4","46","Lucas Weisenberg","Am","17","46:24.312",2784312,"2:30.247",150247,"81.705","6","15.274","8.790","12","4","57.970","0","2:28.404","Lucas","Weisenberg","2:30.377",150377,"","32.667",32667,"57.550",57550,"59.851",59851,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","12208074","",4,"0 (4 → 4)","0"
"5","5","55","Spike Kohlbecker","Am","17","46:25.145",2785145,"2:30.316",150316,"81.668","16","16.107","0.833","10","5","57.970","0","2:28.541","Spike","Kohlbecker","2:30.464",150464,"","32.651",32651,"57.430",57430,"59.874",59874,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","11385466","",5,"0 (5 → 5)","0"
"6","6","18","Jordan RickSegrini","Am","17","46:25.472",2785472,"2:30.477",150477,"81.581","10","16.434","0.327","8","7","57.970","0","2:28.791","Jordan","RickSegrini","2:30.538",150538,"","32.701",32701,"57.422",57422,"1:00.099",60099,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:NQaU9Oqhp5E8H63oir4LL","entries:events-2024-sro-cota:NQaU9Oqhp5E8H63oir4LL","12415550","",7,"1 (7 → 6)","1"
"7","7","22","Devin Anderson","Am","17","46:26.226",2786226,"2:30.301",150301,"81.676","13","17.188","0.754","6","8","57.970","0","2:28.804","Devin","Anderson","2:30.465",150465,"","32.626",32626,"57.401",57401,"1:00.160",60160,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","11308725","",8,"1 (8 → 7)","1"
"8","8","51","Adam Brickley","Am","17","46:27.385",2787385,"2:30.492",150492,"81.572","13","18.347","1.159","4","6","57.970","0","2:28.787","Adam","Brickley","2:30.609",150609,"","32.771",32771,"57.519",57519,"1:00.057",60057,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:1A_jPewS7Su4N_DXwDXLU","entries:events-2024-sro-cota:1A_jPewS7Su4N_DXwDXLU","12714404","",6,"-2 (6 → 8)","-2"
"9","9","76","Steven Clemons","Am","17","46:30.265",2790265,"2:30.786",150786,"81.413","12","21.227","2.880","2","11","57.970","0","2:28.898","Steven","Clemons","2:30.890",150890,"","32.758",32758,"57.352",57352,"1:00.133",60133,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:lPSTpP2K_7zJF2PzyS77A","entries:events-2024-sro-cota:lPSTpP2K_7zJF2PzyS77A","13032211","",11,"2 (11 → 9)","2"
"10","10","14","Alex Garcia","Am","17","46:37.618",2797618,"2:30.768",150768,"81.423","15","28.580","7.353","1","25","57.970","0","2:32.102","Alex","Garcia","2:30.944",150944,"","32.599",32599,"57.479",57479,"1:00.455",60455,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PZXURr7q2oXLTJiA_zMYb","entries:events-2024-sro-cota:PZXURr7q2oXLTJiA_zMYb","15057570","",25,"15 (25 → 10)","15"
