"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:31.589","2:31.625","2:32.170","2:32.724","2:32.963","2:33.134","2:33.209","2:33.405","2:33.737","2:33.931","02:32.849"
"GR Cup","Am","5","2:28.662","2:28.862","2:29.007","2:29.009","2:29.015","2:29.256","2:29.367","2:29.403","2:29.441","2:32.320","02:29.434"
"GR Cup","Am","09","2:31.100","2:31.146","2:31.263","2:31.380","2:31.461","2:31.528","2:32.045","2:32.070","2:33.566","2:37.046","02:32.261"
"GR Cup","Am","11","2:29.965","2:30.117","2:30.131","2:30.294","2:30.542","2:30.657","2:31.209","2:31.469","2:31.470","2:32.309","02:30.816"
"GR Cup","Am","13","2:28.720","2:28.972","2:28.992","2:29.039","2:29.254","2:29.431","2:29.500","2:30.118","2:30.188","2:30.758","02:29.497"
"GR Cup","Am","14","2:29.718","2:30.087","2:30.380","2:30.424","2:30.613","2:30.650","2:30.654","2:30.687","2:30.738","2:31.399","02:30.535"
"GR Cup","Am","18","2:30.062","2:30.312","2:30.676","2:30.843","2:30.894","2:30.971","2:31.191","2:31.367","2:32.490","2:33.960","02:31.277"
"GR Cup","Am","20","2:40.377","2:41.027","2:41.384","2:42.083","2:42.300","2:42.559","2:42.653","2:42.890","2:43.112","2:45.170","02:42.356"
"GR Cup","Am","21","2:30.862","2:30.876","2:31.917","2:31.963","2:32.168","2:32.327","2:32.683","2:32.758","2:33.675","2:38.907","02:32.814"
"GR Cup","Am","22","2:29.579","2:29.604","2:29.752","2:29.814","2:29.958","2:30.078","2:30.110","2:30.112","2:30.554","2:31.379","02:30.094"
"GR Cup","Am","24","2:28.881","2:28.949","2:29.127","2:29.265","2:29.457","2:29.687","2:29.732","2:29.734","2:29.920","2:29.972","02:29.472"
"GR Cup","Am","25","2:31.663","2:31.905","2:32.000","2:32.018","2:32.578","2:32.780","2:32.809","2:33.558","2:33.862","2:35.186","02:32.836"
"GR Cup","Am","31","2:31.247","2:31.677","2:31.678","2:31.745","2:31.920","2:32.067","2:32.296","2:33.361","2:36.453","2:37.573","02:33.002"
"GR Cup","Am","34","2:30.017","2:30.123","2:30.459","2:30.534","2:30.591","2:30.793","2:30.989","2:31.113","2:31.397","2:31.685","02:30.770"
"GR Cup","Am","39","2:29.975","2:30.115","2:30.151","2:30.164","2:30.309","2:30.356","2:30.356","2:30.732","2:31.256","2:31.408","02:30.482"
"GR Cup","Am","44","2:30.108","2:30.137","2:30.188","2:30.401","2:30.417","2:30.505","2:30.705","2:30.739","2:31.015","2:31.731","02:30.595"
"GR Cup","Am","46","2:29.327","2:29.359","2:29.540","2:29.732","2:29.849","2:30.184","2:30.253","2:30.670","2:30.738","2:30.801","02:30.045"
"GR Cup","Am","47","2:31.410","2:31.511","2:31.523","2:31.686","2:31.832","2:32.047","2:32.670","2:33.601","2:34.208","2:41.495","02:33.198"
"GR Cup","Am","50","2:30.086","2:30.236","2:30.382","2:30.401","2:30.477","2:30.600","2:30.777","2:30.966","2:31.358","2:31.557","02:30.684"
"GR Cup","Am","51","2:29.393","2:29.702","2:29.789","2:29.866","2:29.957","2:30.072","2:30.246","2:30.361","2:30.629","2:31.589","02:30.160"
"GR Cup","Am","55","2:28.849","2:28.998","2:29.106","2:29.295","2:29.340","2:29.472","2:29.573","2:29.907","2:29.979","2:30.260","02:29.478"
"GR Cup","Am","57","2:29.641","2:29.711","2:29.720","2:29.730","2:29.821","2:30.002","2:30.430","2:30.526","2:30.658","2:30.739","02:30.098"
"GR Cup","Am","61","2:34.297","2:34.572","2:34.968","2:35.361","2:36.314","2:36.412","2:36.593","2:37.038","2:45.708","","02:36.807"
"GR Cup","Am","75","2:30.486","2:31.354","2:31.422","2:31.536","2:31.687","2:32.168","2:32.419","2:33.027","2:33.399","2:36.423","02:32.392"
"GR Cup","Am","76","2:29.643","2:29.805","2:29.820","2:29.917","2:29.933","2:30.013","2:30.252","2:30.392","2:30.510","2:30.684","02:30.097"
"GR Cup","Am","77","2:31.087","2:31.408","2:31.615","2:31.662","2:31.664","2:31.769","2:32.074","2:32.636","2:32.718","2:32.747","02:31.938"
"GR Cup","Am","86","2:34.206","2:34.630","2:34.729","2:34.740","2:35.064","2:35.068","2:35.392","2:37.617","2:37.692","2:40.127","02:35.927"
"GR Cup","Am","88","2:30.079","2:30.122","2:30.147","2:30.420","2:30.433","2:30.550","2:30.676","2:30.680","2:30.904","2:31.313","02:30.532"
"GR Cup","Am","99","2:28.589","2:28.608","2:28.759","2:28.766","2:28.890","2:28.970","2:29.043","2:29.087","2:29.156","2:29.795","02:28.966"
