Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;99;Am;1;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;16;45:11.859;;;132.96;2:28.589;6
2;55;Am;2;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;16;45:12.112;0.253;0.253;132.73;2:28.849;6
3;13;Am;3;Westin Workman;USA;Toyota GR86;Copeland Motorsports;16;45:12.754;0.642;0.895;132.84;2:28.720;5
4;24;Am;4;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;16;45:13.514;0.760;1.655;132.7;2:28.881;5
5;22;Am;5;Devin Anderson;USA;Toyota GR86;TechSport Racing;16;45:14.168;0.654;2.309;132.08;2:29.579;5
6;5;Am;6;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;16;45:15.158;0.990;3.299;132.89;2:28.662;11
7;46;Am;7;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;16;45:16.102;0.944;4.243;132.3;2:29.327;11
8;76;Am;8;Steven Clemons;USA;Toyota GR86;BSI Racing;16;45:16.614;0.512;4.755;132.02;2:29.643;8
9;34;Am;9;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;16;45:17.186;0.572;5.327;131.69;2:30.017;9
10;44;Am;10;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;16;45:17.414;0.228;5.555;131.61;2:30.108;6
11;88;Am;11;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;16;45:17.934;0.520;6.075;131.64;2:30.079;8
12;39;Am;12;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;16;45:18.587;0.653;6.728;131.73;2:29.975;9
13;50;Am;13;Casey Mashore;USA;Toyota GR86;Mashore Autobody;16;45:19.898;1.311;8.039;131.63;2:30.086;9
14;11;Am;14;Austin Dodge;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;16;45:20.646;0.748;8.787;131.74;2:29.965;7
15;18;Am;15;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;16;45:21.793;1.147;9.934;131.65;2:30.062;11
16;77;Am;16;William Lambros;USA;Toyota GR86;Skip Barber Racing;16;45:22.516;0.723;10.657;130.76;2:31.087;10
17;25;Am;17;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;16;45:22.983;0.467;11.124;130.26;2:31.663;4
18;09;Am;18;Maddie Aust;USA;Toyota GR86;BSI Racing;16;45:23.786;0.803;11.927;130.75;2:31.100;6
19;31;Am;19;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;16;45:25.309;1.523;13.450;130.62;2:31.247;6
20;86;Am;20;Andrew Gilleland;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;16;45:25.953;0.644;14.094;128.12;2:34.206;3
21;75;Am;21;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;16;45:26.616;0.663;14.757;131.28;2:30.486;6
22;20;Am;22;Ramon Llanos;MEX;Toyota GR86;Eagles Canyon Racing powered by Fast Track;16;45:27.954;1.338;16.095;123.19;2:40.377;7
23;3;Am;23;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;14;38:20.937;2 Laps;2 Laps;130.33;2:31.589;4
24;57;Am;24;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;13;34:07.791;1 Lap;3 Laps;132.02;2:29.641;8
25;14;Am;25;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;13;34:08.040;0.249;3 Laps;131.96;2:29.718;8
26;51;Am;26;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;13;34:48.426;40.386;3 Laps;132.24;2:29.393;6
27;21;Am;27;Livio Galanti;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;10;25:29.793;3 Laps;6 Laps;130.96;2:30.862;2
28;47;Am;28;Ayden Kirk;USA;Toyota GR86;TechSport Racing;10;25:34.698;4.905;6 Laps;130.48;2:31.410;6
29;61;Am;29;James Klimas;USA;Toyota GR86;Skip Barber Racing;9;23:35.859;1 Lap;7 Laps;128.04;2:34.297;4
