POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;5;2:27.135;-;-;133.9;8;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
2;13;6;2:27.441;+0.306;+0.306;133.6;11;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
3;72;8;2:27.638;+0.503;+0.197;133.4;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
4;46;4;2:27.742;+0.607;+0.104;133.3;11;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
5;55;7;2:27.750;+0.615;+0.008;133.3;10;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
6;16;7;2:27.973;+0.838;+0.223;133.1;10;Copeland Motorsports;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean;;;USA;;;;;;;
7;89;8;2:28.020;+0.885;+0.047;133.1;11;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
8;2;3;2:28.047;+0.912;+0.027;133.1;10;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
9;15;3;2:28.250;+1.115;+0.203;132.9;9;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
10;78;8;2:28.307;+1.172;+0.057;132.8;11;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
11;21;7;2:28.380;+1.245;+0.073;132.8;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
12;47;7;2:28.429;+1.294;+0.049;132.7;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ayden;Kirk;;;USA;;;;;;;
13;41;4;2:28.472;+1.337;+0.043;132.7;10;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
14;71;4;2:28.529;+1.394;+0.057;132.6;11;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
15;98;4;2:28.932;+1.797;+0.403;132.3;10;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
16;31;6;2:29.156;+2.021;+0.224;132.1;9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
17;113;11;2:29.403;+2.268;+0.247;131.8;11;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
18;14;2;2:29.509;+2.374;+0.106;131.8;7;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
19;5;11;2:30.187;+3.052;+0.678;131.2;11;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
20;3;8;2:30.227;+3.092;+0.040;131.1;11;Eagles Canyon Racing Powered by Fast Track;Am;Legends ;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos;;;USA;;;;;;;
21;11;6;2:30.229;+3.094;+0.002;131.1;10;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;USA;;;;;;;
22;93;6;2:30.964;+3.829;+0.735;130.5;11;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
23;03;10;2:31.081;+3.946;+0.117;130.4;10;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
24;51;6;2:31.358;+4.223;+0.277;130.1;11;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
25;73;5;2:31.958;+4.823;+0.600;129.6;9;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra;;;USA;;;;;;;
26;86;6;2:32.746;+5.611;+0.788;129.0;10;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;USA;;;;;;;
27;80;6;2:33.355;+6.220;+0.609;128.4;9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
28;57;10;2:33.432;+6.297;+0.077;128.4;10;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;USA;;;;;;;
29;88;5;2:33.844;+6.709;+0.412;128.0;7;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
30;18;10;2:34.405;+7.270;+0.561;127.6;10;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
31;8;10;2:36.523;+9.388;+2.118;125.8;10;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;USA;;;;;;;
