NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:13.470;0;;1:09.305;0;1:02.149;0;1:02.016;0;101.8;3:13.470;12:18:13.470;1:09.305;1:02.149;1:02.016;200.7;Karl Forman;0:00:37.622;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;69.305;62.149;62.016;54.361;54.361;14.944;1:09.305;25.936;1:35.241;36.213;2:11.454;29.428;2:40.882;32.588;3:13.470;
03;1;2;2:32.311;0;;33.245;0;58.597;0;1:00.469;0;129.3;5:45.781;12:20:45.781;0:33.245;0:58.597;1:00.469;200.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.245;58.597;60.469;20.758;20.758;12.487;33.245;22.686;55.931;35.911;1:31.842;29.088;2:00.930;31.381;2:32.311;
03;1;3;2:33.564;0;;33.458;0;58.896;0;1:01.210;0;128.3;8:19.345;12:23:19.345;0:33.458;0:58.896;1:01.210;199.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.458;58.896;61.210;20.947;20.947;12.511;33.458;23.060;56.518;35.836;1:32.354;29.519;2:01.873;31.691;2:33.564;
03;1;4;2:31.735;2;;33.160;0;58.209;2;1:00.366;0;129.8;10:51.080;12:25:51.080;0:33.160;0:58.209;1:00.366;200.7;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.160;58.209;60.366;20.698;20.698;12.462;33.160;22.675;55.835;35.534;1:31.369;28.901;2:00.270;31.465;2:31.735;
03;1;5;2:32.459;0;;33.366;0;58.554;0;1:00.539;0;129.2;13:23.539;12:28:23.539;0:33.366;0:58.554;1:00.539;200.7;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.366;58.554;60.539;20.828;20.828;12.538;33.366;22.908;56.274;35.646;1:31.920;29.098;2:01.018;31.441;2:32.459;
03;1;6;2:46.827;0;B;32.958;0;1:00.404;0;1:13.465;0;118.1;16:10.366;12:31:10.366;0:32.958;1:00.404;1:13.465;150.8;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;RF;32.958;60.404;73.465;20.565;20.565;12.393;32.958;23.219;56.177;37.185;1:33.362;32.188;2:05.550;41.277;2:46.827;
03;1;7;6:30.540;0;;4:31.680;0;58.652;0;1:00.208;2;50.4;22:40.906;12:37:40.906;4:31.680;0:58.652;1:00.208;201.5;Karl Forman;0:04:11.819;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;271.680;58.652;60.208;4:19.015;4:19.015;12.665;4:31.680;22.975;4:54.655;35.677;5:30.332;28.791;5:59.123;31.417;6:30.540;
03;1;8;2:32.494;0;;33.390;0;58.472;0;1:00.632;0;129.2;25:13.400;12:40:13.400;0:33.390;0:58.472;1:00.632;202.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.390;58.472;60.632;20.853;20.853;12.537;33.390;22.636;56.026;35.836;1:31.862;29.367;2:01.229;31.265;2:32.494;
03;1;9;2:32.171;0;;33.101;2;58.325;0;1:00.745;0;129.4;27:45.571;12:42:45.571;0:33.101;0:58.325;1:00.745;204.5;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.101;58.325;60.745;20.663;20.663;12.438;33.101;22.955;56.056;35.370;1:31.426;29.115;2:00.541;31.630;2:32.171;
03;1;10;2:32.298;0;;33.340;0;58.504;0;1:00.454;0;129.3;30:17.869;12:45:17.869;0:33.340;0:58.504;1:00.454;200.7;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;33.340;58.504;60.454;20.784;20.784;12.556;33.340;22.799;56.139;35.705;1:31.844;29.079;2:00.923;31.375;2:32.298;
