NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;9;2:28.349;9;2:29.102;8;2:29.898;3;;0;;0;;0;;0;;0;;0;;0;2:29.116;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos;11;2:30.592;8;2:30.666;5;2:31.064;9;2:31.071;11;2:31.165;2;2:31.281;10;2:31.319;3;2:31.474;4;;0;;0;2:31.079;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;10;2:31.735;4;2:32.171;9;2:32.298;10;2:32.311;2;2:32.459;5;2:32.494;8;2:33.564;3;;0;;0;;0;2:32.433;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;10;2:30.325;4;2:31.700;3;2:31.776;2;2:32.573;8;;0;;0;;0;;0;;0;;0;2:31.593;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;9;2:28.175;3;2:28.251;2;2:32.543;4;;0;;0;;0;;0;;0;;0;;0;2:29.656;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;10;2:36.265;9;2:36.992;10;2:37.091;8;2:37.410;3;2:38.460;4;2:40.902;2;;0;;0;;0;;0;2:37.853;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;9;2:31.594;4;2:31.650;7;;0;;0;;0;;0;;0;;0;;0;;0;2:31.622;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;10;2:28.203;8;2:28.214;4;2:28.481;3;2:28.914;9;2:32.041;7;;0;;0;;0;;0;;0;2:29.170;
14;Skip Barber Racing;Toyota GR86;Am;Alex;Garcia;9;2:30.508;3;2:31.445;2;2:34.639;4;;0;;0;;0;;0;;0;;0;;0;2:32.197;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;9;2:29.798;5;2:29.970;3;2:30.137;4;2:30.308;2;2:30.495;8;2:35.181;9;;0;;0;;0;;0;2:30.981;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean;10;2:28.236;8;2:28.249;3;2:28.609;4;2:28.922;7;2:29.204;2;2:29.690;9;;0;;0;;0;;0;2:28.818;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;10;2:34.655;4;2:34.723;9;2:34.855;8;2:36.375;10;2:38.293;3;2:45.243;2;;0;;0;;0;;0;2:37.357;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;10;2:28.456;7;2:28.712;8;2:28.726;9;2:29.305;10;2:29.388;2;2:30.109;3;;0;;0;;0;;0;2:29.116;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;9;2:29.289;9;2:29.352;7;2:29.911;2;2:30.081;8;;0;;0;;0;;0;;0;;0;2:29.658;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;10;2:28.840;10;2:29.016;4;2:29.288;8;2:30.106;9;2:30.685;2;2:30.730;3;2:31.207;5;;0;;0;;0;2:29.981;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;11;2:28.785;8;2:28.846;3;2:28.890;10;2:29.163;5;2:29.266;2;2:29.288;4;2:30.419;9;;0;;0;;0;2:29.236;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;9;2:29.474;5;2:29.685;3;2:30.493;4;2:30.586;2;;0;;0;;0;;0;;0;;0;2:30.059;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;10;2:30.573;3;2:31.899;4;2:31.977;2;2:32.101;5;;0;;0;;0;;0;;0;;0;2:31.637;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;9;2:28.329;7;2:28.401;2;2:28.409;9;2:29.506;6;2:29.637;3;2:31.295;8;;0;;0;;0;;0;2:29.262;
