CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;5;3;2:26.900;;;134.1;
Am;2;2;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;6;4;2:26.939;+0.039;+0.039;134.1;
Am;3;3;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;7;5;2:27.023;+0.123;+0.084;134.0;
Am;4;4;13;BSI Racing;Toyota GR86;Westin Workman;6;3;2:27.091;+0.191;+0.068;133.9;
Am;5;5;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;7;6;2:27.132;+0.232;+0.041;133.9;
Am;6;6;16;Copeland Motorsports;Toyota GR86;John Dean;6;5;2:27.363;+0.463;+0.231;133.7;
Am;7;7;72;TechSport;Toyota GR86;Ethan Goulart;6;3;2:27.495;+0.595;+0.132;133.6;
Am;8;8;21;Copeland Motorsports;Toyota GR86;Ford Koch;6;2;2:27.647;+0.747;+0.152;133.4;
Am;9;9;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;6;2;2:28.105;+1.205;+0.458;133.0;
Am;10;10;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;5;2;2:28.106;+1.206;+0.001;133.0;
Am;11;11;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;6;6;2:28.118;+1.218;+0.012;133.0;
Am;12;12;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;6;2;2:28.128;+1.228;+0.010;133.0;
Am;13;13;98;TechSport;Toyota GR86;Max Schweid;6;6;2:28.254;+1.354;+0.126;132.9;
Am;14;14;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;6;3;2:28.686;+1.786;+0.432;132.5;
Am;15;15;47;TechSport;Toyota GR86;Ayden Kirk;6;4;2:28.887;+1.987;+0.201;132.3;
Am;16;16;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;6;3;2:29.002;+2.102;+0.115;132.2;
Am;17;17;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;6;2;2:29.148;+2.248;+0.146;132.1;
Am;18;18;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;6;3;2:29.282;+2.382;+0.134;132.0;
Am;19;19;71;TechSport;Toyota GR86;Christian Weir;4;3;2:29.376;+2.476;+0.094;131.9;
Am;20;20;14;Skip Barber Racing;Toyota GR86;Alex Garcia;6;6;2:29.567;+2.667;+0.191;131.7;
Am;21;21;3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jason Kos;6;5;2:29.586;+2.686;+0.019;131.7;
Am;22;22;15;TechSport;Toyota GR86;Brett Kowalski;6;6;2:29.725;+2.825;+0.139;131.6;
Am;23;23;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;6;4;2:29.749;+2.849;+0.024;131.5;
Am;24;24;73;Precision Racing LA;Toyota GR86;Mike Lamarra;6;5;2:30.506;+3.606;+0.757;130.9;
Am;25;25;03;Precision Racing LA;Toyota GR86;Karl Forman;6;3;2:31.061;+4.161;+0.555;130.4;
Am;26;26;51;BSI Racing;Toyota GR86;Massimo Sunseri;6;6;2:31.531;+4.631;+0.470;130.0;
Am;27;27;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;6;6;2:31.925;+5.025;+0.394;129.7;
Am;28;28;18;Precision Racing LA;Toyota GR86;Rutledge Wood;6;4;2:32.583;+5.683;+0.658;129.1;
Am;29;29;86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Andrew Gilleland;6;4;2:32.638;+5.738;+0.055;129.1;
Am;30;30;57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jeff Curry;6;6;2:33.130;+6.230;+0.492;128.6;
Am;31;31;8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Tom Rudnai;6;6;2:34.660;+7.760;+1.530;127.4;
