NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:24.824;0;;1:10.832;0;1:07.436;0;1:06.556;0;96.2;3:24.824;09:33:24.824;1:10.832;1:07.436;1:06.556;177.6;Karl Forman;0:00:37.446;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;70.832;67.436;66.556;54.145;54.145;16.687;1:10.832;26.445;1:37.277;40.991;2:18.268;33.239;2:51.507;33.317;3:24.824;
03;1;2;2:32.408;0;;32.979;0;58.572;0;1:00.857;0;129.2;5:57.232;09:35:57.232;0:32.979;0:58.572;1:00.857;200.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;32.979;58.572;60.857;20.611;20.611;12.368;32.979;22.935;55.914;35.637;1:31.551;29.972;2:01.523;30.885;2:32.408;
03;1;3;2:30.637;0;;32.861;0;58.042;0;59.734;2;130.8;8:27.869;09:38:27.869;0:32.861;0:58.042;0:59.734;198.5;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;32.861;58.042;59.734;20.524;20.524;12.337;32.861;22.519;55.380;35.523;1:30.903;28.856;1:59.759;30.878;2:30.637;
03;1;4;2:31.329;0;;33.339;0;58.125;0;59.865;0;130.2;10:59.198;09:40:59.198;0:33.339;0:58.125;0:59.865;198.5;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;33.339;58.125;59.865;20.893;20.893;12.446;33.339;22.610;55.949;35.515;1:31.464;29.032;2:00.496;30.833;2:31.329;
03;1;5;2:30.279;2;;32.629;2;57.785;2;59.865;0;131.1;13:29.477;09:43:29.477;0:32.629;0:57.785;0:59.865;200.7;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;32.629;57.785;59.865;20.270;20.270;12.359;32.629;22.365;54.994;35.420;1:30.414;28.868;1:59.282;30.997;2:30.279;
03;1;6;2:48.498;0;B;33.040;0;1:00.994;0;1:14.464;0;116.9;16:17.975;09:46:17.975;0:33.040;1:00.994;1:14.464;169.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;33.040;60.994;74.464;20.702;20.702;12.338;33.040;23.942;56.982;37.052;1:34.034;30.600;2:04.634;43.864;2:48.498;
11;1;1;2:46.432;0;;39.391;0;1:01.240;0;1:05.801;0;118.4;2:46.432;09:32:46.432;0:39.391;1:01.240;1:05.801;196.4;Farran Davis;0:00:08.920;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;39.391;61.240;65.801;25.280;25.280;14.111;39.391;24.919;1:04.310;36.321;1:40.631;31.847;2:12.478;33.954;2:46.432;
11;1;2;2:31.188;2;;33.205;0;58.100;2;59.883;0;130.3;5:17.620;09:35:17.620;0:33.205;0:58.100;0:59.883;199.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;33.205;58.100;59.883;20.689;20.689;12.516;33.205;22.458;55.663;35.642;1:31.305;28.934;2:00.239;30.949;2:31.188;
11;1;3;2:30.843;0;;33.207;0;58.111;0;59.525;2;130.6;7:48.463;09:37:48.463;0:33.207;0:58.111;0:59.525;198.5;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;33.207;58.111;59.525;20.677;20.677;12.530;33.207;22.516;55.723;35.595;1:31.318;28.811;2:00.129;30.714;2:30.843;
11;1;4;2:31.568;0;;32.926;2;58.449;0;1:00.193;0;130.0;10:20.031;09:40:20.031;0:32.926;0:58.449;1:00.193;198.5;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;32.926;58.449;60.193;20.462;20.462;12.464;32.926;22.699;55.625;35.750;1:31.375;29.128;2:00.503;31.065;2:31.568;
