TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1745764251;4/27/2025 2:30:51 PM;23.97;29.6;82.86;996.3;13.32;168;0;
1745764313;4/27/2025 2:31:53 PM;24.01;29.9;82.7;996.3;10.08;175;0;
1745764376;4/27/2025 2:32:56 PM;24.07;30.1;82.34;996.3;13.32;171;0;
1745764439;4/27/2025 2:33:59 PM;24.11;30.3;82.13;996.2;14.76;174;0;
1745764501;4/27/2025 2:35:01 PM;24.11;30.4;81.55;996.3;14.4;170;0;
1745764564;4/27/2025 2:36:04 PM;24.13;30.8;81.65;996.2;19.08;178;0;
1745764627;4/27/2025 2:37:07 PM;24.16;31;81.58;996.2;20.16;171;0;
1745764690;4/27/2025 2:38:10 PM;24.16;31.2;81.55;996.3;7.92;188;0;
1745764752;4/27/2025 2:39:12 PM;24.19;31.3;81.83;996.3;11.52;171;0;
1745764815;4/27/2025 2:40:15 PM;24.25;31.6;81.25;996.3;9.36;200;0;
1745764878;4/27/2025 2:41:18 PM;24.32;31.8;81.28;996.3;9.72;179;0;
1745764940;4/27/2025 2:42:20 PM;24.42;32;80.59;996.3;14.4;164;0;
1745765003;4/27/2025 2:43:23 PM;24.5;32.3;81.01;996.3;6.12;213;0;
1745765066;4/27/2025 2:44:26 PM;24.62;32.6;80.88;996.3;10.08;162;0;
