NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;6;2:27.758;5;2:28.505;3;2:28.996;6;2:29.793;2;2:30.519;4;;0;;0;;0;;0;;0;2:29.114;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos;6;2:29.826;3;2:30.245;4;2:30.388;2;2:31.571;5;;0;;0;;0;;0;;0;;0;2:30.507;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;6;2:30.279;5;2:30.637;3;2:31.329;4;2:32.408;2;;0;;0;;0;;0;;0;;0;2:31.163;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;6;2:28.429;3;2:29.295;4;2:29.631;2;2:29.676;6;2:33.525;5;;0;;0;;0;;0;;0;2:30.111;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;6;2:26.974;5;2:27.644;4;2:27.674;2;2:34.936;3;;0;;0;;0;;0;;0;;0;2:29.307;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;6;2:33.993;5;2:34.441;6;2:34.582;4;2:35.217;3;2:36.877;2;;0;;0;;0;;0;;0;2:35.022;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;6;2:31.188;2;2:31.568;4;;0;;0;;0;;0;;0;;0;;0;;0;2:31.378;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;6;2:27.781;5;2:27.845;3;2:27.885;2;2:29.576;6;2:31.535;4;;0;;0;;0;;0;;0;2:28.924;
14;Skip Barber Racing;Toyota GR86;Am;Alex;Garcia;6;2:29.653;4;2:29.844;3;2:30.071;5;2:30.117;2;;0;;0;;0;;0;;0;;0;2:29.921;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;6;2:28.843;2;2:29.054;3;;0;;0;;0;;0;;0;;0;;0;;0;2:28.948;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean;6;2:27.850;4;2:28.432;2;2:29.098;5;2:34.152;3;;0;;0;;0;;0;;0;;0;2:29.883;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;6;2:32.739;5;2:33.258;6;2:33.672;4;2:33.988;3;2:38.139;2;;0;;0;;0;;0;;0;2:34.359;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;6;2:27.710;2;2:28.398;5;2:29.199;3;2:32.742;4;;0;;0;;0;;0;;0;;0;2:29.512;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;6;2:28.498;5;2:28.921;4;2:30.098;3;2:30.820;2;;0;;0;;0;;0;;0;;0;2:29.584;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;6;2:28.386;3;2:29.410;2;2:29.479;4;2:31.176;5;;0;;0;;0;;0;;0;;0;2:29.612;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;5;2:27.122;3;2:27.685;2;2:31.868;4;;0;;0;;0;;0;;0;;0;;0;2:28.891;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;6;2:28.234;3;2:28.678;2;;0;;0;;0;;0;;0;;0;;0;;0;2:28.456;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;6;2:30.634;3;2:30.787;5;2:31.049;2;2:31.595;4;;0;;0;;0;;0;;0;;0;2:31.016;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;6;2:27.416;4;2:27.982;6;2:28.500;2;2:29.793;5;2:30.484;3;;0;;0;;0;;0;;0;2:28.835;
57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jeff;Curry;6;2:32.580;5;;0;;0;;0;;0;;0;;0;;0;;0;;0;2:32.580;
71;TechSport;Toyota GR86;Am;Christian;Weir;6;2:28.388;2;2:28.719;4;2:29.049;6;2:30.102;3;2:32.133;5;;0;;0;;0;;0;;0;2:29.678;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;6;2:27.706;3;2:27.768;2;2:27.801;4;2:29.107;6;2:29.548;5;;0;;0;;0;;0;;0;2:28.386;
73;Precision Racing LA;Toyota GR86;Am;Mike;Lamarra;6;2:31.055;6;2:34.896;5;;0;;0;;0;;0;;0;;0;;0;;0;2:32.975;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;5;2:28.374;2;2:28.460;3;2:32.555;4;;0;;0;;0;;0;;0;;0;;0;2:29.796;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;6;2:31.698;2;2:32.398;4;2:32.578;5;2:33.939;6;2:33.957;3;;0;;0;;0;;0;;0;2:32.914;
86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Andrew;Gilleland;6;2:32.960;3;2:33.376;2;;0;;0;;0;;0;;0;;0;;0;;0;2:33.168;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Zach;Hollingshead;6;2:28.727;6;2:28.923;4;2:28.972;3;2:32.746;5;2:34.837;2;;0;;0;;0;;0;;0;2:30.841;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;6;2:28.501;2;2:28.712;3;2:28.800;4;2:28.914;6;2:29.129;5;;0;;0;;0;;0;;0;2:28.811;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;6;2:30.015;5;2:30.599;6;;0;;0;;0;;0;;0;;0;;0;;0;2:30.307;
98;TechSport;Toyota GR86;Am;Max;Schweid;6;2:28.661;6;2:28.672;5;2:28.956;3;2:29.643;2;2:31.059;4;;0;;0;;0;;0;;0;2:29.398;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;6;2:29.858;3;;0;;0;;0;;0;;0;;0;;0;;0;;0;2:29.858;
