"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","13","Westin Workman","Am","3","31:48.204",1908204,"2:33.232",153232,"94.304","3","","","0","4","12.042","0","","Westin","Workman","2:34.314",154314,"1","45.075",45075,"57.468",57468,"50.689",50689,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","15241424","",4,"3 (4 → 1)","3"
"2","2","55","Spike Kohlbecker","Am","3","32:07.489",1927489,"2:33.400",153400,"94.201","3","0.168","0.168","0","21","12.042","0","","Spike","Kohlbecker","2:34.585",154585,"1","45.102",45102,"57.374",57374,"50.806",50806,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","11385466","",21,"19 (21 → 2)","19"
"3","3","5","Gresham Wagner","Am","3","31:47.022",1907022,"2:33.568",153568,"94.098","3","0.336","0.168","0","1","12.042","3","","Gresham","Wagner","2:34.760",154760,"1","44.998",44998,"57.514",57514,"50.693",50693,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","",1,"-2 (1 → 3)","-2"
"4","4","57","Mia Lovell","Am","3","31:52.790",1912790,"2:33.596",153596,"94.081","3","0.364","0.028","0","22","12.042","0","","Mia","Lovell","2:35.436",155436,"1","44.722",44722,"57.769",57769,"50.701",50701,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","10314665","",22,"18 (22 → 4)","18"
"5","5","99","Jaxon Bell","Am","1","5:16.138",316138,"2:33.616",153616,"94.068","1","0.384","0.020","0","28","4.014","0","","Jaxon","Bell","","","1","45.142",45142,"57.674",57674,"50.800",50800,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","13153784","",28,"23 (28 → 5)","23"
"6","6","46","Lucas Weisenberg","Am","3","31:52.700",1912700,"2:34.293",154293,"93.656","3","1.061","0.677","0","18","12.042","0","","Lucas","Weisenberg","2:35.325",155325,"1","45.019",45019,"57.691",57691,"51.061",51061,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","12208074","",18,"12 (18 → 6)","12"
"7","7","18","Jordan RickSegrini","Am","3","31:58.359",1918359,"2:34.599",154599,"93.470","3","1.367","0.306","0","7","12.042","0","","Jordan","RickSegrini","2:35.485",155485,"1","45.361",45361,"58.050",58050,"51.126",51126,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","12415550","",7,"0 (7 → 7)","0"
"8","8","24","Jade Avedisian","Am","3","31:59.061",1919061,"2:34.618",154618,"93.459","3","1.386","0.019","0","11","12.042","0","","Jade","Avedisian","2:35.405",155405,"1","45.328",45328,"58.060",58060,"50.928",50928,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:I3iuI5ezz3Adm1-ASEGz3","entries:events-2024-sro-roadamerica:I3iuI5ezz3Adm1-ASEGz3","10544198","",11,"3 (11 → 8)","3"
"9","9","39","Maximilian Hewitt","Am","3","31:59.602",1919602,"2:34.714",154714,"93.401","3","1.482","0.096","0","16","12.042","0","","Maximilian","Hewitt","2:35.534",155534,"1","45.268",45268,"58.192",58192,"51.254",51254,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:cdVC2L-YkHFsIHNXUNexL","entries:events-2024-sro-roadamerica:cdVC2L-YkHFsIHNXUNexL","13778007","",16,"7 (16 → 9)","7"
"10","10","21","Ford Koch","Am","3","32:01.714",1921714,"2:34.896",154896,"93.291","3","1.664","0.182","0","9","12.042","0","","Ford","Koch","2:37.135",157135,"1","45.362",45362,"58.324",58324,"51.210",51210,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:yrtaXHS96_qt-TjOdE6JB","entries:events-2024-sro-roadamerica:yrtaXHS96_qt-TjOdE6JB","10837109","",9,"-1 (9 → 10)","-1"
"11","11","35","Yuki Sano","Am","3","31:57.472",1917472,"2:34.944",154944,"93.262","3","1.712","0.048","0","14","12.042","0","","Yuki","Sano","2:42.426",162426,"1","45.078",45078,"58.090",58090,"50.946",50946,"Yuki","Sano","","218666","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","JAP","","entries:events-2024-sro-roadamerica:SGxs0OcT4j8VZFKSDT3Wu","entries:events-2024-sro-roadamerica:SGxs0OcT4j8VZFKSDT3Wu","15330235","",14,"3 (14 → 11)","3"
"12","12","76","Steven Clemons","Am","3","32:01.475",1921475,"2:35.597",155597,"92.871","3","2.365","0.653","0","25","12.042","0","","Steven","Clemons","2:36.119",156119,"1","45.371",45371,"58.505",58505,"51.487",51487,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","13032211","",25,"13 (25 → 12)","13"
"13","13","71","Christian Weir","Am","3","32:14.330",1934330,"2:36.073",156073,"92.587","3","2.841","0.476","0","24","12.042","0","","Christian","Weir","2:45.754",165754,"1","46.014",46014,"58.601",58601,"51.458",51458,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","12055196","",24,"11 (24 → 13)","11"
"14","14","22","Devin Anderson","Am","3","32:15.005",1935005,"2:36.184",156184,"92.522","3","2.952","0.111","0","10","12.042","0","","Devin","Anderson","22:53.730",1373730,"2","45.887",45887,"58.856",58856,"51.441",51441,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","11308725","",10,"-4 (10 → 14)","-4"
"15","15","44","Henry Drury","Am","3","32:17.649",1937649,"2:36.338",156338,"92.431","3","3.106","0.154","0","17","12.042","0","","Henry","Drury","2:36.814",156814,"1","45.504",45504,"58.286",58286,"51.839",51839,"Henry","Drury","","219270","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","14864382","",17,"2 (17 → 15)","2"
"16","16","31","Luke Rumburg","Am","3","32:14.836",1934836,"2:36.553",156553,"92.304","3","3.321","0.215","0","13","12.042","0","","Luke","Rumburg","2:37.813",157813,"1","45.444",45444,"58.318",58318,"51.622",51622,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","16199534","",13,"-3 (13 → 16)","-3"
"17","17","50","Casey Mashore","Am","3","32:14.221",1934221,"2:37.007",157007,"92.037","3","3.775","0.454","0","20","12.042","0","","Casey","Mashore","2:39.202",159202,"1","45.926",45926,"58.792",58792,"52.218",52218,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dHzaf2Rx08WFNp8PxVO4o","entries:events-2024-sro-roadamerica:dHzaf2Rx08WFNp8PxVO4o","10127188","",20,"3 (20 → 17)","3"
"18","18","15","Bennett Muldoon","Am","3","32:18.779",1938779,"2:37.070",157070,"92.000","3","3.838","0.063","0","6","12.042","0","","Bennett","Muldoon","2:38.235",158235,"1","45.813",45813,"59.120",59120,"52.137",52137,"Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:yzN5L0ak1c7FQB9cKeB6-","entries:events-2024-sro-roadamerica:yzN5L0ak1c7FQB9cKeB6-","11530888","",6,"-12 (6 → 18)","-12"
"19","19","09","Maddie Aust","Am","3","32:05.794",1925794,"2:37.172",157172,"91.940","3","3.940","0.102","0","2","12.042","0","","Maddie","Aust","2:38.035",158035,"1","46.348",46348,"58.886",58886,"51.938",51938,"Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","",2,"-17 (2 → 19)","-17"
"20","20","77","William Lambros","Am","1","5:49.612",349612,"2:37.438",157438,"91.785","1","4.206","0.266","0","26","4.014","0","","William","Lambros","","","","45.953",45953,"58.796",58796,"52.209",52209,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:KDk5_k3M0L5LbF_iTt4ae","entries:events-2024-sro-roadamerica:KDk5_k3M0L5LbF_iTt4ae","15422081","",26,"6 (26 → 20)","6"
"21","21","14","Alex Garcia","Am","2","30:05.627",1805627,"2:38.017",158017,"91.448","1","4.785","0.579","0","5","8.028","0","","Alex","Garcia","24:16.825",1456825,"1","45.605",45605,"58.881",58881,"52.614",52614,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:INFBUUJgZrzc_6oIT8ylN","entries:events-2024-sro-roadamerica:INFBUUJgZrzc_6oIT8ylN","15057570","",5,"-16 (5 → 21)","-16"
