"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"5","Gresham Wagner","1","1","2:34.760",154760,"5:15.006",315006,"11:20:14.957","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.545",45545,"58.087",58087,"51.128",51128,"00:18.990",18990,"00:26.555",26555,"00:28.248",28248,"00:29.839",29839,"00:27.295",27295,"00:23.833",23833
"5","Gresham Wagner","2","2","23:58.448",1438448,"29:13.454",1753454,"11:44:13.405","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","22:09.787",1329787,"57.787",57787,"50.874",50874,"21:42.947",1302947,"00:26.840",26840,"00:28.000",28000,"00:29.787",29787,"00:27.015",27015,"00:23.859",23859
"5","Gresham Wagner","3","3","2:33.568",153568,"31:47.022",1907022,"11:46:46.973","Am","Finish Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.361",45361,"57.514",57514,"50.693",50693,"00:18.726",18726,"00:26.635",26635,"00:27.797",27797,"00:29.717",29717,"00:26.943",26943,"00:23.750",23750
"09","Maddie Aust","1","1","2:38.035",158035,"5:29.823",329823,"11:20:29.774","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.391",46391,"59.542",59542,"52.102",52102,"00:19.400",19400,"00:26.991",26991,"00:28.866",28866,"00:30.676",30676,"00:27.927",27927,"00:24.175",24175
"09","Maddie Aust","2","2","23:58.799",1438799,"29:28.622",1768622,"11:44:28.573","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","22:07.538",1327538,"59.171",59171,"52.090",52090,"21:40.061",1300061,"00:27.477",27477,"00:28.858",28858,"00:30.313",30313,"00:27.775",27775,"00:24.315",24315
"09","Maddie Aust","3","3","2:37.172",157172,"32:05.794",1925794,"11:47:05.745","Am","Finish Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.348",46348,"58.886",58886,"51.938",51938,"00:19.175",19175,"00:27.173",27173,"00:28.684",28684,"00:30.202",30202,"00:27.727",27727,"00:24.211",24211
"11","Farran Davis","1","1","2:44.516",164516,"5:49.183",349183,"11:20:49.134","Am","Green Flag","Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","10741809","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Farran"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219268"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Davis"",""transponderNumber"":""10741809"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""11"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Homes.com, RVA Graphics & Wraps"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.806Z"",""id"":""entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt"",""createdAt"":""2024-08-14T23:06:50.838Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Farran"",""driverLastName"":""Davis"",""driverName"":""Farran Davis"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","48.665",48665,"1:00.983",60983,"54.868",54868,"00:20.462",20462,"00:28.203",28203,"00:29.477",29477,"00:31.506",31506,"00:29.420",29420,"00:25.448",25448
"11","Farran Davis","2","2","23:48.566",1428566,"29:37.749",1777749,"11:44:37.700","Am","Green Flag","Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","10741809","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Farran"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219268"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Davis"",""transponderNumber"":""10741809"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""11"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Homes.com, RVA Graphics & Wraps"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.806Z"",""id"":""entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt"",""createdAt"":""2024-08-14T23:06:50.838Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Farran"",""driverLastName"":""Davis"",""driverName"":""Farran Davis"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","21:52.655",1312655,"1:02.075",62075,"53.836",53836,"21:24.303",1284303,"00:28.352",28352,"00:30.118",30118,"00:31.957",31957,"00:29.150",29150,"00:24.686",24686
"11","Farran Davis","3","3","2:40.861",160861,"32:18.610",1938610,"11:47:18.561","Am","Finish Flag","Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","10741809","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Farran"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219268"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Davis"",""transponderNumber"":""10741809"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""11"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Homes.com, RVA Graphics & Wraps"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.806Z"",""id"":""entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt"",""createdAt"":""2024-08-14T23:06:50.838Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Farran"",""driverLastName"":""Davis"",""driverName"":""Farran Davis"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.404",46404,"1:00.392",60392,"54.065",54065,"00:19.257",19257,"00:27.147",27147,"00:29.836",29836,"00:30.556",30556,"00:29.547",29547,"00:24.518",24518
"13","Westin Workman","1","1","2:34.314",154314,"5:15.100",315100,"11:20:15.051","Am","Green Flag","Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","15241424","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Westin"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219250"",""team"":""Copeland Motorsports"",""driver1lastName"":""Workman"",""transponderNumber"":""15241424"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""13"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""JBL Audio"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.970Z"",""id"":""entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B"",""createdAt"":""2024-08-14T23:06:50.962Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Westin"",""driverLastName"":""Workman"",""driverName"":""Westin Workman"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.104",45104,"58.284",58284,"50.926",50926,"00:18.654",18654,"00:26.450",26450,"00:28.365",28365,"00:29.919",29919,"00:27.225",27225,"00:23.701",23701
