"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:33.568","2:34.760","23:58.448","","","","","","","","09:42.259"
"GR Cup","Am","09","2:37.172","2:38.035","23:58.799","","","","","","","","09:44.669"
"GR Cup","Am","11","2:40.861","2:44.516","23:48.566","","","","","","","","09:44.648"
"GR Cup","Am","13","2:33.232","2:34.314","23:59.872","","","","","","","","09:42.473"
"GR Cup","Am","14","2:38.017","2:53.387","24:16.825","","","","","","","","09:56.076"
"GR Cup","Am","15","2:37.070","2:38.235","23:32.988","","","","","","","","09:36.098"
"GR Cup","Am","18","2:34.599","2:35.485","24:02.130","","","","","","","","09:44.071"
"GR Cup","Am","20","2:49.919","2:50.485","23:32.652","","","","","","","","09:44.352"
"GR Cup","Am","21","2:34.896","2:37.135","23:29.296","","","","","","","","09:33.776"
"GR Cup","Am","22","2:36.184","3:04.083","22:53.730","","","","","","","","09:31.332"
"GR Cup","Am","24","2:34.618","2:35.405","23:57.679","","","","","","","","09:42.567"
"GR Cup","Am","25","2:38.660","25:50.480","","","","","","","","","14:14.570"
"GR Cup","Am","31","2:36.553","2:37.813","23:58.769","","","","","","","","09:44.378"
"GR Cup","Am","35","2:34.944","2:42.426","23:35.990","","","","","","","","09:37.787"
"GR Cup","Am","39","2:34.714","2:35.534","24:00.153","","","","","","","","09:43.467"
"GR Cup","Am","44","2:36.338","2:36.814","23:27.343","","","","","","","","09:33.498"
"GR Cup","Am","46","2:34.293","2:35.325","23:57.254","","","","","","","","09:42.291"
"GR Cup","Am","50","2:37.007","2:39.202","23:47.949","","","","","","","","09:41.386"
"GR Cup","Am","55","2:33.400","2:34.585","23:55.313","","","","","","","","09:41.099"
"GR Cup","Am","57","2:33.596","2:35.436","23:58.683","","","","","","","","09:42.572"
"GR Cup","Am","61","2:47.158","24:04.072","","","","","","","","","13:25.615"
"GR Cup","Am","71","2:36.073","2:45.754","23:34.784","","","","","","","","09:38.870"
"GR Cup","Am","76","2:35.597","2:36.119","24:01.328","","","","","","","","09:44.348"
"GR Cup","Am","77","2:37.438","","","","","","","","","","02:37.438"
"GR Cup","Am","86","2:41.284","2:43.122","23:30.832","","","","","","","","09:38.413"
"GR Cup","Am","99","2:33.616","","","","","","","","","","02:33.616"
