"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","5","15:28.890",928890,"2:31.133",151133,"95.614","4","","","0","1","20.070","3","","Gresham","Wagner","2:31.319",151319,"","44.419",44419,"56.623",56623,"49.962",49962,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","",1,"0 (1 → 1)","0"
"2","2","13","Westin Workman","Am","5","15:22.890",922890,"2:31.525",151525,"95.366","5","0.392","0.392","0","4","20.070","2","","Westin","Workman","2:31.579",151579,"","44.472",44472,"56.826",56826,"50.017",50017,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","15241424","",4,"2 (4 → 2)","2"
"3","3","99","Jaxon Bell","Am","5","15:42.711",942711,"2:31.578",151578,"95.333","2","0.445","0.053","0","27","20.070","0","","Jaxon","Bell","2:31.586",151586,"","44.353",44353,"57.047",57047,"49.975",49975,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","13153784","",27,"24 (27 → 3)","24"
"4","4","55","Spike Kohlbecker","Am","5","15:43.361",943361,"2:31.821",151821,"95.181","5","0.688","0.243","0","21","20.070","0","","Spike","Kohlbecker","2:31.990",151990,"","44.453",44453,"56.922",56922,"50.441",50441,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","11385466","",21,"17 (21 → 4)","17"
"5","5","57","Mia Lovell","Am","5","15:26.859",926859,"2:31.932",151932,"95.111","4","0.799","0.111","0","22","20.070","0","","Mia","Lovell","2:32.199",152199,"","44.503",44503,"57.146",57146,"50.105",50105,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","10314665","",22,"17 (22 → 5)","17"
"6","6","46","Lucas Weisenberg","Am","4","13:15.565",795565,"2:32.219",152219,"94.932","2","1.086","0.287","0","18","16.056","0","","Lucas","Weisenberg","2:32.744",152744,"1","44.642",44642,"57.099",57099,"50.429",50429,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","12208074","",18,"12 (18 → 6)","12"
"7","7","18","Jordan RickSegrini","Am","5","15:28.111",928111,"2:32.274",152274,"94.897","4","1.141","0.055","0","7","20.070","0","","Jordan","RickSegrini","2:32.395",152395,"","44.536",44536,"57.383",57383,"50.204",50204,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","12415550","",7,"0 (7 → 7)","0"
"8","8","21","Ford Koch","Am","5","15:38.904",938904,"2:32.316",152316,"94.871","3","1.183","0.042","0","9","20.070","0","","Ford","Koch","2:32.461",152461,"","44.716",44716,"56.864",56864,"50.527",50527,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:yrtaXHS96_qt-TjOdE6JB","entries:events-2024-sro-roadamerica:yrtaXHS96_qt-TjOdE6JB","10837109","",9,"1 (9 → 8)","1"
"9","9","14","Alex Garcia","Am","5","16:26.825",986825,"2:32.413",152413,"94.811","2","1.280","0.097","0","5","20.070","0","","Alex","Garcia","2:32.793",152793,"","44.984",44984,"57.110",57110,"50.237",50237,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:INFBUUJgZrzc_6oIT8ylN","entries:events-2024-sro-roadamerica:INFBUUJgZrzc_6oIT8ylN","15057570","",5,"-4 (5 → 9)","-4"
"10","10","76","Steven Clemons","Am","5","15:44.309",944309,"2:32.630",152630,"94.676","2","1.497","0.217","0","25","20.070","0","","Steven","Clemons","2:33.583",153583,"","44.535",44535,"57.621",57621,"50.474",50474,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","13032211","",25,"15 (25 → 10)","15"
"11","11","71","Christian Weir","Am","5","15:58.639",958639,"2:32.719",152719,"94.621","3","1.586","0.089","0","24","20.070","0","","Christian","Weir","2:33.372",153372,"","44.492",44492,"57.147",57147,"50.667",50667,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","12055196","",24,"13 (24 → 11)","13"
"12","12","22","Devin Anderson","Am","5","15:51.528",951528,"2:32.727",152727,"94.616","4","1.594","0.008","0","10","20.070","0","","Devin","Anderson","2:33.245",153245,"","44.788",44788,"57.429",57429,"50.510",50510,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","11308725","",10,"-2 (10 → 12)","-2"
"13","13","35","Yuki Sano","Am","5","15:37.092",937092,"2:32.786",152786,"94.579","3","1.653","0.059","0","14","20.070","0","","Yuki","Sano","2:33.218",153218,"","44.827",44827,"57.470",57470,"50.343",50343,"Yuki","Sano","","218666","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","JAP","","entries:events-2024-sro-roadamerica:SGxs0OcT4j8VZFKSDT3Wu","entries:events-2024-sro-roadamerica:SGxs0OcT4j8VZFKSDT3Wu","15330235","",14,"1 (14 → 13)","1"
"14","14","15","Bennett Muldoon","Am","5","15:59.939",959939,"2:32.939",152939,"94.485","3","1.806","0.153","0","6","20.070","0","","Bennett","Muldoon","2:33.664",153664,"","44.802",44802,"57.467",57467,"50.595",50595,"Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:yzN5L0ak1c7FQB9cKeB6-","entries:events-2024-sro-roadamerica:yzN5L0ak1c7FQB9cKeB6-","11530888","",6,"-8 (6 → 14)","-8"
"15","15","50","Casey Mashore","Am","5","16:04.875",964875,"2:32.955",152955,"94.475","2","1.822","0.016","0","20","20.070","0","","Casey","Mashore","2:33.271",153271,"","44.484",44484,"57.696",57696,"50.418",50418,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dHzaf2Rx08WFNp8PxVO4o","entries:events-2024-sro-roadamerica:dHzaf2Rx08WFNp8PxVO4o","10127188","",20,"5 (20 → 15)","5"
"16","16","44","Henry Drury","Am","5","15:54.023",954023,"2:32.963",152963,"94.470","3","1.830","0.008","0","17","20.070","0","","Henry","Drury","2:33.068",153068,"","44.890",44890,"57.147",57147,"50.632",50632,"Henry","Drury","","219270","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","14864382","",17,"1 (17 → 16)","1"
"17","17","31","Luke Rumburg","Am","5","15:43.253",943253,"2:33.073",153073,"94.402","2","1.940","0.110","0","13","20.070","0","","Luke","Rumburg","2:33.171",153171,"","44.754",44754,"57.466",57466,"50.551",50551,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","16199534","",13,"-4 (13 → 17)","-4"
"18","18","36","Kazuhisa Urabe","Am","5","15:50.094",950094,"2:33.161",153161,"94.348","4","2.028","0.088","0","15","20.070","0","","Kazuhisa","Urabe","2:33.259",153259,"","44.754",44754,"57.506",57506,"50.860",50860,"Kazuhisa","Urabe","","219199","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","JAP","","entries:events-2024-sro-roadamerica:YcMBGik9PIxttSD4_i7Z0","entries:events-2024-sro-roadamerica:YcMBGik9PIxttSD4_i7Z0","11358964","",15,"-3 (15 → 18)","-3"
"19","19","39","Maximilian Hewitt","Am","5","15:37.191",937191,"2:33.192",153192,"94.329","3","2.059","0.031","0","16","20.070","0","","Maximilian","Hewitt","2:33.386",153386,"","44.881",44881,"57.489",57489,"50.751",50751,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:cdVC2L-YkHFsIHNXUNexL","entries:events-2024-sro-roadamerica:cdVC2L-YkHFsIHNXUNexL","13778007","",16,"-3 (16 → 19)","-3"
"20","20","24","Jade Avedisian","Am","5","15:37.539",937539,"2:33.217",153217,"94.313","2","2.084","0.025","0","11","20.070","0","","Jade","Avedisian","2:33.538",153538,"","44.606",44606,"57.446",57446,"50.797",50797,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:I3iuI5ezz3Adm1-ASEGz3","entries:events-2024-sro-roadamerica:I3iuI5ezz3Adm1-ASEGz3","10544198","",11,"-9 (11 → 20)","-9"
"21","21","11","Farran Davis","Am","5","16:01.401",961401,"2:34.390",154390,"93.597","5","3.257","1.173","0","3","20.070","0","","Farran","Davis","2:35.559",155559,"","45.016",45016,"58.246",58246,"51.128",51128,"Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","entries:events-2024-sro-roadamerica:DcoT89dz0-odfmPj54OBt","10741809","",3,"-18 (3 → 21)","-18"
"22","22","09","Maddie Aust","Am","5","15:50.771",950771,"2:35.156",155156,"93.135","1","4.023","0.766","0","2","20.070","0","","Maddie","Aust","2:35.260",155260,"","45.349",45349,"57.829",57829,"51.367",51367,"Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","",2,"-20 (2 → 22)","-20"
"23","23","86","Andrew Gilleland","Am","5","16:30.341",990341,"2:35.817",155817,"92.740","5","4.684","0.661","0","26","20.070","0","","Andrew","Gilleland","2:37.690",157690,"","45.858",45858,"58.212",58212,"51.747",51747,"Andrew","Gilleland","","218694","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:M2QtXrrvUzMvLkqLo1IQO","entries:events-2024-sro-roadamerica:M2QtXrrvUzMvLkqLo1IQO","16239460","",26,"3 (26 → 23)","3"
"24","24","61","James Klimas","Am","5","16:34.183",994183,"2:36.556",156556,"92.302","5","5.423","0.739","0","23","20.070","0","","James","Klimas","2:38.826",158826,"","46.448",46448,"58.628",58628,"51.480",51480,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:asPfaMPs_rUk3dgCfbxdz","entries:events-2024-sro-roadamerica:asPfaMPs_rUk3dgCfbxdz","12079696","",23,"-1 (23 → 24)","-1"
"25","25","20","Ramon Llano","Am","5","16:49.557",1009557,"2:41.198",161198,"89.644","5","10.065","4.642","0","8","20.070","0","","Ramon","Llano","2:41.599",161599,"","46.925",46925,"1:00.707",60707,"53.123",53123,"Ramon","Llanos","","219131","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","MEX","","entries:events-2024-sro-roadamerica:QscMiw1vH6o_NYfqNSd8b","entries:events-2024-sro-roadamerica:QscMiw1vH6o_NYfqNSd8b","14496123","",8,"-17 (8 → 25)","-17"
"26","26","25","Alfonso Diaz","Am","","","","","","-","0","","","0","12","-","0","","Alfonso","Diaz","","","","","","","","","","Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","PRI","","entries:events-2024-sro-roadamerica:eVkoMKY49tz3H8brn-dWS","entries:events-2024-sro-roadamerica:eVkoMKY49tz3H8brn-dWS","13583245","",12,"-14 (12 → 26)","-14"
"27","27","47","Ayden Kirk","Am","","","","","","-","0","","","0","19","-","0","","Ayden","Kirk","","","","","","","","","","Ayden","Kirk","","219186","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:llC_xiEd1hotQLhEk0eMd","entries:events-2024-sro-roadamerica:llC_xiEd1hotQLhEk0eMd","11286329","",19,"-8 (19 → 27)","-8"
