"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"5","Gresham Wagner","1","1","2:31.965",151965,"5:09.613",309613,"10:00:09.640","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.940",44940,"56.944",56944,"50.081",50081,"00:18.410",18410,"00:26.530",26530,"00:27.632",27632,"00:29.312",29312,"00:26.653",26653,"00:23.428",23428
"5","Gresham Wagner","2","2","2:31.319",151319,"7:40.932",460932,"10:02:40.959","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.625",44625,"56.732",56732,"49.962",49962,"00:18.283",18283,"00:26.342",26342,"00:27.487",27487,"00:29.245",29245,"00:26.583",26583,"00:23.379",23379
"5","Gresham Wagner","3","3","2:36.380",156380,"10:17.312",617312,"10:05:17.339","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.644",44644,"57.828",57828,"53.908",53908,"00:18.313",18313,"00:26.331",26331,"00:27.489",27489,"00:30.339",30339,"00:30.657",30657,"00:23.251",23251
"5","Gresham Wagner","4","4","2:31.133",151133,"12:48.445",768445,"10:07:48.472","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.419",44419,"56.623",56623,"50.091",50091,"00:18.199",18199,"00:26.220",26220,"00:27.258",27258,"00:29.365",29365,"00:26.781",26781,"00:23.310",23310
"5","Gresham Wagner","5","5","2:40.445",160445,"15:28.890",928890,"10:10:28.917","Am","Finish Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.467Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","48.711",48711,"58.545",58545,"53.189",53189,"00:18.313",18313,"00:30.398",30398,"00:28.257",28257,"00:30.288",30288,"00:29.303",29303,"00:23.886",23886
"09","Maddie Aust","1","1","2:35.156",155156,"5:26.537",326537,"10:00:26.564","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.543",45543,"58.246",58246,"51.367",51367,"00:18.826",18826,"00:26.717",26717,"00:28.369",28369,"00:29.877",29877,"00:27.428",27428,"00:23.939",23939
"09","Maddie Aust","2","2","2:36.168",156168,"8:02.705",482705,"10:03:02.732","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.349",45349,"58.028",58028,"52.791",52791,"00:18.735",18735,"00:26.614",26614,"00:28.112",28112,"00:29.916",29916,"00:27.921",27921,"00:24.870",24870
"09","Maddie Aust","3","3","2:35.482",155482,"10:38.187",638187,"10:05:38.214","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.700",45700,"58.022",58022,"51.760",51760,"00:19.213",19213,"00:26.487",26487,"00:28.012",28012,"00:30.010",30010,"00:27.923",27923,"00:23.837",23837
"09","Maddie Aust","4","4","2:35.260",155260,"13:13.447",793447,"10:08:13.474","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.763",45763,"58.021",58021,"51.476",51476,"00:19.008",19008,"00:26.755",26755,"00:28.139",28139,"00:29.882",29882,"00:27.354",27354,"00:24.122",24122
"09","Maddie Aust","5","5","2:37.324",157324,"15:50.771",950771,"10:10:50.798","Am","Finish Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R","12372615","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""12372615"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-08-15T18:07:37.630Z"",""id"":""entries:events-2024-sro-roadamerica:XVIdfc8eA1U99Aj9FAF_R"",""createdAt"":""2024-08-14T23:06:50.674Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.777",45777,"57.829",57829,"53.718",53718,"00:18.999",18999,"00:26.778",26778,"00:27.808",27808,"00:30.021",30021,"00:28.098",28098,"00:25.620",25620
