"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:31.133","2:31.319","2:31.965","2:36.380","2:40.445","","","","","","02:34.248"
"GR Cup","Am","09","2:35.156","2:35.260","2:35.482","2:36.168","2:37.324","","","","","","02:35.878"
"GR Cup","Am","11","2:34.390","2:35.559","2:36.070","2:36.548","2:36.765","","","","","","02:35.866"
"GR Cup","Am","13","2:31.525","2:31.579","2:31.668","2:31.783","2:35.624","","","","","","02:32.436"
"GR Cup","Am","14","2:32.413","2:32.793","2:33.138","2:33.785","3:06.003","","","","","","02:39.626"
"GR Cup","Am","15","2:32.939","2:33.664","2:33.948","2:34.594","2:34.675","","","","","","02:33.964"
"GR Cup","Am","18","2:32.274","2:32.395","2:32.429","2:32.998","2:33.902","","","","","","02:32.800"
"GR Cup","Am","20","2:41.198","2:41.599","2:41.819","2:42.267","2:43.970","","","","","","02:42.171"
"GR Cup","Am","21","2:32.316","2:32.461","2:32.673","2:33.270","2:33.375","","","","","","02:32.819"
"GR Cup","Am","22","2:32.727","2:33.245","2:33.253","2:34.068","2:35.229","","","","","","02:33.704"
"GR Cup","Am","24","2:33.217","2:33.538","2:33.642","2:34.310","2:34.974","","","","","","02:33.936"
"GR Cup","Am","31","2:33.073","2:33.171","2:33.311","2:33.758","2:34.195","","","","","","02:33.502"
"GR Cup","Am","35","2:32.786","2:33.218","2:33.774","2:34.313","2:35.781","","","","","","02:33.974"
"GR Cup","Am","36","2:33.161","2:33.259","2:34.212","2:34.346","2:34.574","","","","","","02:33.910"
"GR Cup","Am","39","2:33.192","2:33.386","2:33.507","2:34.502","2:35.283","","","","","","02:33.974"
"GR Cup","Am","44","2:32.963","2:33.068","2:33.177","2:33.410","2:33.629","","","","","","02:33.249"
"GR Cup","Am","46","2:32.219","2:32.744","2:32.839","2:54.200","","","","","","","02:38.001"
"GR Cup","Am","50","2:32.955","2:33.271","2:33.526","2:33.916","2:55.249","","","","","","02:37.783"
"GR Cup","Am","55","2:31.821","2:31.990","2:32.459","2:32.835","2:34.880","","","","","","02:32.797"
"GR Cup","Am","57","2:31.932","2:32.199","2:32.457","2:33.360","2:35.876","","","","","","02:33.165"
"GR Cup","Am","61","2:36.556","2:38.826","2:39.047","2:41.150","2:42.309","","","","","","02:39.578"
"GR Cup","Am","71","2:32.719","2:33.372","2:33.578","2:34.503","2:44.082","","","","","","02:35.651"
"GR Cup","Am","76","2:32.630","2:33.583","2:34.085","2:35.491","2:38.516","","","","","","02:34.861"
"GR Cup","Am","86","2:35.817","2:37.690","2:37.803","2:38.099","2:43.726","","","","","","02:38.627"
"GR Cup","Am","99","2:31.578","2:31.586","2:33.071","2:34.456","2:52.312","","","","","","02:36.601"
