"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","71","Christian Weir","Am","5","15:38.040",938040,"2:30.688",150688,"95.896","5","","","0","4","20.070","0","","Christian","Weir","2:31.201",151201,"","44.027",44027,"56.746",56746,"49.748",49748,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","12055196","",4,"3 (4 → 1)","3"
"2","2","5","Gresham Wagner","Am","5","15:19.908",919908,"2:30.795",150795,"95.828","2","0.107","0.107","0","10","20.070","1","","Gresham","Wagner","2:31.005",151005,"","44.253",44253,"56.696",56696,"49.669",49669,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","",10,"8 (10 → 2)","8"
"3","3","99","Jaxon Bell","Am","5","15:18.582",918582,"2:30.867",150867,"95.782","5","0.179","0.072","0","2","20.070","1","","Jaxon","Bell","2:31.104",151104,"","44.262",44262,"56.662",56662,"49.632",49632,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","13153784","",2,"-1 (2 → 3)","-1"
"4","4","13","Westin Workman","Am","5","15:18.484",918484,"2:31.073",151073,"95.652","4","0.385","0.206","0","5","20.070","3","","Westin","Workman","2:31.123",151123,"","44.149",44149,"56.665",56665,"50.041",50041,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","15241424","",5,"1 (5 → 4)","1"
"5","5","55","Spike Kohlbecker","Am","5","15:37.871",937871,"2:31.160",151160,"95.597","4","0.472","0.087","0","1","20.070","0","","Spike","Kohlbecker","2:31.191",151191,"","44.259",44259,"56.871",56871,"49.905",49905,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","11385466","",1,"-4 (1 → 5)","-4"
"6","6","31","Luke Rumburg","Am","5","15:38.976",938976,"2:31.193",151193,"95.576","4","0.505","0.033","0","8","20.070","0","","Luke","Rumburg","2:31.240",151240,"","44.013",44013,"57.014",57014,"49.893",49893,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","16199534","",8,"2 (8 → 6)","2"
"7","7","57","Mia Lovell","Am","5","15:24.136",924136,"2:31.259",151259,"95.534","3","0.571","0.066","0","15","20.070","0","","Mia","Lovell","2:31.976",151976,"","44.216",44216,"56.886",56886,"50.070",50070,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","10314665","",15,"8 (15 → 7)","8"
"8","8","18","Jordan RickSegrini","Am","5","15:22.541",922541,"2:31.345",151345,"95.480","5","0.657","0.086","0","7","20.070","0","","Jordan","RickSegrini","2:31.456",151456,"","44.203",44203,"56.969",56969,"49.899",49899,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","12415550","",7,"-1 (7 → 8)","-1"
"9","9","22","Devin Anderson","Am","5","15:48.481",948481,"2:31.679",151679,"95.270","5","0.991","0.334","0","6","20.070","0","","Devin","Anderson","2:31.767",151767,"","44.112",44112,"56.974",56974,"49.965",49965,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","11308725","",6,"-3 (6 → 9)","-3"
"10","10","46","Lucas Weisenberg","Am","5","15:24.894",924894,"2:31.873",151873,"95.148","3","1.185","0.194","0","12","20.070","0","","Lucas","Weisenberg","2:32.041",152041,"","44.383",44383,"57.063",57063,"50.001",50001,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","12208074","",12,"2 (12 → 10)","2"
