"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","55","Spike Kohlbecker","Am","13","45:30.201",2730201,"2:45.121",165121,"87.514","4","","","0","4","52.182","3","2:31.821","Spike","Kohlbecker","2:45.469",165469,"","47.288",47288,"1:02.456",62456,"54.866",54866,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","11385466","",4,"3 (4 → 1)","3"
"2","2","99","Jaxon Bell","Am","13","45:30.399",2730399,"2:43.993",163993,"88.116","4","0.198","0.198","0","3","52.182","0","2:31.578","Jaxon","Bell","2:45.415",165415,"","47.112",47112,"1:01.711",61711,"54.775",54775,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","entries:events-2024-sro-roadamerica:L4svYhWaV7bAYTb7gx_Yk","13153784","",3,"1 (3 → 2)","1"
"3","3","44","Henry Drury","Am","13","45:30.800",2730800,"2:44.529",164529,"87.829","4","0.599","0.401","0","16","52.182","0","2:32.963","Henry","Drury","2:45.911",165911,"","47.146",47146,"1:02.034",62034,"54.787",54787,"Henry","Drury","","219270","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","14864382","",16,"13 (16 → 3)","13"
"4","4","71","Christian Weir","Am","13","45:32.036",2732036,"2:45.590",165590,"87.266","5","1.835","1.236","0","11","52.182","0","2:32.719","Christian","Weir","2:46.547",166547,"","46.958",46958,"1:02.634",62634,"55.589",55589,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","12055196","",11,"7 (11 → 4)","7"
"5","5","13","Westin Workman","Am","13","45:32.905",2732905,"2:45.078",165078,"87.537","4","2.704","0.869","0","2","52.182","0","2:31.525","Westin","Workman","2:45.974",165974,"","47.551",47551,"1:02.116",62116,"55.411",55411,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","15241424","",2,"-3 (2 → 5)","-3"
"6","6","35","Yuki Sano","Am","13","45:33.731",2733731,"2:43.773",163773,"88.234","4","3.530","0.826","0","13","52.182","0","2:32.786","Yuki","Sano","2:44.274",164274,"","46.518",46518,"1:01.755",61755,"54.464",54464,"Yuki","Sano","","218666","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","JAP","","entries:events-2024-sro-roadamerica:SGxs0OcT4j8VZFKSDT3Wu","entries:events-2024-sro-roadamerica:SGxs0OcT4j8VZFKSDT3Wu","15330235","",13,"7 (13 → 6)","7"
"7","7","22","Devin Anderson","Am","13","45:34.616",2734616,"2:44.728",164728,"87.723","4","4.415","0.885","0","12","52.182","0","2:32.727","Devin","Anderson","2:45.866",165866,"","46.750",46750,"1:02.061",62061,"55.091",55091,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","entries:events-2024-sro-roadamerica:Nf9380ruVBvpzLJIBMVKV","11308725","",12,"5 (12 → 7)","5"
"8","8","18","Jordan RickSegrini","Am","13","45:34.799",2734799,"2:45.548",165548,"87.288","5","4.598","0.183","0","7","52.182","0","2:32.274","Jordan","RickSegrini","2:46.306",166306,"","46.964",46964,"1:02.254",62254,"55.064",55064,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","12415550","",7,"-1 (7 → 8)","-1"
"9","9","31","Luke Rumburg","Am","13","45:35.969",2735969,"2:45.700",165700,"87.208","4","5.768","1.170","0","17","52.182","0","2:33.073","Luke","Rumburg","2:46.235",166235,"","47.275",47275,"1:02.551",62551,"55.507",55507,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","16199534","",17,"8 (17 → 9)","8"
"10","10","76","Steven Clemons","Am","13","45:36.570",2736570,"2:46.483",166483,"86.798","4","6.369","0.601","0","10","52.182","0","2:32.630","Steven","Clemons","2:47.077",167077,"","47.251",47251,"1:02.767",62767,"55.230",55230,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","13032211","",10,"0 (10 → 10)","0"
