"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"5","Gresham Wagner","1","1","2:37.342",157342,"2:37.416",157416,"12:18:05.180","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","48.094",48094,"58.984",58984,"50.264",50264,"00:21.271",21271,"00:26.823",26823,"00:29.246",29246,"00:29.738",29738,"00:26.768",26768,"00:23.496",23496
"5","Gresham Wagner","2","2","2:32.908",152908,"5:10.324",310324,"12:20:38.088","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.622",44622,"57.673",57673,"50.613",50613,"00:18.400",18400,"00:26.222",26222,"00:27.914",27914,"00:29.759",29759,"00:27.280",27280,"00:23.333",23333
"5","Gresham Wagner","3","3","2:32.032",152032,"7:42.356",462356,"12:23:10.120","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.411",44411,"57.179",57179,"50.442",50442,"00:18.122",18122,"00:26.289",26289,"00:27.682",27682,"00:29.497",29497,"00:26.690",26690,"00:23.752",23752
"5","Gresham Wagner","4","4","2:32.131",152131,"10:14.487",614487,"12:25:42.251","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.826",44826,"57.137",57137,"50.168",50168,"00:18.358",18358,"00:26.468",26468,"00:27.632",27632,"00:29.505",29505,"00:26.677",26677,"00:23.491",23491
"5","Gresham Wagner","5","5","2:31.748",151748,"12:46.235",766235,"12:28:13.999","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.637",44637,"57.037",57037,"50.074",50074,"00:18.346",18346,"00:26.291",26291,"00:27.528",27528,"00:29.509",29509,"00:26.674",26674,"00:23.400",23400
"5","Gresham Wagner","6","6","2:36.198",156198,"15:22.433",922433,"12:30:50.197","Am","Yellow Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.794",44794,"57.092",57092,"54.312",54312,"00:18.319",18319,"00:26.475",26475,"00:27.535",27535,"00:29.557",29557,"00:26.747",26747,"00:27.565",27565
"5","Gresham Wagner","7","7","5:15.050",315050,"20:37.483",1237483,"12:36:05.247","Am","Yellow Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","1:27.849",87849,"1:47.945",107945,"1:59.256",119256,"00:29.022",29022,"00:58.827",58827,"00:47.984",47984,"00:59.961",59961,"01:12.317",72317,"00:46.939",46939
"5","Gresham Wagner","8","8","6:23.879",383879,"27:01.362",1621362,"12:42:29.126","Am","Yellow Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","1:51.839",111839,"2:12.927",132927,"2:19.113",139113,"00:42.402",42402,"01:09.437",69437,"00:58.389",58389,"01:14.538",74538,"01:19.992",79992,"00:59.121",59121
"5","Gresham Wagner","9","9","5:17.516",317516,"32:18.878",1938878,"12:47:46.642","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","2:04.003",124003,"1:48.790",108790,"1:24.723",84723,"00:53.629",53629,"01:10.374",70374,"00:51.139",51139,"00:57.651",57651,"00:56.708",56708,"00:28.015",28015
"5","Gresham Wagner","10","10","2:32.192",152192,"34:51.070",2091070,"12:50:18.834","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-08-18T13:33:43.119Z"",""id"":""entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-"",""createdAt"":""2024-08-14T23:06:50.502Z"",""eventId"":""events:2024-sro-roadamerica""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.720",44720,"00:57.148",57148,"00:50.324",50324,"00:18.236",18236,"00:26.484",26484,"00:27.682",27682,"00:29.466",29466,"00:26.854",26854,"00:23.470",23470
