"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:31.693","2:31.748","2:31.887","2:31.993","2:32.032","2:32.131","2:32.192","2:32.248","2:32.255","2:32.908","02:32.109"
"GR Cup","Am","09","2:33.886","2:34.176","2:34.234","2:34.380","2:34.569","2:34.777","2:34.943","2:35.003","2:35.332","2:35.365","02:34.667"
"GR Cup","Am","11","2:34.612","2:34.913","2:35.172","2:35.343","2:35.361","2:35.561","2:35.771","2:35.944","2:36.060","2:36.644","02:35.538"
"GR Cup","Am","13","2:31.733","2:32.003","2:32.036","2:32.202","2:32.242","2:32.263","2:32.425","2:32.714","2:33.061","2:33.506","02:32.419"
"GR Cup","Am","14","2:33.065","2:33.105","2:33.105","2:33.162","2:33.264","2:33.409","2:33.939","2:34.454","2:35.266","2:35.991","02:33.876"
"GR Cup","Am","15","2:34.105","2:34.158","2:34.426","2:34.948","2:40.049","","","","","","02:35.537"
"GR Cup","Am","18","2:32.021","2:32.165","2:32.345","2:32.429","2:32.537","2:32.740","2:32.775","2:32.855","2:32.940","2:33.092","02:32.590"
"GR Cup","Am","20","2:40.575","2:41.646","2:42.598","2:43.075","2:43.475","2:44.423","2:44.488","2:44.750","2:45.079","2:45.208","02:43.532"
"GR Cup","Am","21","2:32.790","2:33.449","2:33.701","2:33.785","2:33.824","2:33.976","2:34.038","2:34.117","2:34.413","2:34.798","02:33.889"
"GR Cup","Am","22","2:32.814","2:32.859","2:33.829","2:34.058","2:34.287","2:34.753","2:34.991","2:35.165","2:35.765","2:36.854","02:34.538"
"GR Cup","Am","24","2:33.564","2:33.635","2:33.982","2:35.760","2:37.447","2:41.129","3:12.097","5:08.064","5:15.606","6:22.913","03:33.420"
"GR Cup","Am","25","2:35.072","2:35.651","2:35.832","2:35.919","2:35.977","2:36.384","2:36.476","2:36.502","2:36.606","2:37.144","02:36.156"
"GR Cup","Am","31","2:32.116","2:32.392","2:33.081","2:33.088","2:33.273","2:34.261","2:34.334","2:34.652","2:35.595","2:36.250","02:33.904"
"GR Cup","Am","35","2:32.745","2:32.825","2:33.798","2:34.320","2:34.523","2:34.538","2:34.715","2:34.899","2:40.265","2:55.145","02:36.777"
"GR Cup","Am","36","2:32.579","2:32.768","2:33.140","2:33.574","2:33.766","2:33.845","2:33.949","2:34.288","2:34.543","2:35.687","02:33.814"
"GR Cup","Am","39","2:32.575","2:32.639","2:32.977","2:33.483","2:33.681","2:33.751","2:33.785","2:34.294","2:34.686","2:36.238","02:33.811"
"GR Cup","Am","44","2:32.365","2:32.892","2:33.128","2:33.267","2:33.341","2:33.530","2:33.697","2:34.636","2:34.682","2:35.149","02:33.669"
"GR Cup","Am","46","2:32.008","2:32.274","2:32.698","2:32.744","2:32.840","2:32.856","2:32.999","2:33.258","2:33.389","2:33.694","02:32.876"
"GR Cup","Am","50","2:33.619","2:33.765","2:33.797","2:33.826","2:33.907","2:33.992","2:34.223","2:34.696","2:34.800","2:34.843","02:34.147"
"GR Cup","Am","55","2:31.967","2:32.003","2:32.222","2:32.391","2:32.432","2:32.517","2:32.897","2:32.996","2:33.137","2:33.314","02:32.588"
"GR Cup","Am","57","2:31.928","2:32.657","2:32.809","2:32.810","2:32.884","2:32.912","2:33.233","2:33.315","2:33.749","2:34.900","02:33.120"
"GR Cup","Am","61","2:36.515","2:36.837","2:36.855","2:36.875","2:36.891","2:37.469","2:37.534","2:37.605","2:38.134","2:39.092","02:37.381"
"GR Cup","Am","71","2:31.530","2:31.739","2:31.760","2:32.175","2:32.651","2:32.809","2:32.831","2:33.268","2:33.375","2:33.842","02:32.598"
"GR Cup","Am","76","2:33.019","2:33.155","2:33.232","2:33.275","2:33.381","2:33.821","2:34.153","2:34.282","2:35.227","2:35.307","02:33.885"
"GR Cup","Am","86","2:35.527","2:35.689","2:35.986","2:36.040","2:36.159","2:36.335","2:36.351","2:36.542","2:36.908","2:36.931","02:36.247"
"GR Cup","Am","99","2:31.925","2:32.198","2:32.254","2:32.390","2:32.613","2:32.800","2:36.578","2:36.625","2:58.273","5:14.953","02:52.061"
