"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","15","47:31.146",2851146,"2:31.693",151693,"95.261","12","","","25","2","60.210","12","2:30.795","Gresham","Wagner","2:31.748",151748,"","44.411",44411,"56.864",56864,"50.074",50074,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","entries:events-2024-sro-roadamerica:bh3bFx4kTb_2Qc4V9O0m-","15257379","",2,"1 (2 → 1)","1"
"2","2","13","Westin Workman","Am","15","47:32.647",2852647,"2:31.733",151733,"95.236","14","1.501","1.501","18","4","60.210","0","2:31.073","Westin","Workman","2:32.003",152003,"","44.433",44433,"57.034",57034,"50.072",50072,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","entries:events-2024-sro-roadamerica:hD6hW-LR9D78RdD6WPa7B","15241424","",4,"2 (4 → 2)","2"
"3","3","71","Christian Weir","Am","15","47:34.171",2854171,"2:31.530",151530,"95.363","14","3.025","1.524","15","1","60.210","2","2:30.688","Christian","Weir","2:31.739",151739,"","44.102",44102,"57.118",57118,"49.860",49860,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","entries:events-2024-sro-roadamerica:dgdHim7lSv6OeB54CH-dl","12055196","",1,"-2 (1 → 3)","-2"
"4","4","55","Spike Kohlbecker","Am","15","47:34.375",2854375,"2:31.967",151967,"95.089","14","3.229","0.204","12","5","60.210","0","2:31.160","Spike","Kohlbecker","2:32.003",152003,"","44.278",44278,"56.965",56965,"50.101",50101,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","entries:events-2024-sro-roadamerica:qb5D7KtWiQ1wImNux2J9e","11385466","",5,"1 (5 → 4)","1"
"5","5","18","Jordan RickSegrini","Am","15","47:34.802",2854802,"2:32.021",152021,"95.055","5","3.656","0.427","10","8","60.210","0","2:31.345","Jordan","RickSegrini","2:32.165",152165,"","44.254",44254,"57.194",57194,"49.886",49886,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","entries:events-2024-sro-roadamerica:tpKEZVHYVqQZV-NqYUfSq","12415550","",8,"3 (8 → 5)","3"
"6","6","46","Lucas Weisenberg","Am","15","47:37.646",2857646,"2:32.008",152008,"95.063","3","6.500","2.844","8","10","60.210","0","2:31.873","Lucas","Weisenberg","2:32.274",152274,"","44.367",44367,"57.282",57282,"50.118",50118,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","entries:events-2024-sro-roadamerica:ARQWJ3HmX1N_3ylnjSiZG","12208074","",10,"4 (10 → 6)","4"
"7","7","57","Mia Lovell","Am","15","47:37.851",2857851,"2:31.928",151928,"95.113","12","6.705","0.205","6","7","60.210","0","2:31.259","Mia","Lovell","2:32.657",152657,"","44.418",44418,"57.345",57345,"50.119",50119,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","entries:events-2024-sro-roadamerica:bHcfFqDc-j3MPwk_egwHY","10314665","",7,"0 (7 → 7)","0"
"8","8","44","Henry Drury","Am","15","47:44.122",2864122,"2:32.365",152365,"94.841","3","12.976","6.271","4","11","60.210","0","2:32.092","Henry","Drury","2:32.892",152892,"","44.715",44715,"57.347",57347,"50.264",50264,"Henry","Drury","","219270","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","entries:events-2024-sro-roadamerica:T8-Gg4Nw53ju-7AmzFv6X","14864382","",11,"3 (11 → 8)","3"
"9","9","21","Ford Koch","Am","15","47:44.730",2864730,"2:32.790",152790,"94.577","12","13.584","0.608","2","17","60.210","0","2:32.621","Ford","Koch","2:33.449",153449,"","44.740",44740,"57.514",57514,"50.251",50251,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:yrtaXHS96_qt-TjOdE6JB","entries:events-2024-sro-roadamerica:yrtaXHS96_qt-TjOdE6JB","10837109","",17,"8 (17 → 9)","8"
"10","10","36","Kazuhisa Urabe","Am","15","47:45.025",2865025,"2:32.579",152579,"94.708","3","13.879","0.295","1","16","60.210","0","2:32.546","Kazuhisa","Urabe","2:32.768",152768,"","44.668",44668,"57.285",57285,"50.184",50184,"Kazuhisa","Urabe","","219199","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","JAP","","entries:events-2024-sro-roadamerica:YcMBGik9PIxttSD4_i7Z0","entries:events-2024-sro-roadamerica:YcMBGik9PIxttSD4_i7Z0","11358964","",16,"6 (16 → 10)","6"
"11","11","39","Maximilian Hewitt","Am","15","47:45.472",2865472,"2:32.575",152575,"94.710","5","14.326","0.447","0","12","60.210","0","2:32.093","Maximilian","Hewitt","2:32.639",152639,"","44.608",44608,"57.351",57351,"50.290",50290,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:cdVC2L-YkHFsIHNXUNexL","entries:events-2024-sro-roadamerica:cdVC2L-YkHFsIHNXUNexL","13778007","",12,"1 (12 → 11)","1"
"12","12","76","Steven Clemons","Am","15","47:46.513",2866513,"2:33.019",153019,"94.435","12","15.367","1.041","0","19","60.210","0","2:33.079","Steven","Clemons","2:33.155",153155,"","44.745",44745,"57.446",57446,"50.425",50425,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","entries:events-2024-sro-roadamerica:LzpJU2nVv3F8SWM5x93a2","13032211","",19,"7 (19 → 12)","7"
"13","13","31","Luke Rumburg","Am","15","47:46.529",2866529,"2:32.116",152116,"94.996","3","15.383","0.016","0","6","60.210","0","2:31.193","Luke","Rumburg","2:32.392",152392,"","44.348",44348,"57.321",57321,"50.160",50160,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","entries:events-2024-sro-roadamerica:k-FNVudhy0tU_MCkW46pC","16199534","",6,"-7 (6 → 13)","-7"
"14","14","50","Casey Mashore","Am","15","47:47.317",2867317,"2:33.619",153619,"94.066","15","16.171","0.788","0","20","60.210","0","2:33.508","Casey","Mashore","2:33.765",153765,"","44.715",44715,"57.605",57605,"50.581",50581,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-roadamerica:dHzaf2Rx08WFNp8PxVO4o","entries:events-2024-sro-roadamerica:dHzaf2Rx08WFNp8PxVO4o","10127188","",20,"6 (20 → 14)","6"
