TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1755269500;8/15/2025 2:51:40 PM;24.31;27.2;62.19;979.7;10.44;3;0;
1755269563;8/15/2025 2:52:43 PM;24.3;27.3;62.35;979.8;12.96;3;0;
1755269626;8/15/2025 2:53:46 PM;24.28;27.3;62.84;979.8;7.2;24;0;
1755269688;8/15/2025 2:54:48 PM;24.33;27.5;63.93;979.9;2.88;334;0;
1755269751;8/15/2025 2:55:51 PM;24.48;27.5;63.76;979.9;4.68;3;0;
1755269813;8/15/2025 2:56:53 PM;24.64;27.6;63.13;979.8;5.04;0;0;
1755269876;8/15/2025 2:57:56 PM;24.71;27.7;63.66;979.8;4.68;358;0;
1755269939;8/15/2025 2:58:59 PM;24.78;27.7;63.29;979.8;6.48;358;0;
1755270002;8/15/2025 3:00:02 PM;24.81;27.8;63.27;979.9;3.6;33;0;
1755270064;8/15/2025 3:01:04 PM;24.85;27.9;63.38;979.8;9.36;0;0;
1755270127;8/15/2025 3:02:07 PM;24.84;28;63.16;979.8;8.28;347;0;
1755270190;8/15/2025 3:03:10 PM;24.87;28;63.77;979.9;4.68;0;0;
1755270253;8/15/2025 3:04:13 PM;24.91;28.1;63.23;979.8;7.2;357;0;
1755270315;8/15/2025 3:05:15 PM;24.97;28.2;64;979.9;2.52;63;0;
1755270378;8/15/2025 3:06:18 PM;25.13;28.3;64.1;979.9;3.96;345;0;
1755270441;8/15/2025 3:07:21 PM;25.32;28.3;63.67;980;2.16;18;0;
1755270503;8/15/2025 3:08:23 PM;25.48;28.5;62.7;979.9;2.16;4;0;
1755270566;8/15/2025 3:09:26 PM;25.61;28.6;62.08;979.9;5.4;8;0;
1755270629;8/15/2025 3:10:29 PM;25.66;28.6;62.25;979.9;3.24;0;0;
1755270691;8/15/2025 3:11:31 PM;25.69;28.7;62.32;979.9;4.68;331;0;
1755270754;8/15/2025 3:12:34 PM;25.75;28.8;62.24;979.9;2.52;22;0;
1755270817;8/15/2025 3:13:37 PM;25.81;28.8;62.28;979.9;2.88;358;0;
1755270879;8/15/2025 3:14:39 PM;25.89;28.9;63.06;979.8;2.52;351;0;
1755270942;8/15/2025 3:15:42 PM;26.01;29;62.76;979.9;3.96;0;0;
1755271005;8/15/2025 3:16:45 PM;26.04;28.9;61.01;979.8;4.32;352;0;
1755271068;8/15/2025 3:17:48 PM;26.02;28.9;61.55;979.8;3.24;32;0;
1755271130;8/15/2025 3:18:50 PM;25.99;29;61.42;979.8;4.68;35;0;
1755271193;8/15/2025 3:19:53 PM;25.9;29;60.87;979.8;10.08;22;0;
1755271256;8/15/2025 3:20:56 PM;25.84;29.1;61.02;979.8;7.56;18;0;
