NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;11;2:31.415;3;2:31.544;5;2:31.682;9;2:31.978;11;2:32.998;2;2:33.755;6;2:34.669;10;2:35.185;4;;0;;0;2:32.903;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;12;2:33.465;6;2:33.475;4;2:33.481;8;2:33.572;11;2:33.576;10;2:34.202;9;2:34.770;3;2:35.381;2;2:35.708;7;2:44.689;5;2:35.231;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos;11;2:34.635;4;2:35.003;3;2:35.247;10;2:35.694;8;2:35.697;11;2:36.027;2;2:36.047;5;2:36.069;9;;0;;0;2:35.552;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;12;2:31.907;2;2:32.209;6;2:32.805;11;2:32.811;4;2:32.817;3;2:33.678;12;2:33.729;8;2:33.755;9;2:34.522;5;2:34.955;7;2:33.318;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;11;2:31.579;6;2:31.643;10;2:31.682;4;2:32.206;2;2:32.751;9;2:34.994;5;2:36.084;3;;0;;0;;0;2:32.991;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;11;2:39.445;11;2:40.245;10;2:41.218;7;2:41.747;9;2:42.081;8;2:43.125;6;2:43.611;5;2:45.025;3;2:45.416;4;2:47.181;2;2:42.909;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;11;2:34.675;10;2:35.061;9;2:35.168;5;2:35.262;6;2:35.626;4;2:35.693;3;2:36.223;8;2:36.707;2;2:36.825;7;;0;2:35.693;
12;BSI Racing;Toyota GR86;Am;John;Lennon;12;2:37.027;9;2:37.605;8;2:37.761;6;2:37.833;12;2:37.900;5;2:38.225;4;2:38.252;10;2:38.503;11;2:38.829;7;2:39.076;2;2:38.101;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;11;2:31.392;10;2:31.404;3;2:31.810;5;2:32.158;2;2:35.291;4;2:35.408;6;2:37.649;7;;0;;0;;0;2:33.587;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;7;2:32.035;4;2:32.039;2;2:32.168;5;2:32.408;3;2:33.006;6;;0;;0;;0;;0;;0;2:32.331;
