CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;9;7;2:31.912;;;154.4;
Am;2;2;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;9;9;2:32.098;+0.186;+0.186;154.2;
Am;3;3;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;9;7;2:32.201;+0.289;+0.103;154.1;
Am;4;4;13;BSI Racing;Toyota GR86;Westin Workman;9;7;2:32.659;+0.747;+0.458;153.6;
Am;5;5;72;TechSport;Toyota GR86;Ethan Goulart;9;7;2:32.730;+0.818;+0.071;153.6;
Am;6;6;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;8;4;2:32.750;+0.838;+0.020;153.5;
Am;7;7;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;9;3;2:32.756;+0.844;+0.006;153.5;
Am;8;8;47;TechSport;Toyota GR86;Parker DeLong;8;6;2:32.848;+0.936;+0.092;153.4;
Am;9;9;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;9;9;2:33.142;+1.230;+0.294;153.1;
Am;10;10;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;9;8;2:33.243;+1.331;+0.101;153.0;
Am;11;11;98;TechSport;Toyota GR86;Max Schweid;8;6;2:33.391;+1.479;+0.148;152.9;
Am;12;12;21;Copeland Motorsports;Toyota GR86;Ford Koch;9;3;2:33.693;+1.781;+0.302;152.6;
Am;13;13;15;TechSport;Toyota GR86;Brett Kowalski;9;7;2:33.783;+1.871;+0.090;152.5;
Am;14;14;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;4;4;2:34.052;+2.140;+0.269;152.2;
Am;15;15;71;TechSport;Toyota GR86;Christian Weir;6;6;2:34.133;+2.221;+0.081;152.2;
Am;16;16;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;9;3;2:34.158;+2.246;+0.025;152.1;
Am;17;17;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;9;3;2:34.165;+2.253;+0.007;152.1;
Am;18;18;03;Precision Racing LA;Toyota GR86;Karl Forman;8;7;2:34.533;+2.621;+0.368;151.8;
Am;19;19;58;Copeland Motorsports;Toyota GR86;Jack Murchison;9;2;2:34.797;+2.885;+0.264;151.5;
Am;20;20;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;8;8;2:34.833;+2.921;+0.036;151.5;
Am;21;21;51;BSI Racing;Toyota GR86;Massimo Sunseri;9;9;2:34.874;+2.962;+0.041;151.4;
Am;22;22;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;9;7;2:35.626;+3.714;+0.752;150.7;
Am;23;23;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;9;7;2:35.977;+4.065;+0.351;150.4;
Am;24;24;86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Andrew Gilleland;9;9;2:37.732;+5.820;+1.755;148.7;
Am;25;25;12;BSI Racing;Toyota GR86;John Lennon;9;8;2:37.943;+6.031;+0.211;148.5;
Am;26;26;8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Tom Rudnai;8;8;2:38.081;+6.169;+0.138;148.4;
Am;27;27;18;Precision Racing LA;Toyota GR86;Rutledge Wood;6;6;2:43.326;+11.414;+5.245;143.6;
Am;28;28;57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jeff Curry;7;7;2:43.431;+11.519;+0.105;143.5;
Am;29;29;3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jason Kos;0;0;;;;;
