NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;5:33.132;0;;3:00.380;0;1:24.588;0;1:08.164;0;70.4;5:33.132;14:40:33.132;3:00.380;1:24.588;1:08.164;213.0;Karl Forman;0:02:06.177;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;180.380;84.588;68.164;2:24.484;2:24.484;35.896;3:00.380;40.769;3:41.149;43.819;4:24.968;42.656;5:07.624;25.508;5:33.132;
03;1;2;2:35.868;0;;45.441;0;59.041;0;51.386;0;150.5;8:09.000;14:43:09.000;0:45.441;0:59.041;0:51.386;209.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.441;59.041;51.386;19.115;19.115;26.326;45.441;28.872;1:14.313;30.169;1:44.482;27.276;2:11.758;24.110;2:35.868;
03;1;3;2:35.138;0;;45.283;0;58.884;0;50.971;0;151.2;10:44.138;14:45:44.138;0:45.283;0:58.884;0:50.971;200.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.283;58.884;50.971;19.136;19.136;26.147;45.283;28.919;1:14.202;29.965;1:44.167;26.932;2:11.099;24.039;2:35.138;
03;1;4;3:06.817;0;B;45.205;0;58.379;2;1:23.233;0;125.5;13:50.955;14:48:50.955;0:45.205;0:58.379;1:23.233;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;RF;45.205;58.379;83.233;19.285;19.285;25.920;45.205;28.787;1:13.992;29.592;1:43.584;28.939;2:12.523;54.294;3:06.817;
03;1;5;10:42.581;0;;8:52.313;0;59.022;0;51.246;0;36.5;24:33.536;14:59:33.536;8:52.313;0:59.022;0:51.246;210.1;Karl Forman;0:08:35.942;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;532.313;59.022;51.246;8:26.035;8:26.035;26.278;8:52.313;29.083;9:21.396;29.939;9:51.335;27.139;10:18.474;24.107;10:42.581;
03;1;6;2:34.866;0;;45.256;0;58.666;0;50.944;2;151.4;27:08.402;15:02:08.402;0:45.256;0:58.666;0:50.944;211.4;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.256;58.666;50.944;19.113;19.113;26.143;45.256;28.827;1:14.083;29.839;1:43.922;27.047;2:10.969;23.897;2:34.866;
03;1;7;2:34.533;2;;45.081;0;58.474;0;50.978;0;151.8;29:42.935;15:04:42.935;0:45.081;0:58.474;0:50.978;212.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.081;58.474;50.978;19.067;19.067;26.014;45.081;28.837;1:13.918;29.637;1:43.555;26.991;2:10.546;23.987;2:34.533;
03;1;8;2:34.832;0;;44.765;2;58.442;0;51.625;0;151.5;32:17.767;15:07:17.767;0:44.765;0:58.442;0:51.625;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;44.765;58.442;51.625;18.939;18.939;25.826;44.765;28.673;1:13.438;29.769;1:43.207;27.309;2:10.516;24.316;2:34.832;
11;1;1;3:03.318;0;;1:10.213;0;1:01.044;0;52.061;0;127.9;3:03.318;14:38:03.318;1:10.213;1:01.044;0:52.061;212.2;Farran Davis;0:00:25.019;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;70.213;61.044;52.061;43.024;43.024;27.189;1:10.213;29.824;1:40.037;31.220;2:11.257;27.814;2:39.071;24.247;3:03.318;
11;1;2;2:36.306;0;;45.149;0;59.458;0;51.699;0;150.0;5:39.624;14:40:39.624;0:45.149;0:59.458;0:51.699;210.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.149;59.458;51.699;19.164;19.164;25.985;45.149;29.124;1:14.273;30.334;1:44.607;27.761;2:12.368;23.938;2:36.306;
11;1;3;2:36.091;0;;44.866;0;59.501;0;51.724;0;150.2;8:15.715;14:43:15.715;0:44.866;0:59.501;0:51.724;211.4;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.866;59.501;51.724;18.899;18.899;25.967;44.866;29.286;1:14.152;30.215;1:44.367;27.798;2:12.165;23.926;2:36.091;
11;1;4;2:37.074;0;;45.281;0;1:00.077;0;51.716;0;149.3;10:52.789;14:45:52.789;0:45.281;1:00.077;0:51.716;207.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.281;60.077;51.716;19.253;19.253;26.028;45.281;29.953;1:15.234;30.124;1:45.358;27.648;2:13.006;24.068;2:37.074;
11;1;5;3:05.396;0;B;45.478;0;59.099;0;1:20.819;0;126.5;13:58.185;14:48:58.185;0:45.478;0:59.099;1:20.819;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;RF;45.478;59.099;80.819;19.257;19.257;26.221;45.478;29.006;1:14.484;30.093;1:44.577;32.108;2:16.685;48.711;3:05.396;
