CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;98;TechSport;Toyota GR86;Max Schweid;5;4;2:30.365;;;156.0;
Am;2;2;47;TechSport;Toyota GR86;Parker DeLong;6;4;2:30.396;+0.031;+0.031;155.9;
Am;3;3;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;6;5;2:30.447;+0.082;+0.051;155.9;
Am;4;4;72;TechSport;Toyota GR86;Ethan Goulart;6;3;2:30.692;+0.327;+0.245;155.6;
Am;5;5;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;6;5;2:30.774;+0.409;+0.082;155.5;
Am;6;6;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;6;4;2:30.775;+0.410;+0.001;155.5;
Am;7;7;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;6;5;2:30.775;+0.410;;155.5;
Am;8;8;71;TechSport;Toyota GR86;Christian Weir;6;5;2:31.304;+0.939;+0.529;155.0;
Am;9;9;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;6;5;2:31.444;+1.079;+0.140;154.9;
Am;10;10;13;BSI Racing;Toyota GR86;Westin Workman;6;5;2:31.478;+1.113;+0.034;154.8;
Am;11;11;21;Copeland Motorsports;Toyota GR86;Ford Koch;6;3;2:31.501;+1.136;+0.023;154.8;
Am;12;12;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;6;3;2:31.684;+1.319;+0.183;154.6;
Am;13;13;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;6;5;2:31.741;+1.376;+0.057;154.6;
Am;14;14;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;2;2;2:32.010;+1.645;+0.269;154.3;
Am;15;15;51;BSI Racing;Toyota GR86;Massimo Sunseri;6;5;2:32.081;+1.716;+0.071;154.2;
Am;16;16;58;Copeland Motorsports;Toyota GR86;Jack Murchison;6;5;2:32.128;+1.763;+0.047;154.2;
Am;17;17;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;6;5;2:32.215;+1.850;+0.087;154.1;
Am;18;18;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;6;4;2:32.245;+1.880;+0.030;154.0;
Am;19;19;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;6;5;2:32.871;+2.506;+0.626;153.4;
Am;20;20;03;Precision Racing LA;Toyota GR86;Karl Forman;6;5;2:33.065;+2.700;+0.194;153.2;
Am;21;21;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;6;5;2:33.072;+2.707;+0.007;153.2;
Am;22;22;15;TechSport;Toyota GR86;Brett Kowalski;5;2;2:33.170;+2.805;+0.098;153.1;
Am;23;23;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;5;5;2:33.255;+2.890;+0.085;153.0;
Am;24;24;86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Andrew Gilleland;5;4;2:35.292;+4.927;+2.037;151.0;
Am;25;25;12;BSI Racing;Toyota GR86;John Lennon;6;6;2:36.657;+6.292;+1.365;149.7;
Am;26;26;8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Tom Rudnai;6;5;2:37.834;+7.469;+1.177;148.6;
Am;27;27;57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jeff Curry;6;3;2:38.886;+8.521;+1.052;147.6;
Am;28;28;18;Precision Racing LA;Toyota GR86;Rutledge Wood;6;3;2:39.815;+9.450;+0.929;146.7;
