NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:10.389;0;;1:17.462;0;1:01.270;0;51.657;0;123.2;3:10.389;08:58:10.389;1:17.462;1:01.270;0:51.657;209.3;Karl Forman;0:00:32.018;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;77.462;61.270;51.657;49.711;49.711;27.751;1:17.462;30.413;1:47.875;30.857;2:18.732;27.444;2:46.176;24.213;3:10.389;
03;1;2;2:33.650;0;;44.900;0;58.009;0;50.741;2;152.6;5:44.039;09:00:44.039;0:44.900;0:58.009;0:50.741;211.4;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.900;58.009;50.741;19.005;19.005;25.895;44.900;28.501;1:13.401;29.508;1:42.909;26.847;2:09.756;23.894;2:33.650;
03;1;3;2:33.942;0;;45.042;0;58.118;0;50.782;0;152.3;8:17.981;09:03:17.981;0:45.042;0:58.118;0:50.782;211.4;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.042;58.118;50.782;18.758;18.758;26.284;45.042;28.630;1:13.672;29.488;1:43.160;26.904;2:10.064;23.878;2:33.942;
03;1;4;2:33.154;0;;44.639;0;57.735;0;50.780;0;153.1;10:51.135;09:05:51.135;0:44.639;0:57.735;0:50.780;212.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.639;57.735;50.780;18.777;18.777;25.862;44.639;28.286;1:12.925;29.449;1:42.374;26.915;2:09.289;23.865;2:33.154;
03;1;5;2:33.065;2;;44.496;2;57.580;2;50.989;0;153.2;13:24.200;09:08:24.200;0:44.496;0:57.580;0:50.989;212.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.496;57.580;50.989;18.833;18.833;25.663;44.496;28.204;1:12.700;29.376;1:42.076;27.013;2:09.089;23.976;2:33.065;
03;1;6;2:58.803;0;B;44.527;0;58.326;0;1:15.950;0;131.2;16:23.003;09:11:23.003;0:44.527;0:58.326;1:15.950;210.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;44.527;58.326;75.950;18.833;18.833;25.694;44.527;28.690;1:13.217;29.636;1:42.853;28.242;2:11.095;47.708;2:58.803;
11;1;1;3:02.453;0;;1:08.452;0;1:01.278;0;52.723;0;128.5;3:02.453;08:58:02.453;1:08.452;1:01.278;0:52.723;203.0;Farran Davis;0:00:22.914;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;68.452;61.278;52.723;40.717;40.717;27.735;1:08.452;30.371;1:38.823;30.907;2:09.730;28.497;2:38.227;24.226;3:02.453;
11;1;2;2:34.246;0;;44.638;0;58.550;0;51.058;0;152.0;5:36.699;09:00:36.699;0:44.638;0:58.550;0:51.058;212.2;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.638;58.550;51.058;18.850;18.850;25.788;44.638;28.851;1:13.489;29.699;1:43.188;27.167;2:10.355;23.891;2:34.246;
11;1;3;2:33.215;0;;44.474;0;57.889;2;50.852;0;153.1;8:09.914;09:03:09.914;0:44.474;0:57.889;0:50.852;213.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.474;57.889;50.852;18.843;18.843;25.631;44.474;28.458;1:12.932;29.431;1:42.363;27.179;2:09.542;23.673;2:33.215;
11;1;4;2:33.145;0;;44.346;0;58.103;0;50.696;0;153.1;10:43.059;09:05:43.059;0:44.346;0:58.103;0:50.696;213.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.346;58.103;50.696;18.651;18.651;25.695;44.346;28.442;1:12.788;29.661;1:42.449;27.105;2:09.554;23.591;2:33.145;
11;1;5;2:32.871;2;;44.175;2;58.150;0;50.546;2;153.4;13:15.930;09:08:15.930;0:44.175;0:58.150;0:50.546;213.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.175;58.150;50.546;18.631;18.631;25.544;44.175;28.649;1:12.824;29.501;1:42.325;26.965;2:09.290;23.581;2:32.871;
