NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;6;2:30.774;5;2:31.561;2;2:31.688;3;2:33.796;4;;0;;0;;0;;0;;0;;0;2:31.954;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;6;2:33.065;5;2:33.154;4;2:33.650;2;2:33.942;3;;0;;0;;0;;0;;0;;0;2:33.452;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;5;2:33.255;5;2:33.277;4;2:33.379;3;;0;;0;;0;;0;;0;;0;;0;2:33.303;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;6;2:30.775;4;2:31.074;2;2:34.609;5;2:34.791;3;;0;;0;;0;;0;;0;;0;2:32.812;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;6;2:37.834;5;2:37.884;4;2:37.989;3;2:38.535;6;2:39.245;2;;0;;0;;0;;0;;0;2:38.297;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;6;2:32.871;5;2:33.145;4;2:33.215;3;2:34.246;2;;0;;0;;0;;0;;0;;0;2:33.369;
12;BSI Racing;Toyota GR86;Am;John;Lennon;6;2:36.657;6;2:36.935;5;2:37.616;3;2:38.308;4;;0;;0;;0;;0;;0;;0;2:37.379;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;6;2:31.478;5;2:31.773;3;2:32.221;2;2:36.739;4;;0;;0;;0;;0;;0;;0;2:33.052;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;5;2:33.170;2;2:34.530;3;2:34.778;4;;0;;0;;0;;0;;0;;0;;0;2:34.159;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;6;2:39.815;3;2:39.832;4;2:40.082;5;2:42.773;2;2:47.707;6;;0;;0;;0;;0;;0;2:42.041;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;6;2:31.501;3;2:31.867;2;2:32.238;5;2:34.532;4;;0;;0;;0;;0;;0;;0;2:32.534;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;6;2:30.447;5;2:30.842;3;2:31.155;2;2:37.640;4;;0;;0;;0;;0;;0;;0;2:32.521;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;6;2:31.741;5;2:32.124;2;2:32.525;3;2:33.004;4;2:34.940;6;;0;;0;;0;;0;;0;2:32.866;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;6;2:32.215;5;2:32.545;4;2:33.654;3;2:33.762;2;;0;;0;;0;;0;;0;;0;2:33.044;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;2;2:32.010;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;2:32.010;
47;TechSport;Toyota GR86;Am;Parker;DeLong;6;2:30.396;4;2:31.025;3;2:32.497;2;2:34.132;5;;0;;0;;0;;0;;0;;0;2:32.012;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;6;2:32.081;5;2:32.946;4;2:33.309;2;2:33.460;3;2:33.880;6;;0;;0;;0;;0;;0;2:33.135;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;6;2:30.775;5;2:30.783;4;2:31.097;2;2:36.399;3;;0;;0;;0;;0;;0;;0;2:32.263;
57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jeff;Curry;6;2:38.886;3;2:39.223;4;2:39.708;5;2:40.659;2;;0;;0;;0;;0;;0;;0;2:39.619;
58;Copeland Motorsports;Toyota GR86;Am;Jack;Murchison;6;2:32.128;5;2:32.996;2;2:33.078;4;2:33.101;3;;0;;0;;0;;0;;0;;0;2:32.825;
71;TechSport;Toyota GR86;Am;Christian;Weir;6;2:31.304;5;2:31.911;4;2:32.250;3;2:33.898;2;;0;;0;;0;;0;;0;;0;2:32.340;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;6;2:30.692;3;2:31.084;5;2:31.420;2;2:37.225;4;;0;;0;;0;;0;;0;;0;2:32.605;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;6;2:33.072;5;2:33.435;3;2:33.461;4;2:33.649;2;2:34.518;6;;0;;0;;0;;0;;0;2:33.627;
86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Andrew;Gilleland;5;2:35.292;4;2:35.642;3;2:36.032;2;;0;;0;;0;;0;;0;;0;;0;2:35.655;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;6;2:32.245;4;2:32.477;2;2:32.520;6;2:33.795;5;2:38.280;3;;0;;0;;0;;0;;0;2:33.863;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;6;2:31.444;5;2:31.974;4;2:33.325;2;2:35.176;3;;0;;0;;0;;0;;0;;0;2:32.979;
98;TechSport;Toyota GR86;Am;Max;Schweid;5;2:30.365;4;2:30.965;3;2:32.147;2;;0;;0;;0;;0;;0;;0;;0;2:31.159;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;6;2:31.684;3;2:32.010;5;2:32.581;2;2:33.171;6;2:34.095;4;;0;;0;;0;;0;;0;2:32.708;
