CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;4;2;2:30.369;;;156.0;
Am;2;2;72;TechSport;Toyota GR86;Ethan Goulart;4;3;2:30.701;+0.332;+0.332;155.6;
Am;3;3;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;4;3;2:30.734;+0.365;+0.033;155.6;
Am;4;4;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;4;3;2:30.755;+0.386;+0.021;155.6;
Am;5;5;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;4;3;2:30.996;+0.627;+0.241;155.3;
Am;6;6;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;4;2;2:31.047;+0.678;+0.051;155.3;
Am;7;7;13;BSI Racing;Toyota GR86;Westin Workman;4;3;2:31.047;+0.678;;155.3;
Am;8;8;21;Copeland Motorsports;Toyota GR86;Ford Koch;4;3;2:31.102;+0.733;+0.055;155.2;
Am;9;9;47;TechSport;Toyota GR86;Parker DeLong;4;3;2:31.139;+0.770;+0.037;155.2;
Am;10;10;71;TechSport;Toyota GR86;Christian Weir;4;3;2:31.390;+1.021;+0.251;154.9;
Am;11;11;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;4;3;2:31.413;+1.044;+0.023;154.9;
Am;12;12;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;4;3;2:31.540;+1.171;+0.127;154.8;
Am;13;13;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;4;3;2:32.574;+2.205;+1.034;153.7;
Am;14;14;58;Copeland Motorsports;Toyota GR86;Jack Murchison;4;2;2:32.781;+2.412;+0.207;153.5;
Am;15;15;98;TechSport;Toyota GR86;Max Schweid;4;2;2:32.787;+2.418;+0.006;153.5;
Am;16;16;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;4;2;2:32.840;+2.471;+0.053;153.4;
Am;17;17;51;BSI Racing;Toyota GR86;Massimo Sunseri;4;3;2:33.094;+2.725;+0.254;153.2;
Am;18;18;15;TechSport;Toyota GR86;Brett Kowalski;3;3;2:33.192;+2.823;+0.098;153.1;
Am;19;19;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;4;2;2:33.476;+3.107;+0.284;152.8;
Am;20;20;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;4;3;2:33.812;+3.443;+0.336;152.5;
Am;21;21;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;4;3;2:34.891;+4.522;+1.079;151.4;
Am;22;22;03;Precision Racing LA;Toyota GR86;Karl Forman;3;2;2:34.995;+4.626;+0.104;151.3;
Am;23;23;8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Tom Rudnai;3;2;2:38.515;+8.146;+3.520;148.0;
Am;24;24;18;Precision Racing LA;Toyota GR86;Rutledge Wood;4;2;2:39.185;+8.816;+0.670;147.3;
Am;25;25;12;BSI Racing;Toyota GR86;John Lennon;4;2;2:39.191;+8.822;+0.006;147.3;
Am;26;26;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;4;3;2:39.604;+9.235;+0.413;146.9;
Am;27;27;86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Andrew Gilleland;4;2;2:40.522;+10.153;+0.918;146.1;
Am;28;28;57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jeff Curry;4;2;2:40.711;+10.342;+0.189;145.9;
