TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1755438015;8/17/2025 1:40:15 PM;20.12;22.9;80.75;981;4.68;171;0;
1755438078;8/17/2025 1:41:18 PM;20.16;23;81.03;980.9;2.88;168;0;
1755438141;8/17/2025 1:42:21 PM;20.15;23.1;80.73;981;4.32;185;0;
1755438203;8/17/2025 1:43:23 PM;20.18;23.2;80.71;980.9;1.08;240;0;
1755438266;8/17/2025 1:44:26 PM;20.2;23.2;80.88;980.9;1.8;296;0;
1755438329;8/17/2025 1:45:29 PM;20.27;23.3;80.32;981;3.6;176;0;
1755438391;8/17/2025 1:46:31 PM;20.31;23.4;80.82;980.9;3.6;182;0;
1755438454;8/17/2025 1:47:34 PM;20.35;23.4;80.55;981;3.24;173;0;
1755438517;8/17/2025 1:48:37 PM;20.38;23.5;80.71;980.9;4.32;214;0;
1755438580;8/17/2025 1:49:40 PM;20.36;23.6;79.73;980.8;3.24;180;0;
1755438642;8/17/2025 1:50:42 PM;20.35;23.7;79.69;980.7;6.12;183;0;
1755438704;8/17/2025 1:51:44 PM;20.3;23.7;79.9;980.8;2.52;209;0;
1755438768;8/17/2025 1:52:48 PM;20.3;23.7;80.35;980.8;1.08;140;0;
