"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"5","Gresham Wagner","1","2","2:25.063",145063,"6:36.688",396688,"11:21:37.989","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.246",43246,"50.120",50120,"51.697",51697,"00:17.639",17639,"00:25.607",25607,"00:28.224",28224,"00:21.896",21896,"00:32.548",32548,"00:19.149",19149
"5","Gresham Wagner","2","3","2:24.726",144726,"9:01.414",541414,"11:24:02.715","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.073",43073,"50.042",50042,"51.611",51611,"00:17.563",17563,"00:25.510",25510,"00:28.054",28054,"00:21.988",21988,"00:32.327",32327,"00:19.284",19284
"5","Gresham Wagner","3","5","9:53.317",593317,"18:54.731",1134731,"11:33:56.032","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","8:07.964",487964,"52.276",52276,"53.077",53077,"07:40.278",460278,"00:27.686",27686,"00:29.738",29738,"00:22.538",22538,"00:33.396",33396,"00:19.681",19681
"5","Gresham Wagner","4","6","2:31.199",151199,"21:25.930",1285930,"11:36:27.231","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.472",46472,"52.119",52119,"52.608",52608,"00:17.505",17505,"00:28.967",28967,"00:29.363",29363,"00:22.756",22756,"00:32.369",32369,"00:20.239",20239
"5","Gresham Wagner","5","7","2:25.054",145054,"23:50.984",1430984,"11:38:52.285","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.089",43089,"50.326",50326,"51.639",51639,"00:17.449",17449,"00:25.640",25640,"00:28.140",28140,"00:22.186",22186,"00:32.266",32266,"00:19.373",19373
"5","Gresham Wagner","6","8","2:24.631",144631,"26:15.615",1575615,"11:41:16.916","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.253",43253,"50.094",50094,"51.284",51284,"00:17.484",17484,"00:25.769",25769,"00:28.245",28245,"00:21.849",21849,"00:32.264",32264,"00:19.020",19020
"5","Gresham Wagner","7","9","2:39.460",159460,"28:55.075",1735075,"11:43:56.376","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.181",43181,"50.296",50296,"01:05.983",65983,"00:17.597",17597,"00:25.584",25584,"00:28.378",28378,"00:21.918",21918,"00:36.082",36082,"00:29.901",29901
"7","Spencer Bucknum","1","1","3:00.813",180813,"4:58.131",298131,"11:19:59.432","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:13.817",73817,"53.136",53136,"53.860",53860,"00:46.086",46086,"00:27.731",27731,"00:30.344",30344,"00:22.792",22792,"00:33.772",33772,"00:20.088",20088
"7","Spencer Bucknum","2","2","2:28.472",148472,"7:26.603",446603,"11:22:27.904","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.469",44469,"51.332",51332,"52.671",52671,"00:18.387",18387,"00:26.082",26082,"00:29.152",29152,"00:22.180",22180,"00:33.222",33222,"00:19.449",19449
"09","Maddie Aust","1","1","3:01.118",181118,"3:06.128",186128,"11:18:07.429","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.848Z"",""id"":""entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px"",""createdAt"":""2024-05-01T02:27:47.443Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:13.924",73924,"53.181",53181,"54.013",54013,"00:45.595",45595,"00:28.329",28329,"00:30.846",30846,"00:22.335",22335,"00:34.238",34238,"00:19.775",19775
