"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","7","28:55.075",1735075,"2:24.631",144631,"93.092","6","","","0","1","26.180","0","","Gresham","Wagner","2:24.726",144726,"2","43.073",43073,"50.042",50042,"51.284",51284,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","",1,"0 (1 → 1)","0"
"2","2","13","Westin Workman","Am","8","31:05.265",1865265,"2:24.810",144810,"92.977","5","0.179","0.179","0","5","29.920","0","","Westin","Workman","2:24.963",144963,"1","43.197",43197,"50.099",50099,"51.482",51482,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","15241424","",5,"3 (5 → 2)","3"
"3","3","99","Jaxon Bell","Am","8","31:17.678",1877678,"2:25.234",145234,"92.706","5","0.603","0.424","0","29","29.920","0","","Jaxon","Bell","2:25.736",145736,"1","43.037",43037,"50.244",50244,"51.771",51771,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","13153784","",29,"26 (29 → 3)","26"
"4","4","57","Mia Lovell","Am","8","31:06.150",1866150,"2:25.600",145600,"92.473","2","0.969","0.366","0","22","29.920","0","","Mia","Lovell","2:25.687",145687,"1","43.242",43242,"50.148",50148,"51.630",51630,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:_JOHQD2Ky5ASvVrQ0ddsg","entries:events-2024-sro-sebring:_JOHQD2Ky5ASvVrQ0ddsg","10314665","",22,"18 (22 → 4)","18"
"5","5","46","Lucas Weisenberg","Am","8","30:21.121",1821121,"2:25.752",145752,"92.376","7","1.121","0.152","0","18","29.920","0","","Lucas","Weisenberg","2:25.875",145875,"1","43.225",43225,"50.492",50492,"51.885",51885,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","12208074","",18,"13 (18 → 5)","13"
"6","6","31","Luke Rumburg","Am","9","32:21.740",1941740,"2:25.814",145814,"92.337","8","1.183","0.062","0","13","33.660","0","","Luke","Rumburg","2:26.043",146043,"2","43.312",43312,"50.539",50539,"51.804",51804,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Vvn2jHBuOCuMP6Fyqu7ub","entries:events-2024-sro-sebring:Vvn2jHBuOCuMP6Fyqu7ub","10783842","",13,"7 (13 → 6)","7"
"7","7","55","Spike Kohlbecker","Am","8","30:12.693",1812693,"2:25.833",145833,"92.325","8","1.202","0.019","0","21","29.920","0","","Spike","Kohlbecker","2:26.003",146003,"1","43.394",43394,"50.374",50374,"51.873",51873,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","11385466","",21,"14 (21 → 7)","14"
"8","8","34","Braydon Arthur","Am","8","31:26.019",1886019,"2:26.145",146145,"92.128","4","1.514","0.312","0","14","29.920","0","","Braydon","Arthur","2:26.569",146569,"2","43.423",43423,"50.577",50577,"51.850",51850,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-sebring:3Bd22e3KL9vyO5rO7WdR7","entries:events-2024-sro-sebring:3Bd22e3KL9vyO5rO7WdR7","15222059","",14,"6 (14 → 8)","6"
"9","9","18","Jordan RickSegrini","Am","8","30:04.120",1804120,"2:26.415",146415,"91.958","5","1.784","0.270","0","8","29.920","0","","Jordan","RickSegrini","2:26.553",146553,"1","43.475",43475,"50.528",50528,"52.274",52274,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","12415550","",8,"-1 (8 → 9)","-1"
"10","10","51","Adam Brickley","Am","8","31:10.641",1870641,"2:26.438",146438,"91.943","8","1.807","0.023","0","20","29.920","0","","Adam","Brickley","2:26.487",146487,"1","43.541",43541,"50.471",50471,"52.118",52118,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","12714404","",20,"10 (20 → 10)","10"
"11","11","44","Aidan Yoder","Am","9","31:20.837",1880837,"2:26.522",146522,"91.891","6","1.891","0.084","0","17","33.660","0","","Aidan","Yoder","2:26.825",146825,"2","43.453",43453,"50.746",50746,"52.189",52189,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","14864382","",17,"6 (17 → 11)","6"
"12","12","22","Devin Anderson","Am","7","27:47.021",1667021,"2:26.525",146525,"91.889","2","1.894","0.003","0","10","26.180","0","","Devin","Anderson","2:26.994",146994,"2","43.592",43592,"50.587",50587,"51.969",51969,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:FU95MJSqdsAg1D_ORQ35O","entries:events-2024-sro-sebring:FU95MJSqdsAg1D_ORQ35O","11308725","",10,"-2 (10 → 12)","-2"
"13","13","24","Jade Avedisian","Am","8","30:03.851",1803851,"2:26.602",146602,"91.840","4","1.971","0.077","0","11","29.920","0","","Jade","Avedisian","2:26.929",146929,"1","43.479",43479,"50.647",50647,"52.197",52197,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:JwPpSCLGYFDuSW-K5cF3C","entries:events-2024-sro-sebring:JwPpSCLGYFDuSW-K5cF3C","10544198","",11,"-2 (11 → 13)","-2"
"14","14","76","Steven Clemons","Am","9","29:58.299",1798299,"2:26.607",146607,"91.837","3","1.976","0.005","0","24","33.660","3","","Steven","Clemons","2:26.751",146751,"2","43.388",43388,"50.518",50518,"52.120",52120,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:7OJCvR3_5D3jRXwT27eaB","entries:events-2024-sro-sebring:7OJCvR3_5D3jRXwT27eaB","13032211","",24,"10 (24 → 14)","10"
"15","15","43","Alexandra Hainer","Am","10","30:10.838",1810838,"2:26.736",146736,"91.757","7","2.105","0.129","0","16","37.400","0","","Alexandra","Hainer","2:26.916",146916,"2","43.593",43593,"50.763",50763,"52.161",52161,"Alexandra","Hainer","","219199","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:wQJ5BfsdD5aBPLhSy7VsL","entries:events-2024-sro-sebring:wQJ5BfsdD5aBPLhSy7VsL","11358964","",16,"1 (16 → 15)","1"
"16","16","88","Henry Drury","Am","10","31:32.710",1892710,"2:26.902",146902,"91.653","6","2.271","0.166","0","28","37.400","1","","Henry","Drury","2:27.032",147032,"2","43.496",43496,"50.643",50643,"52.053",52053,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","13339178","",28,"12 (28 → 16)","12"
"17","17","50","Casey Mashore","Am","10","31:17.898",1877898,"2:26.921",146921,"91.641","3","2.290","0.019","0","19","37.400","0","","Casey","Mashore","2:27.030",147030,"3","43.351",43351,"50.699",50699,"52.418",52418,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:vQaoKNdNipKj8ghZ8wD4B","entries:events-2024-sro-sebring:vQaoKNdNipKj8ghZ8wD4B","10127188","",19,"2 (19 → 17)","2"
"18","18","78","Julian DaCosta","Am","8","30:03.452",1803452,"2:26.967",146967,"91.612","6","2.336","0.046","0","26","29.920","0","","Julian","DaCosta","2:27.292",147292,"1","43.562",43562,"50.766",50766,"52.164",52164,"Julian","DaCosta","","218666","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","12769314","",26,"8 (26 → 18)","8"
"19","19","39","Maximilian Hewitt","Am","9","30:05.828",1805828,"2:27.186",147186,"91.476","6","2.555","0.219","0","15","33.660","0","","Maximilian","Hewitt","2:27.464",147464,"1","43.829",43829,"50.941",50941,"52.237",52237,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:hMgPZB-4SI4mQhRUV4aNS","entries:events-2024-sro-sebring:hMgPZB-4SI4mQhRUV4aNS","13778007","",15,"-4 (15 → 19)","-4"
"20","20","09","Maddie Aust","Am","10","30:08.388",1808388,"2:27.230",147230,"91.449","6","2.599","0.044","0","3","37.400","6","","Maddie","Aust","2:27.280",147280,"2","43.842",43842,"50.752",50752,"52.184",52184,"Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","14061566","",3,"-17 (3 → 20)","-17"
"21","21","15","Bennett Muldoon","Am","10","30:23.432",1823432,"2:27.398",147398,"91.345","6","2.767","0.168","0","7","37.400","0","","Bennett","Muldoon","2:27.744",147744,"2","43.829",43829,"50.981",50981,"52.510",52510,"Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:yKzwd5mwlsHN-0y7nEzub","entries:events-2024-sro-sebring:yKzwd5mwlsHN-0y7nEzub","11530888","",7,"-14 (7 → 21)","-14"
"22","22","77","William Lambros","Am","5","22:51.286",1371286,"2:27.430",147430,"91.325","2","2.799","0.032","0","25","18.700","0","","William","Lambros","2:27.782",147782,"2","43.454",43454,"50.730",50730,"52.296",52296,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dD-ia3Ud6l-NaZ8tab-FK","entries:events-2024-sro-sebring:dD-ia3Ud6l-NaZ8tab-FK","15422081","",25,"3 (25 → 22)","3"
"23","23","80","Tyler Wettengel","Am","8","31:01.391",1861391,"2:27.503",147503,"91.279","7","2.872","0.073","0","27","29.920","0","","Tyler","Wettengel","2:27.582",147582,"1","43.756",43756,"50.689",50689,"52.580",52580,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","15012542","",27,"4 (27 → 23)","4"
"24","24","21","Ford Koch","Am","8","30:05.041",1805041,"2:27.891",147891,"91.040","4","3.260","0.388","0","9","29.920","0","","Ford","Koch","2:28.117",148117,"1","43.999",43999,"50.953",50953,"52.378",52378,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:7TRb1LITPMb5ypdSlAJi0","entries:events-2024-sro-sebring:7TRb1LITPMb5ypdSlAJi0","10837109","",9,"-15 (9 → 24)","-15"
"25","25","7","Spencer Bucknum","Am","2","7:26.603",446603,"2:28.472",148472,"90.684","2","3.841","0.581","0","2","7.480","0","","Spencer","Bucknum","","","1","44.399",44399,"51.332",51332,"52.671",52671,"Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","",2,"-23 (2 → 25)","-23"
"26","26","11","Farran Davis","Am","10","31:14.725",1874725,"2:29.007",149007,"90.358","10","4.376","0.535","0","4","37.400","0","","Farran","Davis","2:29.065",149065,"2","43.876",43876,"51.317",51317,"53.200",53200,"Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:BGmKsCB5CgaREKiYblhkk","entries:events-2024-sro-sebring:BGmKsCB5CgaREKiYblhkk","10741809","",4,"-22 (4 → 26)","-22"
"27","27","25","Alfonso Diaz","Am","8","30:36.903",1836903,"2:29.176",149176,"90.256","2","4.545","0.169","0","12","29.920","0","","Alfonso","Diaz","2:29.787",149787,"1","44.080",44080,"51.183",51183,"53.081",53081,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","PRI","","entries:events-2024-sro-sebring:4E_gC4bNpOgZ_zAAS6_7F","entries:events-2024-sro-sebring:4E_gC4bNpOgZ_zAAS6_7F","13583245","",12,"-15 (12 → 27)","-15"
"28","28","61","James Klimas","Am","4","21:01.292",1261292,"2:30.796",150796,"89.286","2","6.165","1.620","0","23","14.960","0","","James","Klimas","2:31.303",151303,"2","44.629",44629,"52.018",52018,"52.890",52890,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:mdvv2AvyIndmXMlEP8mOJ","entries:events-2024-sro-sebring:mdvv2AvyIndmXMlEP8mOJ","12079696","",23,"-5 (23 → 28)","-5"
"29","29","14","Alex Garcia","Am","","","","","","-","0","","","0","6","-","0","","Alex","Garcia","","","","","","","","","","Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:XUDfb2gEwix8j4DQXe27t","entries:events-2024-sro-sebring:XUDfb2gEwix8j4DQXe27t","15057570","",6,"-23 (6 → 29)","-23"
