"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:24.631","2:24.726","2:25.054","2:25.063","2:31.199","2:39.460","9:53.317","","","","03:31.921"
"GR Cup","Am","7","2:28.472","3:00.813","","","","","","","","","02:44.643"
"GR Cup","Am","09","2:27.230","2:27.280","2:27.888","2:28.238","2:28.256","2:28.767","2:29.177","2:54.951","3:01.118","6:50.473","03:00.338"
"GR Cup","Am","11","2:29.007","2:29.065","2:29.554","2:30.348","2:30.698","2:31.281","2:31.505","2:57.654","3:03.234","7:29.232","03:06.158"
"GR Cup","Am","13","2:24.810","2:24.963","2:25.089","2:25.266","2:25.606","2:25.816","2:29.013","9:52.933","","","03:21.687"
"GR Cup","Am","15","2:27.398","2:27.744","2:28.104","2:28.278","2:28.383","2:28.518","2:30.832","2:57.307","3:01.683","6:13.513","02:57.176"
"GR Cup","Am","18","2:26.415","2:26.553","2:27.231","2:27.914","2:28.354","2:28.831","2:32.584","9:45.828","","","03:22.964"
"GR Cup","Am","21","2:27.891","2:28.117","2:28.476","2:29.086","2:30.201","2:30.218","2:31.808","9:37.358","","","03:22.894"
"GR Cup","Am","22","2:26.525","2:26.994","2:27.434","2:29.975","2:30.687","2:41.885","9:47.958","","","","03:33.065"
"GR Cup","Am","24","2:26.602","2:26.929","2:27.322","2:29.061","2:29.596","2:30.093","2:30.956","9:43.303","","","03:22.983"
"GR Cup","Am","25","2:29.176","2:29.787","2:29.934","2:30.502","2:30.802","2:31.091","2:54.111","9:39.286","","","03:26.836"
"GR Cup","Am","31","2:25.814","2:26.043","2:26.372","2:26.803","2:27.812","2:52.850","2:54.823","6:44.930","7:22.148","","03:34.177"
"GR Cup","Am","34","2:26.145","2:26.569","2:26.605","2:27.634","2:29.813","2:32.513","2:39.912","10:55.470","","","03:33.083"
"GR Cup","Am","39","2:27.186","2:27.464","2:27.903","2:28.111","2:28.176","2:28.457","2:29.414","2:54.531","6:51.855","","03:00.344"
"GR Cup","Am","43","2:26.736","2:26.916","2:27.027","2:27.032","2:27.551","2:27.763","2:30.496","2:53.745","2:58.490","5:42.956","02:52.871"
"GR Cup","Am","44","2:26.522","2:26.825","2:26.877","2:27.252","2:27.333","2:54.844","2:59.588","5:35.813","6:15.056","","03:20.012"
"GR Cup","Am","46","2:25.752","2:25.875","2:26.004","2:26.321","2:26.540","2:26.730","2:39.421","10:11.006","","","03:25.956"
"GR Cup","Am","50","2:26.921","2:27.030","2:27.115","2:27.316","2:28.093","2:52.524","2:52.530","3:01.457","3:02.282","7:05.706","03:07.097"
"GR Cup","Am","51","2:26.438","2:26.487","2:26.653","2:26.870","2:27.529","2:27.630","2:36.683","10:47.256","","","03:30.693"
"GR Cup","Am","55","2:25.833","2:26.003","2:26.294","2:26.518","2:29.729","2:36.627","2:38.910","9:47.706","","","03:24.703"
"GR Cup","Am","57","2:25.600","2:25.687","2:25.755","2:25.869","2:25.886","2:25.888","2:27.089","9:52.351","","","03:21.766"
"GR Cup","Am","61","2:30.796","2:31.303","2:52.085","10:02.090","","","","","","","04:29.069"
"GR Cup","Am","76","2:26.607","2:26.751","2:27.086","2:27.377","2:27.543","2:27.739","2:27.787","2:58.298","9:45.050","","03:19.360"
"GR Cup","Am","77","2:27.430","2:27.782","2:28.423","2:52.130","9:44.168","","","","","","03:59.987"
"GR Cup","Am","78","2:26.967","2:27.292","2:27.310","2:27.567","2:27.798","2:29.191","2:29.914","9:44.887","","","03:22.616"
"GR Cup","Am","80","2:27.503","2:27.582","2:27.638","2:27.890","2:27.985","2:28.098","2:44.050","9:17.209","","","03:20.994"
"GR Cup","Am","88","2:26.902","2:27.032","2:27.050","2:27.077","2:27.297","2:27.436","2:54.678","2:59.510","3:52.145","5:43.463","03:01.259"
"GR Cup","Am","99","2:25.234","2:25.736","2:25.848","2:26.403","2:26.689","2:26.997","2:37.479","11:11.067","","","03:33.182"
