Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;9;30:05.264;;;149.81;2:24.642;3
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;8;24:32.750;0.579;0.579;149.21;2:25.221;2
3;99;Am;3;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;11;31:36.351;0.302;0.881;148.9;2:25.523;4
4;55;Am;4;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;11;32:37.121;0.070;0.951;148.83;2:25.593;4
5;46;Am;5;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;9;29:28.941;0.112;1.063;148.71;2:25.705;3
6;51;Am;6;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;11;31:38.634;0.088;1.151;148.62;2:25.793;3
7;57;Am;7;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;11;31:37.967;0.301;1.452;148.32;2:26.094;2
8;18;Am;8;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;11;31:57.638;0.006;1.458;148.31;2:26.100;2
9;76;Am;9;Steven Clemons;USA;Toyota GR86;BSI Racing;10;30:02.730;0.235;1.693;148.07;2:26.335;3
10;14;Am;10;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;11;32:10.887;0.124;1.817;147.95;2:26.459;9
11;31;Am;11;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;8;25:10.277;0.029;1.846;147.92;2:26.488;5
12;88;Am;12;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;12;32:15.427;0.082;1.928;147.84;2:26.570;5
13;7;Am;13;Spencer Bucknum;USA;Toyota GR86;Precision Racing LA;10;30:09.004;0.059;1.987;147.78;2:26.629;5
14;22;Am;14;Devin Anderson;USA;Toyota GR86;TechSport Racing;10;31:21.476;0.051;2.038;147.72;2:26.680;10
15;44;Am;15;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;11;30:43.477;0.039;2.077;147.68;2:26.719;10
16;09;Am;16;Maddie Aust;USA;Toyota GR86;BSI Racing;12;32:06.163;0.030;2.107;147.65;2:26.749;10
17;78;Am;17;Julian DaCosta;USA;Toyota GR86;BSI Racing;12;31:31.632;0.017;2.124;147.64;2:26.766;11
18;34;Am;18;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;9;27:48.111;0.029;2.153;147.61;2:26.795;2
19;24;Am;19;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;12;32:25.113;0.013;2.166;147.6;2:26.808;8
20;50;Am;20;Casey Mashore;USA;Toyota GR86;Mashore Autobody;11;31:42.647;0.026;2.192;147.57;2:26.834;5
21;39;Am;21;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;10;30:54.071;0.159;2.351;147.41;2:26.993;1
22;80;Am;22;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;11;30:21.000;0.049;2.400;147.36;2:27.042;5
23;43;Am;23;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;11;31:04.303;0.226;2.626;147.13;2:27.268;5
24;15;Am;24;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;10;30:09.528;0.320;2.946;146.82;2:27.588;3
25;21;Am;25;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;11;30:37.402;0.522;3.468;146.3;2:28.110;10
26;61;Am;26;James Klimas;USA;Toyota GR86;Skip Barber Racing;10;32:08.707;0.578;4.046;145.73;2:28.688;3
27;77;Am;27;William Lambros;USA;Toyota GR86;Skip Barber Racing;10;29:55.138;0.264;4.310;145.47;2:28.952;6
28;11;Am;28;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;12;31:15.356;0.101;4.411;145.37;2:29.053;5
29;25;Am;29;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;11;30:34.753;0.437;4.848;144.95;2:29.490;2
