"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"5","Gresham Wagner","1","2","2:24.969",144969,"5:50.954",350954,"9:55:52.091","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.230",43230,"50.293",50293,"51.446",51446,"00:17.655",17655,"00:25.575",25575,"00:28.433",28433,"00:21.860",21860,"00:32.330",32330,"00:19.116",19116
"5","Gresham Wagner","2","4","7:46.071",466071,"13:37.025",817025,"10:03:38.162","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","05:56.155",356155,"54.605",54605,"55.311",55311,"05:30.075",330075,"00:26.080",26080,"00:29.071",29071,"00:25.534",25534,"00:35.787",35787,"00:19.524",19524
"5","Gresham Wagner","3","5","2:24.413",144413,"16:01.438",961438,"10:06:02.575","Am","Finish Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.083",43083,"50.049",50049,"51.281",51281,"00:17.561",17561,"00:25.522",25522,"00:28.250",28250,"00:21.799",21799,"00:32.125",32125,"00:19.156",19156
"7","Spencer Bucknum","1","1","3:06.609",186609,"4:05.315",245315,"9:54:06.452","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:14.502",74502,"55.655",55655,"56.452",56452,"00:46.224",46224,"00:28.278",28278,"00:30.976",30976,"00:24.679",24679,"00:36.398",36398,"00:20.054",20054
"7","Spencer Bucknum","2","2","2:27.214",147214,"6:32.529",392529,"9:56:33.666","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.070",44070,"51.152",51152,"51.992",51992,"00:18.090",18090,"00:25.980",25980,"00:28.818",28818,"00:22.334",22334,"00:32.740",32740,"00:19.252",19252
"7","Spencer Bucknum","3","3","4:03.884",243884,"10:36.413",636413,"10:00:37.550","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","00:44.050",44050,"00:54.639",54639,"02:25.195",145195,"00:17.807",17807,"00:26.243",26243,"00:30.407",30407,"00:24.232",24232,"00:33.578",33578,"01:51.617",111617
"7","Spencer Bucknum","4","4","2:56.653",176653,"13:33.066",813066,"10:03:34.203","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","5:14.081",314081,"52.830",52830,"53.626",53626,"00:43.872",43872,"00:26.325",26325,"00:28.962",28962,"00:23.868",23868,"00:34.073",34073,"00:19.553",19553
"7","Spencer Bucknum","5","5","2:27.686",147686,"16:00.752",960752,"10:06:01.889","Am","Finish Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.353",44353,"51.192",51192,"52.141",52141,"00:17.899",17899,"00:26.454",26454,"00:29.033",29033,"00:22.159",22159,"00:32.878",32878,"00:19.263",19263
"09","Maddie Aust","1","1","3:00.217",180217,"3:05.494",185494,"9:53:06.631","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.848Z"",""id"":""entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px"",""createdAt"":""2024-05-01T02:27:47.443Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:12.688",72688,"54.070",54070,"53.459",53459,"00:44.504",44504,"00:28.184",28184,"00:31.466",31466,"00:22.604",22604,"00:34.065",34065,"00:19.394",19394
"09","Maddie Aust","2","2","2:27.126",147126,"5:32.620",332620,"9:55:33.757","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.848Z"",""id"":""entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px"",""createdAt"":""2024-05-01T02:27:47.443Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.030",44030,"51.143",51143,"51.953",51953,"00:18.008",18008,"00:26.022",26022,"00:28.913",28913,"00:22.230",22230,"00:32.740",32740,"00:19.213",19213
