"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","3","16:01.438",961438,"2:24.413",144413,"93.233","3","","","0","1","11.220","0","","Gresham","Wagner","2:24.969",144969,"1","43.051",43051,"50.049",50049,"51.281",51281,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","",1,"0 (1 → 1)","0"
"2","2","88","Henry Drury","Am","5","15:52.182",952182,"2:25.230",145230,"92.708","5","0.817","0.817","0","28","18.700","0","","Henry","Drury","2:26.142",146142,"2","43.360",43360,"50.266",50266,"51.604",51604,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","13339178","",28,"26 (28 → 2)","26"
"3","3","55","Spike Kohlbecker","Am","3","15:34.716",934716,"2:25.361",145361,"92.625","3","0.948","0.131","0","21","11.220","0","","Spike","Kohlbecker","2:25.476",145476,"1","43.201",43201,"50.206",50206,"51.564",51564,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","11385466","",21,"18 (21 → 3)","18"
"4","4","13","Westin Workman","Am","3","16:05.790",965790,"2:25.397",145397,"92.602","1","0.984","0.036","0","5","11.220","0","","Westin","Workman","","","2","43.249",43249,"50.110",50110,"51.582",51582,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","15241424","",5,"1 (5 → 4)","1"
"5","5","46","Lucas Weisenberg","Am","2","13:17.898",797898,"2:25.552",145552,"92.503","1","1.139","0.155","0","18","7.480","0","","Lucas","Weisenberg","","","2","43.313",43313,"50.454",50454,"51.785",51785,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","12208074","",18,"13 (18 → 5)","13"
"6","6","99","Jaxon Bell","Am","3","16:16.806",976806,"2:25.619",145619,"92.460","1","1.206","0.067","0","29","11.220","0","","Jaxon","Bell","","","2","43.375",43375,"50.225",50225,"51.595",51595,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","13153784","",29,"23 (29 → 6)","23"
"7","7","18","Jordan RickSegrini","Am","4","15:40.703",940703,"2:25.670",145670,"92.428","4","1.257","0.051","0","8","14.960","2","","Jordan","RickSegrini","2:27.046",147046,"2","43.186",43186,"50.360",50360,"52.124",52124,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","12415550","",8,"1 (8 → 7)","1"
"8","8","44","Aidan Yoder","Am","5","15:53.952",953952,"2:25.694",145694,"92.413","5","1.281","0.024","0","17","18.700","0","","Aidan","Yoder","2:26.470",146470,"2","43.158",43158,"50.509",50509,"52.027",52027,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","14864382","",17,"9 (17 → 8)","9"
"9","9","80","Tyler Wettengel","Am","3","15:40.945",940945,"2:25.953",145953,"92.249","1","1.540","0.259","0","27","11.220","0","","Tyler","Wettengel","2:27.367",147367,"1","43.725",43725,"50.572",50572,"51.656",51656,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","15012542","",27,"18 (27 → 9)","18"
"10","10","51","Adam Brickley","Am","3","16:06.447",966447,"2:26.074",146074,"92.172","1","1.661","0.121","0","20","11.220","0","","Adam","Brickley","","","2","43.586",43586,"50.254",50254,"51.605",51605,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","12714404","",20,"10 (20 → 10)","10"
