"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"5","Gresham Wagner","1","2","2:24.429",144429,"5:58.724",358724,"9:00:58.727","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.131",43131,"50.018",50018,"51.280",51280,"00:17.532",17532,"00:25.599",25599,"00:28.276",28276,"00:21.742",21742,"00:32.207",32207,"00:19.073",19073
"5","Gresham Wagner","2","3","2:24.086",144086,"8:22.810",502810,"9:03:22.813","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","42.892",42892,"49.939",49939,"51.255",51255,"00:17.352",17352,"00:25.540",25540,"00:28.214",28214,"00:21.725",21725,"00:32.255",32255,"00:19.000",19000
"5","Gresham Wagner","3","4","2:23.777",143777,"10:46.587",646587,"9:05:46.590","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","42.874",42874,"49.884",49884,"51.019",51019,"00:17.391",17391,"00:25.483",25483,"00:28.054",28054,"00:21.830",21830,"00:32.135",32135,"00:18.884",18884
"5","Gresham Wagner","4","5","2:56.150",176150,"13:42.737",822737,"9:08:42.740","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.305",50305,"58.496",58496,"01:07.349",67349,"00:19.399",19399,"00:30.906",30906,"00:35.741",35741,"00:22.755",22755,"00:34.382",34382,"00:32.967",32967
"7","Spencer Bucknum","1","1","3:14.740",194740,"3:57.442",237442,"8:58:57.445","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:16.860",76860,"59.068",59068,"58.812",58812,"00:45.764",45764,"00:31.096",31096,"00:33.149",33149,"00:25.919",25919,"00:38.729",38729,"00:20.083",20083
"7","Spencer Bucknum","2","2","2:27.651",147651,"6:25.093",385093,"9:01:25.096","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.091",44091,"51.176",51176,"52.384",52384,"00:17.954",17954,"00:26.137",26137,"00:28.913",28913,"00:22.263",22263,"00:32.971",32971,"00:19.413",19413
"7","Spencer Bucknum","3","3","2:26.948",146948,"8:52.041",532041,"9:03:52.044","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.686",43686,"51.229",51229,"52.033",52033,"00:17.759",17759,"00:25.927",25927,"00:28.918",28918,"00:22.311",22311,"00:32.809",32809,"00:19.224",19224
"7","Spencer Bucknum","4","4","2:26.383",146383,"11:18.424",678424,"9:06:18.427","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.671",43671,"50.747",50747,"51.965",51965,"00:17.900",17900,"00:25.771",25771,"00:28.639",28639,"00:22.108",22108,"00:32.736",32736,"00:19.229",19229
"7","Spencer Bucknum","5","5","2:30.227",150227,"13:48.651",828651,"9:08:48.654","Am","Green Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.664",43664,"51.773",51773,"54.790",54790,"00:17.738",17738,"00:25.926",25926,"00:28.715",28715,"00:23.058",23058,"00:35.424",35424,"00:19.366",19366
"7","Spencer Bucknum","6","6","2:27.496",147496,"16:16.147",976147,"9:11:16.150","Am","Finish Flag","Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Spencer"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""transponderNumber"":""13334705"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Precision Racing LA"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T20:01:56.427Z"",""id"":""entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F"",""createdAt"":""2024-05-01T02:27:47.240Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.671",43671,"50.915",50915,"52.910",52910,"00:17.857",17857,"00:25.814",25814,"00:28.623",28623,"00:22.292",22292,"00:33.612",33612,"00:19.298",19298
