"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","4","13:42.737",822737,"2:23.777",143777,"93.645","3","","","0","1","14.960","0","","Gresham","Wagner","2:24.086",144086,"1","42.874",42874,"49.884",49884,"51.019",51019,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","",1,"0 (1 → 1)","0"
"2","2","46","Lucas Weisenberg","Am","5","15:17.223",917223,"2:24.792",144792,"92.989","3","1.015","1.015","0","18","18.700","0","","Lucas","Weisenberg","2:24.881",144881,"","42.830",42830,"50.409",50409,"51.509",51509,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","12208074","",18,"16 (18 → 2)","16"
"3","3","13","Westin Workman","Am","6","17:22.011",1042011,"2:24.810",144810,"92.977","5","1.033","0.018","0","5","22.440","0","","Westin","Workman","2:24.937",144937,"","43.001",43001,"50.229",50229,"51.398",51398,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","15241424","",5,"2 (5 → 3)","2"
"4","4","57","Mia Lovell","Am","6","17:21.970",1041970,"2:24.813",144813,"92.975","3","1.036","0.003","0","22","22.440","0","","Mia","Lovell","2:25.273",145273,"","43.155",43155,"50.153",50153,"51.470",51470,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:_JOHQD2Ky5ASvVrQ0ddsg","entries:events-2024-sro-sebring:_JOHQD2Ky5ASvVrQ0ddsg","10314665","",22,"18 (22 → 4)","18"
"5","5","51","Adam Brickley","Am","6","17:38.367",1058367,"2:24.929",144929,"92.901","4","1.152","0.116","0","20","22.440","0","","Adam","Brickley","2:25.066",145066,"","43.229",43229,"50.141",50141,"51.530",51530,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","12714404","",20,"15 (20 → 5)","15"
"6","6","55","Spike Kohlbecker","Am","5","15:07.089",907089,"2:24.961",144961,"92.880","4","1.184","0.032","0","21","18.700","0","","Spike","Kohlbecker","2:25.028",145028,"","43.095",43095,"50.178",50178,"51.494",51494,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","11385466","",21,"15 (21 → 6)","15"
"7","7","99","Jaxon Bell","Am","6","17:20.245",1040245,"2:25.052",145052,"92.822","2","1.275","0.091","0","29","22.440","0","","Jaxon","Bell","2:25.077",145077,"","43.102",43102,"50.049",50049,"51.548",51548,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","13153784","",29,"22 (29 → 7)","22"
"8","8","14","Alex Garcia","Am","3","10:30.549",630549,"2:25.299",145299,"92.664","2","1.522","0.247","0","6","11.220","0","","Alex","Garcia","2:26.771",146771,"1","43.379",43379,"50.202",50202,"51.718",51718,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:XUDfb2gEwix8j4DQXe27t","entries:events-2024-sro-sebring:XUDfb2gEwix8j4DQXe27t","15057570","",6,"-2 (6 → 8)","-2"
"9","9","18","Jordan RickSegrini","Am","6","15:39.504",939504,"2:25.441",145441,"92.574","4","1.664","0.142","0","8","22.440","5","","Jordan","RickSegrini","2:25.665",145665,"1","43.235",43235,"50.510",50510,"51.687",51687,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","12415550","",8,"-1 (8 → 9)","-1"
"10","10","24","Jade Avedisian","Am","5","15:08.811",908811,"2:25.450",145450,"92.568","4","1.673","0.009","0","11","18.700","0","","Jade","Avedisian","2:25.898",145898,"","43.231",43231,"50.552",50552,"51.609",51609,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:JwPpSCLGYFDuSW-K5cF3C","entries:events-2024-sro-sebring:JwPpSCLGYFDuSW-K5cF3C","10544198","",11,"1 (11 → 10)","1"
