Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;4;13:42.737;;;150.71;2:23.777;3
2;46;Am;2;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;5;15:17.223;1.015;1.015;149.65;2:24.792;3
3;13;Am;3;Westin Workman;USA;Toyota GR86;Copeland Motorsports;6;17:22.011;0.018;1.033;149.63;2:24.810;5
4;57;Am;4;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;6;17:21.970;0.003;1.036;149.63;2:24.813;3
5;51;Am;5;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;6;17:38.367;0.116;1.152;149.51;2:24.929;4
6;55;Am;6;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;5;15:07.089;0.032;1.184;149.48;2:24.961;4
7;99;Am;7;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;6;17:20.245;0.091;1.275;149.38;2:25.052;2
8;14;Am;8;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;3;10:30.549;0.247;1.522;149.13;2:25.299;2
9;18;Am;9;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;6;15:39.504;0.142;1.664;148.98;2:25.441;4
10;24;Am;10;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;5;15:08.811;0.009;1.673;148.97;2:25.450;4
11;88;Am;11;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;6;16:12.368;0.199;1.872;148.77;2:25.649;4
12;09;Am;12;Maddie Aust;USA;Toyota GR86;BSI Racing;5;15:25.578;0.451;2.323;148.31;2:26.100;3
13;76;Am;13;Steven Clemons;USA;Toyota GR86;BSI Racing;6;16:09.992;0.055;2.378;148.25;2:26.155;6
14;34;Am;14;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;5;15:51.812;0.094;2.472;148.16;2:26.249;4
15;44;Am;15;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;6;17:50.507;0.036;2.508;148.12;2:26.285;3
16;80;Am;16;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;5;15:14.651;0.036;2.544;148.09;2:26.321;3
17;77;Am;17;William Lambros;USA;Toyota GR86;Skip Barber Racing;5;15:04.851;0.058;2.602;148.03;2:26.379;2
18;7;Am;18;Spencer Bucknum;USA;Toyota GR86;Precision Racing LA;6;16:16.147;0.004;2.606;148.02;2:26.383;4
19;43;Am;19;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;6;17:06.153;0.064;2.670;147.96;2:26.447;4
20;78;Am;20;Julian DaCosta;USA;Toyota GR86;BSI Racing;5;15:15.063;0.074;2.744;147.88;2:26.521;5
21;50;Am;21;Casey Mashore;USA;Toyota GR86;Mashore Autobody;6;16:20.565;0.005;2.749;147.88;2:26.526;4
22;39;Am;22;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;6;15:39.852;0.276;3.025;147.6;2:26.802;4
23;11;Am;23;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;6;16:37.570;0.022;3.047;147.58;2:26.824;3
24;22;Am;24;Devin Anderson;USA;Toyota GR86;TechSport Racing;5;15:34.760;0.502;3.549;147.08;2:27.326;2
25;61;Am;25;James Klimas;USA;Toyota GR86;Skip Barber Racing;5;16:24.635;0.643;4.192;146.44;2:27.969;2
26;25;Am;26;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;5;15:27.299;0.294;4.486;146.15;2:28.263;1
27;21;Am;27;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;2;10:13.968;;;;;0
28;15;Am;28;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;;;;;;;0
29;31;Am;29;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;;;;;;;0
