"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"5","Gresham Wagner","1","1","2:27.900",147900,"2:27.900",147900,"13:52:47.482","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.317",45317,"50.532",50532,"52.051",52051,"00:19.385",19385,"00:25.932",25932,"00:28.470",28470,"00:22.062",22062,"00:32.804",32804,"00:19.247",19247
"5","Gresham Wagner","2","2","2:26.055",146055,"4:53.955",293955,"13:55:13.537","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.569",43569,"50.425",50425,"52.061",52061,"00:17.661",17661,"00:25.908",25908,"00:28.347",28347,"00:22.078",22078,"00:32.726",32726,"00:19.335",19335
"5","Gresham Wagner","3","3","2:26.097",146097,"7:20.052",440052,"13:57:39.634","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.423",43423,"50.622",50622,"52.052",52052,"00:17.560",17560,"00:25.863",25863,"00:28.446",28446,"00:22.176",22176,"00:32.719",32719,"00:19.333",19333
"5","Gresham Wagner","4","4","2:26.355",146355,"9:46.407",586407,"14:00:05.989","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.549",43549,"50.681",50681,"52.125",52125,"00:17.542",17542,"00:26.007",26007,"00:28.542",28542,"00:22.139",22139,"00:32.829",32829,"00:19.296",19296
"5","Gresham Wagner","5","5","2:26.327",146327,"12:12.734",732734,"14:02:32.316","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.521",43521,"50.551",50551,"52.255",52255,"00:17.536",17536,"00:25.985",25985,"00:28.388",28388,"00:22.163",22163,"00:32.848",32848,"00:19.407",19407
"5","Gresham Wagner","6","6","2:27.188",147188,"14:39.922",879922,"14:04:59.504","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.363",44363,"50.715",50715,"52.110",52110,"00:17.817",17817,"00:26.546",26546,"00:28.576",28576,"00:22.139",22139,"00:32.717",32717,"00:19.393",19393
"5","Gresham Wagner","7","7","2:26.295",146295,"17:06.217",1026217,"14:07:25.799","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","43.585",43585,"50.459",50459,"52.251",52251,"00:17.602",17602,"00:25.983",25983,"00:28.567",28567,"00:21.892",21892,"00:32.845",32845,"00:19.406",19406
"5","Gresham Wagner","8","8","2:56.941",176941,"20:03.158",1203158,"14:10:22.740","Am","Yellow Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.054",44054,"57.235",57235,"1:15.652",75652,"00:17.669",17669,"00:26.385",26385,"00:28.995",28995,"00:28.240",28240,"00:47.731",47731,"00:27.921",27921
"5","Gresham Wagner","9","9","4:10.935",250935,"24:14.093",1454093,"14:14:33.675","Am","Yellow Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","1:20.580",80580,"1:19.304",79304,"1:31.051",91051,"00:30.300",30300,"00:50.280",50280,"00:44.953",44953,"00:34.351",34351,"00:56.931",56931,"00:34.120",34120
"5","Gresham Wagner","10","10","4:15.618",255618,"28:29.711",1709711,"14:18:49.293","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-02T16:53:25.422Z"",""id"":""entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk"",""createdAt"":""2024-05-01T02:27:46.814Z"",""eventId"":""events:2024-sro-sebring""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","1:24.062",84062,"1:26.310",86310,"1:25.246",85246,"00:33.923",33923,"00:50.139",50139,"00:51.002",51002,"00:35.308",35308,"00:56.990",56990,"00:28.256",28256
