"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","14","45:28.600",2728600,"2:26.055",146055,"92.184","2","","","25","1","52.360","14","2:24.413","Gresham","Wagner","2:26.097",146097,"","43.423",43423,"50.425",50425,"52.051",52051,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","",1,"0 (1 → 1)","0"
"2","2","13","Westin Workman","Am","14","45:29.365",2729365,"2:26.313",146313,"92.022","3","0.765","0.765","18","4","52.360","0","2:25.397","Westin","Workman","2:26.781",146781,"","43.514",43514,"50.660",50660,"52.139",52139,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","15241424","",4,"2 (4 → 2)","2"
"3","3","99","Jaxon Bell","Am","14","45:29.946",2729946,"2:26.083",146083,"92.167","3","1.346","0.581","15","6","52.360","0","2:25.619","Jaxon","Bell","2:26.478",146478,"","43.490",43490,"50.399",50399,"52.044",52044,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","13153784","",6,"3 (6 → 3)","3"
"4","4","55","Spike Kohlbecker","Am","14","45:30.268",2730268,"2:26.629",146629,"91.824","3","1.668","0.322","12","3","52.360","0","2:25.361","Spike","Kohlbecker","2:26.705",146705,"","43.739",43739,"50.675",50675,"52.215",52215,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","11385466","",3,"-1 (3 → 4)","-1"
"5","5","46","Lucas Weisenberg","Am","14","45:31.730",2731730,"2:26.537",146537,"91.881","7","3.130","1.462","10","5","52.360","0","2:25.552","Lucas","Weisenberg","2:26.887",146887,"","43.449",43449,"50.723",50723,"52.258",52258,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","12208074","",5,"0 (5 → 5)","0"
"6","6","18","Jordan RickSegrini","Am","14","45:32.864",2732864,"2:26.927",146927,"91.637","3","4.264","1.134","8","7","52.360","0","2:25.670","Jordan","RickSegrini","2:27.189",147189,"","43.655",43655,"50.807",50807,"52.233",52233,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","12415550","",7,"1 (7 → 6)","1"
"7","7","88","Henry Drury","Am","14","45:33.834",2733834,"2:27.354",147354,"91.372","3","5.234","0.970","6","2","52.360","0","2:25.230","Henry","Drury","2:27.575",147575,"","43.789",43789,"51.037",51037,"52.078",52078,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","13339178","",2,"-5 (2 → 7)","-5"
"8","8","51","Adam Brickley","Am","14","45:34.456",2734456,"2:27.228",147228,"91.450","6","5.856","0.622","4","10","52.360","0","2:26.074","Adam","Brickley","2:27.434",147434,"","43.995",43995,"50.794",50794,"52.289",52289,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","12714404","",10,"2 (10 → 8)","2"
"9","9","44","Aidan Yoder","Am","14","45:34.579",2734579,"2:27.590",147590,"91.226","6","5.979","0.123","2","8","52.360","0","2:25.694","Aidan","Yoder","2:27.692",147692,"","43.728",43728,"51.025",51025,"52.529",52529,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","14864382","",8,"-1 (8 → 9)","-1"
"10","10","78","Julian DaCosta","Am","14","45:36.521",2736521,"2:27.636",147636,"91.197","6","7.921","1.942","1","12","52.360","0","2:26.176","Julian","DaCosta","2:28.056",148056,"","43.872",43872,"51.319",51319,"52.429",52429,"Julian","DaCosta","","218666","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","12769314","",12,"2 (12 → 10)","2"
