"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:26.055","2:26.097","2:26.295","2:26.327","2:26.355","2:27.188","2:27.900","2:56.941","3:12.296","4:08.765","02:44.422"
"GR Cup","Am","7","2:29.473","2:29.791","2:33.871","","","","","","","","02:31.045"
"GR Cup","Am","09","2:27.996","2:28.548","2:29.398","2:29.527","2:29.555","2:31.243","2:32.811","2:45.591","3:25.674","4:06.302","02:46.665"
"GR Cup","Am","11","2:28.312","2:28.896","2:29.271","2:29.297","2:29.641","2:29.645","2:35.608","2:44.006","3:27.943","4:05.737","02:46.836"
"GR Cup","Am","13","2:26.313","2:26.781","2:26.803","2:26.850","2:26.981","2:27.636","2:29.246","2:52.888","3:13.532","4:08.398","02:44.543"
"GR Cup","Am","14","2:26.833","2:26.971","2:27.786","2:28.170","2:28.618","2:30.600","2:34.855","2:46.710","3:23.697","4:05.623","02:45.986"
"GR Cup","Am","15","2:28.910","2:29.205","2:29.930","2:29.967","2:30.370","2:30.791","2:36.344","","","","02:30.788"
"GR Cup","Am","18","2:26.927","2:27.189","2:27.472","2:27.516","2:27.534","2:27.592","2:30.319","2:51.631","3:16.457","4:08.149","02:45.079"
"GR Cup","Am","21","2:27.953","2:28.781","2:29.075","2:29.402","2:29.590","2:35.876","2:35.878","2:40.148","3:31.647","4:05.952","02:47.430"
"GR Cup","Am","22","2:27.758","2:27.874","2:28.033","2:28.472","2:29.084","2:29.320","2:34.688","2:46.975","3:27.845","4:06.294","02:46.634"
"GR Cup","Am","24","2:28.033","2:28.207","2:28.875","2:28.995","2:30.000","2:30.051","2:34.405","2:44.398","3:24.061","4:06.094","02:46.312"
"GR Cup","Am","25","2:29.909","2:30.048","2:30.457","2:30.533","2:30.931","2:32.089","2:35.258","2:38.349","3:32.718","4:05.377","02:47.567"
"GR Cup","Am","31","2:27.098","2:27.160","2:27.377","2:27.546","2:27.712","2:29.054","2:31.536","2:51.112","4:09.835","4:13.505","02:51.194"
"GR Cup","Am","34","2:27.440","2:27.667","2:28.235","2:28.361","2:28.555","2:30.451","2:33.523","2:46.963","3:26.888","4:05.955","02:46.404"
"GR Cup","Am","39","2:28.775","2:28.788","2:28.809","2:28.947","2:30.636","2:31.324","2:34.207","2:44.986","3:29.480","4:05.991","02:47.194"
"GR Cup","Am","43","2:28.666","2:29.128","2:29.184","2:29.223","2:31.386","2:31.452","2:36.874","2:40.844","3:29.439","4:05.971","02:47.217"
"GR Cup","Am","44","2:27.590","2:27.692","2:27.741","2:27.848","2:28.822","2:29.092","2:31.616","2:49.845","3:19.689","4:07.266","02:45.720"
"GR Cup","Am","46","2:26.537","2:26.887","2:27.048","2:27.119","2:27.177","2:27.190","2:30.343","2:53.492","3:15.580","4:07.994","02:44.937"
"GR Cup","Am","50","2:27.257","2:28.005","2:28.577","2:28.671","2:29.238","2:30.897","2:32.281","2:46.771","3:30.400","4:06.867","02:46.896"
"GR Cup","Am","51","2:27.228","2:27.434","2:27.587","2:27.621","2:27.821","2:28.161","2:31.618","2:50.110","3:19.622","4:07.428","02:45.463"
"GR Cup","Am","55","2:26.629","2:26.705","2:26.928","2:27.040","2:27.517","2:28.236","2:28.869","2:53.259","3:15.048","4:08.294","02:44.853"
"GR Cup","Am","57","2:26.987","2:27.217","2:27.605","2:28.025","2:28.269","2:28.998","2:32.306","2:50.054","3:23.610","4:06.031","02:45.910"
"GR Cup","Am","61","2:29.422","2:30.047","2:30.200","2:30.450","2:31.414","2:31.476","2:37.697","2:37.975","3:34.505","4:05.878","02:47.906"
"GR Cup","Am","76","2:27.374","2:27.728","2:28.032","2:28.531","2:29.372","2:29.892","2:33.036","2:46.825","3:22.270","4:06.290","02:45.935"
"GR Cup","Am","77","2:27.770","2:28.403","2:28.891","2:28.970","2:29.090","2:29.584","2:33.094","2:47.391","3:29.704","4:05.969","02:46.887"
"GR Cup","Am","78","2:27.636","2:28.056","2:28.088","2:28.548","2:29.283","2:29.890","2:32.134","2:47.073","3:20.915","4:06.995","02:45.862"
"GR Cup","Am","80","2:27.595","2:27.884","2:28.535","2:28.550","2:29.902","2:31.099","2:47.639","3:16.695","3:32.162","3:34.011","02:48.407"
"GR Cup","Am","88","2:27.354","2:27.575","2:27.710","2:27.813","2:28.000","2:28.737","2:29.840","2:50.336","3:17.432","4:07.507","02:45.230"
"GR Cup","Am","99","2:26.083","2:26.478","2:26.687","2:27.058","2:27.089","2:27.594","2:29.689","2:53.293","3:14.006","4:08.450","02:44.643"
