Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;18;46:23.417;;;148.52;2:25.889;3
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;18;46:24.192;0.775;0.775;148.03;2:26.382;18
3;99;Am;3;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;18;46:26.192;2.000;2.775;148.21;2:26.201;5
4;46;Am;4;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;18;46:31.225;5.033;7.808;147.74;2:26.669;2
5;55;Am;5;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;18;46:31.537;0.312;8.120;148.06;2:26.348;5
6;14;Am;6;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;18;46:32.799;1.262;9.382;147.42;2:26.986;5
7;76;Am;7;Steven Clemons;USA;Toyota GR86;BSI Racing;18;46:33.114;0.315;9.697;147;2:27.404;4
8;57;Am;8;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;18;46:33.286;0.172;9.869;147.68;2:26.724;4
9;18;Am;9;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;18;46:33.941;0.655;10.524;147.53;2:26.873;4
10;78;Am;10;Julian DaCosta;USA;Toyota GR86;BSI Racing;18;46:34.241;0.300;10.824;146.56;2:27.840;4
11;44;Am;11;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;18;46:34.381;0.140;10.964;146.53;2:27.877;8
12;39;Am;12;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;18;46:36.074;1.693;12.657;146.34;2:28.065;4
13;51;Am;13;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;18;46:36.453;0.379;13.036;147.66;2:26.739;2
14;50;Am;14;Casey Mashore;USA;Toyota GR86;Mashore Autobody;18;46:39.445;2.992;16.028;146.23;2:28.180;7
15;80;Am;15;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;18;46:39.696;0.251;16.279;146.15;2:28.261;3
16;21;Am;16;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;18;46:40.243;0.547;16.826;146.63;2:27.778;4
17;22;Am;17;Devin Anderson;USA;Toyota GR86;TechSport Racing;18;46:42.436;2.193;19.019;147.12;2:27.281;3
18;11;Am;18;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;18;46:43.484;1.048;20.067;145.81;2:28.602;7
19;61;Am;19;James Klimas;USA;Toyota GR86;Skip Barber Racing;18;46:47.026;3.542;23.609;144.85;2:29.589;17
20;25;Am;20;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;18;46:49.349;2.323;25.932;145;2:29.432;7
21;34;Am;21;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;18;47:24.881;35.532;1:01.464;146.55;2:27.857;6
22;09;Am;22;Maddie Aust;USA;Toyota GR86;BSI Racing;16;41:46.779;2 Laps;2 Laps;145.88;2:28.531;4
23;43;Am;23;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;11;29:38.684;5 Laps;7 Laps;146.1;2:28.314;4
24;88;Am;24;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;11;29:42.060;3.376;7 Laps;146.92;2:27.486;4
25;24;Am;25;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;10;24:54.690;1 Lap;8 Laps;147.17;2:27.229;5
;77;Am;;William Lambros;USA;Toyota GR86;Skip Barber Racing;3;8:13.855;7 Laps;15 Laps;141.57;2:33.052;2
DNS;15;Am;DNS;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;;;;DNS;;;0
DNS;31;Am;DNS;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;;;;DNS;;;0
