"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","18","46:23.417",2783417,"2:25.889",145889,"92.289","3","","","25","1","67.320","18","2:23.777","Gresham","Wagner","2:25.974",145974,"","43.253",43253,"50.539",50539,"51.765",51765,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","entries:events-2024-sro-sebring:dnakcNcfdvGArUQWI0XPk","15257379","",1,"0 (1 → 1)","0"
"2","2","13","Westin Workman","Am","18","46:24.192",2784192,"2:26.382",146382,"91.979","18","0.775","0.775","18","3","67.320","0","2:24.810","Westin","Workman","2:26.411",146411,"","43.440",43440,"50.704",50704,"51.994",51994,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","entries:events-2024-sro-sebring:lr-KHH7REz_y_MOS5TbcN","15241424","",3,"1 (3 → 2)","1"
"3","3","99","Jaxon Bell","Am","18","46:26.192",2786192,"2:26.201",146201,"92.092","5","2.775","2.000","15","7","67.320","0","2:25.052","Jaxon","Bell","2:26.332",146332,"","43.483",43483,"50.592",50592,"51.889",51889,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","entries:events-2024-sro-sebring:E5DwrlcTpAlHX95EtfaA9","13153784","",7,"4 (7 → 3)","4"
"4","4","46","Lucas Weisenberg","Am","18","46:31.225",2791225,"2:26.669",146669,"91.799","2","7.808","5.033","12","2","67.320","0","2:24.792","Lucas","Weisenberg","2:26.749",146749,"","43.370",43370,"50.890",50890,"52.155",52155,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","entries:events-2024-sro-sebring:uh-kTiqZuu2cfj_3zPbbN","12208074","",2,"-2 (2 → 4)","-2"
"5","5","55","Spike Kohlbecker","Am","18","46:31.537",2791537,"2:26.348",146348,"92.000","5","8.120","0.312","10","6","67.320","0","2:24.961","Spike","Kohlbecker","2:26.796",146796,"","43.570",43570,"50.637",50637,"51.990",51990,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","entries:events-2024-sro-sebring:5B0yfxlKLp4pX5d9f0YH1","11385466","",6,"1 (6 → 5)","1"
"6","6","14","Alex Garcia","Am","18","46:32.799",2792799,"2:26.986",146986,"91.601","5","9.382","1.262","8","8","67.320","0","2:25.299","Alex","Garcia","2:27.155",147155,"","43.706",43706,"50.812",50812,"52.107",52107,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:XUDfb2gEwix8j4DQXe27t","entries:events-2024-sro-sebring:XUDfb2gEwix8j4DQXe27t","15057570","",8,"2 (8 → 6)","2"
"7","7","76","Steven Clemons","Am","18","46:33.114",2793114,"2:27.404",147404,"91.341","4","9.697","0.315","6","13","67.320","0","2:26.155","Steven","Clemons","2:27.673",147673,"","43.828",43828,"51.228",51228,"52.178",52178,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:7OJCvR3_5D3jRXwT27eaB","entries:events-2024-sro-sebring:7OJCvR3_5D3jRXwT27eaB","13032211","",13,"6 (13 → 7)","6"
"8","8","57","Mia Lovell","Am","18","46:33.286",2793286,"2:26.724",146724,"91.764","4","9.869","0.172","4","4","67.320","0","2:24.813","Mia","Lovell","2:26.830",146830,"","43.715",43715,"50.869",50869,"51.994",51994,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:_JOHQD2Ky5ASvVrQ0ddsg","entries:events-2024-sro-sebring:_JOHQD2Ky5ASvVrQ0ddsg","10314665","",4,"-4 (4 → 8)","-4"
"9","9","18","Jordan RickSegrini","Am","18","46:33.941",2793941,"2:26.873",146873,"91.671","4","10.524","0.655","2","9","67.320","0","2:25.441","Jordan","RickSegrini","2:26.899",146899,"","43.669",43669,"50.814",50814,"52.037",52037,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","entries:events-2024-sro-sebring:MMvYT-bVmBtPjq_RmLZAn","12415550","",9,"0 (9 → 9)","0"
"10","10","78","Julian DaCosta","Am","18","46:34.241",2794241,"2:27.840",147840,"91.071","4","10.824","0.300","1","19","67.320","0","2:26.521","Julian","DaCosta","2:27.977",147977,"","44.107",44107,"51.171",51171,"52.410",52410,"Julian","DaCosta","","218666","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","12769314","",19,"9 (19 → 10)","9"
