CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;9;3;2:23.742;;;150.7;
Am;2;2;13;BSI Racing;Toyota GR86;Westin Workman;11;4;2:24.333;+0.591;+0.591;150.1;
Am;3;3;16;Copeland Motorsports;Toyota GR86;John Dean;10;6;2:24.615;+0.873;+0.282;149.8;
Am;4;4;72;TechSport;Toyota GR86;Ethan Goulart;9;6;2:24.998;+1.256;+0.383;149.4;
Am;5;5;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;11;11;2:25.060;+1.318;+0.062;149.4;
Am;6;6;98;TechSport;Toyota GR86;Max Schweid;12;5;2:25.115;+1.373;+0.055;149.3;
Am;7;7;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;12;3;2:25.119;+1.377;+0.004;149.3;
Am;8;8;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;12;9;2:25.305;+1.563;+0.186;149.1;
Am;9;9;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;11;6;2:25.421;+1.679;+0.116;149.0;
Am;10;10;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;12;12;2:25.667;+1.925;+0.246;148.8;
Am;11;11;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;12;6;2:25.686;+1.944;+0.019;148.7;
Am;12;12;15;TechSport;Toyota GR86;Brett Kowalski;10;5;2:25.851;+2.109;+0.165;148.6;
Am;13;13;71;TechSport;Toyota GR86;Christian Weir;12;5;2:25.920;+2.178;+0.069;148.5;
Am;14;14;21;Copeland Motorsports;Toyota GR86;Ford Koch;12;5;2:26.017;+2.275;+0.097;148.4;
Am;15;15;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;12;3;2:26.178;+2.436;+0.161;148.2;
Am;16;16;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;13;5;2:26.620;+2.878;+0.442;147.8;
Am;17;17;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;11;4;2:26.860;+3.118;+0.240;147.5;
Am;18;18;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;12;5;2:27.101;+3.359;+0.241;147.3;
Am;19;19;51;BSI Racing;Toyota GR86;Massimo Sunseri;11;4;2:27.256;+3.514;+0.155;147.1;
Am;20;20;47;TechSport;Toyota GR86;Ayden Kirk;12;11;2:27.274;+3.532;+0.018;147.1;
Am;21;21;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;12;4;2:27.459;+3.717;+0.185;146.9;
Am;22;22;03;Precision Racing LA;Toyota GR86;Karl Forman;12;12;2:28.161;+4.419;+0.702;146.2;
