NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:06.601;0;;1:18.963;0;52.826;0;54.812;0;116.1;3:06.601;13:48:06.601;1:18.963;0:52.826;0:54.812;;Karl Forman;0:00:35.816;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;78.963;52.826;54.812;51.098;51.098;27.865;1:18.963;30.711;1:49.674;22.115;2:11.789;35.077;2:46.866;19.735;3:06.601;
03;1;2;7:27.344;0;B;45.089;0;1:03.964;0;5:38.291;0;48.4;10:33.945;13:55:33.945;0:45.089;1:03.964;5:38.291;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.089;63.964;338.291;;;;45.089;;;;1:49.053;38.888;2:27.941;4:59.403;7:27.344;
03;1;3;2:55.303;0;;1:09.903;0;52.485;0;52.915;0;123.6;13:29.248;13:58:29.248;1:09.903;0:52.485;0:52.915;;Karl Forman;0:05:01.509;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;69.903;52.485;52.915;43.357;43.357;26.546;1:09.903;30.200;1:40.103;22.285;2:02.388;33.206;2:35.594;19.709;2:55.303;
03;1;4;2:28.693;0;;44.843;0;51.202;0;52.648;0;145.7;15:57.941;14:00:57.941;0:44.843;0:51.202;0:52.648;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.843;51.202;52.648;18.361;18.361;26.482;44.843;29.077;1:13.920;22.125;1:36.045;33.064;2:09.109;19.584;2:28.693;
03;1;5;2:28.705;0;;44.287;0;51.303;0;53.115;0;145.7;18:26.646;14:03:26.646;0:44.287;0:51.303;0:53.115;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.287;51.303;53.115;17.913;17.913;26.374;44.287;29.452;1:13.739;21.851;1:35.590;33.283;2:08.873;19.832;2:28.705;
03;1;6;2:28.588;0;;44.259;0;51.691;0;52.638;2;145.8;20:55.234;14:05:55.234;0:44.259;0:51.691;0:52.638;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.259;51.691;52.638;18.037;18.037;26.222;44.259;29.603;1:13.862;22.088;1:35.950;33.009;2:08.959;19.629;2:28.588;
03;1;7;2:28.468;0;;43.868;2;51.374;0;53.226;0;145.9;23:23.702;14:08:23.702;0:43.868;0:51.374;0:53.226;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;43.868;51.374;53.226;17.791;17.791;26.077;43.868;29.225;1:13.093;22.149;1:35.242;33.441;2:08.683;19.785;2:28.468;
03;1;8;2:28.608;0;;44.472;0;51.198;2;52.938;0;145.8;25:52.310;14:10:52.310;0:44.472;0:51.198;0:52.938;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.472;51.198;52.938;18.238;18.238;26.234;44.472;29.290;1:13.762;21.908;1:35.670;33.335;2:09.005;19.603;2:28.608;
03;1;9;2:29.304;0;;44.976;0;51.342;0;52.986;0;145.1;28:21.614;14:13:21.614;0:44.976;0:51.342;0:52.986;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.976;51.342;52.986;17.909;17.909;27.067;44.976;29.443;1:14.419;21.899;1:36.318;33.343;2:09.661;19.643;2:29.304;
03;1;10;2:28.437;2;;44.159;0;51.199;0;53.079;0;146.0;30:50.051;14:15:50.051;0:44.159;0:51.199;0:53.079;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;44.159;51.199;53.079;17.720;17.720;26.439;44.159;29.375;1:13.534;21.824;1:35.358;33.339;2:08.697;19.740;2:28.437;
11;1;1;3:08.266;0;B;1:05.308;0;53.152;0;1:09.806;0;115.1;3:08.266;13:48:08.266;1:05.308;0:53.152;1:09.806;;Farran Davis;0:00:20.742;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;65.308;53.152;69.806;36.607;36.607;28.701;1:05.308;30.192;1:35.500;22.960;1:58.460;35.319;2:33.779;34.487;3:08.266;
11;1;2;10:20.019;0;;8:34.063;0;52.070;0;53.886;0;34.9;13:28.285;13:58:28.285;8:34.063;0:52.070;0:53.886;;Farran Davis;0:08:03.783;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;514.063;52.070;53.886;8:06.682;8:06.682;27.381;8:34.063;29.346;9:03.409;22.724;9:26.133;33.938;10:00.071;19.948;10:20.019;
11;1;3;2:29.326;0;;44.717;0;51.568;0;53.041;0;145.1;15:57.611;14:00:57.611;0:44.717;0:51.568;0:53.041;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.717;51.568;53.041;18.249;18.249;26.468;44.717;29.108;1:13.825;22.460;1:36.285;33.425;2:09.710;19.616;2:29.326;
11;1;4;2:28.872;0;;44.329;0;51.417;0;53.126;0;145.5;18:26.483;14:03:26.483;0:44.329;0:51.417;0:53.126;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.329;51.417;53.126;17.936;17.936;26.393;44.329;28.980;1:13.309;22.437;1:35.746;33.284;2:09.030;19.842;2:28.872;
11;1;5;2:31.616;0;;44.033;2;52.475;0;55.108;0;142.9;20:58.099;14:05:58.099;0:44.033;0:52.475;0:55.108;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.033;52.475;55.108;17.957;17.957;26.076;44.033;30.153;1:14.186;22.322;1:36.508;35.250;2:11.758;19.858;2:31.616;
11;1;6;2:29.238;0;;44.417;0;51.673;0;53.148;0;145.2;23:27.337;14:08:27.337;0:44.417;0:51.673;0:53.148;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.417;51.673;53.148;18.017;18.017;26.400;44.417;29.251;1:13.668;22.422;1:36.090;33.479;2:09.569;19.669;2:29.238;
11;1;7;2:29.218;0;;44.797;0;51.384;2;53.037;0;145.2;25:56.555;14:10:56.555;0:44.797;0:51.384;0:53.037;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.797;51.384;53.037;18.189;18.189;26.608;44.797;29.094;1:13.891;22.290;1:36.181;33.455;2:09.636;19.582;2:29.218;
11;1;8;2:28.732;2;;44.288;0;51.564;0;52.880;2;145.7;28:25.287;14:13:25.287;0:44.288;0:51.564;0:52.880;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.288;51.564;52.880;17.932;17.932;26.356;44.288;29.059;1:13.347;22.505;1:35.852;33.329;2:09.181;19.551;2:28.732;
11;1;9;2:29.600;0;;44.186;0;51.777;0;53.637;0;144.8;30:54.887;14:15:54.887;0:44.186;0:51.777;0:53.637;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;44.186;51.777;53.637;17.899;17.899;26.287;44.186;28.916;1:13.102;22.861;1:35.963;33.814;2:09.777;19.823;2:29.600;
113;1;1;3:32.655;0;;1:48.567;0;51.481;0;52.607;0;101.9;3:32.655;13:48:32.655;1:48.567;0:51.481;0:52.607;;Ethan Tovo;0:01:06.288;Am;;Nitro Motorsports;Toyota Gazoo Racing;RF;108.567;51.481;52.607;1:21.455;1:21.455;27.112;1:48.567;29.386;2:17.953;22.095;2:40.048;33.176;3:13.224;19.431;3:32.655;
113;1;2;3:20.471;0;B;48.149;0;1:08.323;0;1:23.999;0;108.1;6:53.126;13:51:53.126;0:48.149;1:08.323;1:23.999;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;RF;48.149;68.323;83.999;17.746;17.746;30.403;48.149;37.749;1:25.898;30.574;1:56.472;40.715;2:37.187;43.284;3:20.471;
113;1;3;6:54.890;0;;5:10.913;0;51.138;0;52.839;0;52.2;13:48.016;13:58:48.016;5:10.913;0:51.138;0:52.839;;Ethan Tovo;0:04:41.602;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;310.913;51.138;52.839;4:44.324;4:44.324;26.589;5:10.913;28.983;5:39.896;22.155;6:02.051;33.295;6:35.346;19.544;6:54.890;
113;1;4;2:26.057;2;;43.491;2;50.409;2;52.157;2;148.4;16:14.073;14:01:14.073;0:43.491;0:50.409;0:52.157;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.491;50.409;52.157;17.576;17.576;25.915;43.491;28.529;1:12.020;21.880;1:33.900;32.804;2:06.704;19.353;2:26.057;
113;1;5;2:26.830;0;;43.539;0;50.790;0;52.501;0;147.6;18:40.903;14:03:40.903;0:43.539;0:50.790;0:52.501;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.539;50.790;52.501;17.597;17.597;25.942;43.539;28.656;1:12.195;22.134;1:34.329;32.994;2:07.323;19.507;2:26.830;
113;1;6;2:27.145;0;;43.640;0;50.812;0;52.693;0;147.3;21:08.048;14:06:08.048;0:43.640;0:50.812;0:52.693;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.640;50.812;52.693;17.680;17.680;25.960;43.640;28.771;1:12.411;22.041;1:34.452;33.230;2:07.682;19.463;2:27.145;
113;1;7;2:27.011;0;;43.538;0;51.118;0;52.355;0;147.4;23:35.059;14:08:35.059;0:43.538;0:51.118;0:52.355;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.538;51.118;52.355;17.621;17.621;25.917;43.538;29.078;1:12.616;22.040;1:34.656;32.827;2:07.483;19.528;2:27.011;
