TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1747417529;5/16/2025 5:45:29 PM;32.87;36.6;44.96;1012.2;7.2;37;0;
1747417592;5/16/2025 5:46:32 PM;32.78;36.6;44.31;1012.1;8.64;39;0;
1747417654;5/16/2025 5:47:34 PM;32.71;36.6;45.19;1012.1;7.92;359;0;
1747417717;5/16/2025 5:48:37 PM;32.76;36.6;45.78;1012.2;9.36;2;0;
1747417780;5/16/2025 5:49:40 PM;32.8;36.7;44.75;1012.1;6.48;12;0;
1747417843;5/16/2025 5:50:43 PM;32.75;36.6;44.78;1012.2;3.6;21;0;
1747417905;5/16/2025 5:51:45 PM;32.77;36.6;45.66;1012.1;5.76;10;0;
1747417968;5/16/2025 5:52:48 PM;32.78;36.6;44.75;1012.1;6.48;13;0;
1747418031;5/16/2025 5:53:51 PM;32.81;36.6;44.54;1012.2;6.84;72;0;
1747418093;5/16/2025 5:54:53 PM;32.77;36.6;44.39;1012.1;4.32;82;0;
1747418156;5/16/2025 5:55:56 PM;32.73;36.6;44.94;1012.1;6.12;107;0;
1747418219;5/16/2025 5:56:59 PM;32.71;36.6;45.7;1012.1;4.32;111;0;
1747418281;5/16/2025 5:58:01 PM;32.76;36.6;45.55;1012.2;4.32;93;0;
1747418344;5/16/2025 5:59:04 PM;32.87;36.6;45.23;1012.1;5.04;67;0;
1747418407;5/16/2025 6:00:07 PM;32.99;36.6;43.53;1012.1;5.04;52;0;
1747418469;5/16/2025 6:01:09 PM;33.11;36.6;43.82;1012.1;9.36;9;0;
1747418532;5/16/2025 6:02:12 PM;33.21;36.7;43.57;1012.1;3.96;347;0;
1747418595;5/16/2025 6:03:15 PM;33.34;36.8;43.71;1012.1;4.32;73;0;
1747418657;5/16/2025 6:04:17 PM;33.42;36.8;43.57;1012;3.6;68;0;
1747418720;5/16/2025 6:05:20 PM;33.51;36.8;42.08;1012.1;9;31;0;
1747418781;5/16/2025 6:06:21 PM;33.51;36.8;42.22;1012.1;8.64;14;0;
1747418846;5/16/2025 6:07:26 PM;33.45;36.9;41.81;1012.1;5.4;35;0;
1747418908;5/16/2025 6:08:28 PM;33.46;36.9;42.13;1012.1;6.48;17;0;
1747418971;5/16/2025 6:09:31 PM;33.54;36.9;42.07;1012.1;5.4;58;0;
1747419034;5/16/2025 6:10:34 PM;33.62;36.9;41.6;1012;4.32;7;0;
1747419096;5/16/2025 6:11:36 PM;33.57;36.8;41.41;1012.1;5.04;72;0;
1747419159;5/16/2025 6:12:39 PM;33.47;36.8;41.75;1012;0.36;47;0;
1747419222;5/16/2025 6:13:42 PM;33.45;36.8;42.22;1012.1;3.24;89;0;
1747419284;5/16/2025 6:14:44 PM;33.52;36.9;43.03;1012.1;6.12;54;0;
