NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;9;2:26.460;9;2:27.311;8;2:28.064;5;2:28.849;4;;0;;0;;0;;0;;0;;0;2:27.671;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;10;2:28.437;10;2:28.468;7;2:28.588;6;2:28.608;8;2:28.693;4;2:28.705;5;2:29.304;9;;0;;0;;0;2:28.686;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;10;2:27.188;4;2:27.535;7;2:27.878;10;2:27.909;9;2:28.891;6;2:30.778;5;3:08.929;8;;0;;0;;0;2:34.158;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;10;2:26.151;9;2:26.266;7;2:26.330;5;2:26.480;6;2:29.713;8;2:33.580;10;;0;;0;;0;;0;2:28.086;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;9;2:28.732;8;2:28.872;4;2:29.218;7;2:29.238;6;2:29.326;3;2:29.600;9;2:31.616;5;;0;;0;;0;2:29.514;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;10;2:25.905;4;2:26.117;6;2:26.396;9;2:26.431;8;2:26.433;10;2:26.984;5;2:31.032;7;;0;;0;;0;2:27.042;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;10;2:26.608;5;2:26.738;4;2:27.974;9;2:28.480;6;;0;;0;;0;;0;;0;;0;2:27.450;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean;9;2:25.901;5;2:26.250;4;2:30.597;7;2:31.531;8;2:31.633;6;;0;;0;;0;;0;;0;2:29.182;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;9;2:27.530;5;2:27.554;8;2:27.769;9;2:27.819;4;;0;;0;;0;;0;;0;;0;2:27.668;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;10;2:27.087;6;2:27.101;5;2:27.252;4;2:27.856;10;2:27.896;7;2:29.202;8;2:29.537;9;;0;;0;;0;2:27.990;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;10;2:27.454;10;2:27.495;9;2:27.512;4;2:27.985;5;2:28.594;8;;0;;0;;0;;0;;0;2:27.808;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;10;2:26.384;4;2:26.447;5;2:26.581;6;2:26.739;7;2:30.330;9;2:30.523;8;;0;;0;;0;;0;2:27.834;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;10;2:27.602;4;2:27.887;7;2:28.244;5;2:28.401;8;2:28.405;6;2:28.932;9;;0;;0;;0;;0;2:28.245;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;10;2:28.446;4;2:28.593;8;2:29.115;10;2:29.218;5;2:29.279;6;2:29.826;7;2:30.773;9;;0;;0;;0;2:29.321;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;10;2:26.261;10;2:26.367;5;2:26.400;7;2:26.582;4;2:26.836;6;;0;;0;;0;;0;;0;2:26.489;
71;TechSport;Toyota GR86;Am;Christian;Weir;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;9;2:26.075;4;2:26.415;5;2:26.924;8;2:27.175;7;2:27.810;6;;0;;0;;0;;0;;0;2:26.879;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;10;2:26.297;4;2:26.577;5;2:26.609;6;2:26.610;10;2:27.091;9;2:27.231;7;2:28.352;8;;0;;0;;0;2:26.966;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;8;2:27.742;6;2:28.330;3;2:28.361;8;2:28.553;4;2:29.042;2;2:29.080;7;2:29.896;5;;0;;0;;0;2:28.714;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Zach;Hollingshead;10;2:27.046;4;2:27.255;7;2:27.318;5;2:27.340;6;2:27.393;10;2:27.456;8;2:30.665;9;;0;;0;;0;2:27.781;
98;TechSport;Toyota GR86;Am;Max;Schweid;10;2:26.713;7;2:26.730;4;2:27.010;6;2:27.023;5;2:27.044;9;2:27.253;8;;0;;0;;0;;0;2:26.962;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;10;2:26.057;4;2:26.830;5;2:26.987;9;2:27.011;7;2:27.145;6;2:27.198;10;2:27.418;8;;0;;0;;0;2:26.949;
